"Metadata for nest. egg, and chick",,,
,,,
Data curator: Emily Black ,,,
"Affiliation: Department of Zoology, University of British Columbia, Vancouver, BC, and the Living Data Project ",,,
Contact: emily@zoology.ubc.ca,,,
,,,
"Data collectors: Pat Deibert (nee White) , Linda Johnson, Margo Spurrier, Dr. Mark S. Boyce",,,
"Affiliation: PD - Bureau of Land Management, Cheyenne, Wyoming; MSB - University of Alberta, Edmonton, AB",,,
,,,
"Data entry: Nav Gahir, Isabel Weise",,,
"Affiliation: NG, IW - Living Data Project",,,
,,,
Data description: ,,,
"In 1990, several studies of sage grouse eggs and chicks were performed. In those studies, eggs were collected from nests on leks in Wyoming (or the Red Butte captive flock) and brought back to the lab for observation (egg_collection_morphology_1990.csv). Associated nest searching and followup visits were documented (egg_nest_search_followup.csv). Some eggs hatched, and were entered into a study of chick morphology along with chicks sourced from the wild, where their measurements and health were documented until they passed away or were moved onto the Red Butte lek (chick_hatch_morphology_1990.csv). ",,,
,,,
Data: egg_collection_morphology_1990.csv,,,
Column name,Data type and units,Description,Notes 
id_number,Character,Unique ID of egg. Matches egg_number in chick_hatch_morphology_1990.csv. ,
nest_number,Character,Unique ID of nest which eggs came from.  ,
lek_name,Character,Lek that eggs came from. ,"Some eggs sourced from Red Butte, labelled ""red_butte_pens"". Hens were from a captive flock at the Red Butte laboratory facility. "
collecter,Character,Individual that collected eggs. ,
female_id,Character,ID of female from which eggs were sourced. ,
num_eggs_in_clutch,Numerical,Number of eggs in clutch/nest. ,
estimated_hatch_month,"Numerical, month",Numeric month in which egg was expected to hatch. ,All years 1990. 
estimated_hatch_day,"Numerical, day",Numeric day in which egg was expected to hatch. ,All years 1990. 
actual_hatch_month,"Numerical, month",Numeric month in which egg actually hatched. ,All years 1990. 
actual_hatch_day,"Numerical, day",Numeric day in which egg actually hatched. ,All years 1990. 
general_notes,Character ,"General notes regarding egg, not specific to certain observation number. ",
observation_number,Categorical,Multiple observations of egg morphology were taken at varying date intervals. This value corresponds to order of observations taken (e.g. a value of 2 indicates this is the second observation of the egg). Morphology at collection is labelled with a value of 0. ,
year,"Numerical, year",Year of observation. ,
month,"Numerical, month. ",Month of observation. ,
day,"Numerical, day",Day of observation. ,
days_after_collection,"Numerical, days",Number of days elapsed since egg collection. ,
time24h,"Time, H:M, 24H",Time of observation. ,
length_mm,"Numerical, millimeters","Length of egg from top to bottom, in millimeteres. ",
width_mm,"Numerical, millimeters","Width of egg, in millimeters. ",
weight_g,"Numerical, grams","Weight of egg, in grams. ",
change_air_sac,Character,Describing any changes observed in the egg air sac. ,
notes,Character,Notes specific to egg observation. Words that are difficult to read are noted with a (?). ,
