"Metadata for nest. egg, and chick",,,
,,,
Data curator: Emily Black ,,,
"Affiliation: Department of Zoology, University of British Columbia, Vancouver, BC, and the Living Data Project ",,,
Contact: emily@zoology.ubc.ca,,,
,,,
"Data collectors: Pat Deibert (nee White) , Linda Johnson, Margo Spurrier, Dr. Mark S. Boyce",,,
"Affiliation: PD - Bureau of Land Management, Cheyenne, Wyoming; MSB - University of Alberta, Edmonton, AB",,,
,,,
"Data entry: Nav Gahir, Isabel Weise",,,
"Affiliation: NG, IW - Living Data Project",,,
,,,
Data description: ,,,
"In 1990, several studies of sage grouse eggs and chicks were performed. In those studies, eggs were collected from nests on leks in Wyoming (or the Red Butte captive flock) and brought back to the lab for observation (egg_collection_morphology_1990.csv). Associated nest searching and followup visits were documented (egg_nest_search_followup.csv). Some eggs hatched, and were entered into a study of chick morphology along with chicks sourced from the wild, where their measurements and health were documented until they passed away or were moved onto the Red Butte lek (chick_hatch_morphology_1990.csv). ",,,
,,,
Data: egg_nest_search_followup.csv,,,
Column name,Data type and units,Description,Notes 
year_found,"Numerical, year",Year nest was found. ,
month_found,"Numerical, month",Month nest was found. ,
day_found,"Numerical, day",Day month was found. ,
lek_name,Character,Name of lek which eggs were from. ,
nest_number,Character,Identifier of nest. Corresponds to nest_number in egg_collection_morpholoy_1990.csv. ,
temp_F,"Numerical, temperature (°F)",Temperature on day of nest search. ,
wind,"Numerical range, knotts ",Wind speed on day of nest search. ,
observers,Character,Individual(s) performing nest search. ,
dogs,Character,Name of dogs used to flush hens and locate eggs. ,
cloud_cover,"Numerical range, percent",% cloud cover on day of nest search. ,
time_search_start_24h,"Time, H:M, 24H",Time nest search began. ,
time_search_end_24h,"Time, H:M, 24H",Time nest search ended. ,
time_found_24h,"Time, H:M, 24H",Time nest was found. ,
estimated_distance_from_lek_miles,"Numerical, miles",Distance in miles nest was located from lekking center. ,
nest_description,Character,Description of nest. ,"ARTR = scientific name of sagebrush. If word could not be read from sheet, replaced with (?). "
hen_on_nest,Logical (yes/no),Indicates whether hen was on nest when located. ,
how_found,Character,"Indicates how nest was located - most commonly found by human, dog, or by hen flight/flush. ",
nest_collected,Logical (yes/no),Indicates whether nest was collected. ,
hen_previously_captured,Logical (yes/no),"Indicates whether hen had been captured before, and likely whether or not it was tagged. ",
num_eggs,Numerical,Number of eggs in nest. ,
num_eggs_collected,Numerical,Number of eggs from nest collected. ,
num_eggs_replaced,Numerical,Number of sage grouse eggs replaced with chicken eggs. ,
nest_predated,Logical (yes/no),Indicates whether nest had been predated. ,
nest_bush_height,"Numerical, meters",Height of vegetation around nest. ,
nest_bush_species,Character,Species of vegetation around nest. ,Most often sagebrush (Artemisia tridentata)
nearest_east_neighbor_species,Character,Species of closest vegetation on east side of nest. ,Most often sagebrush (Artemisia tridentata)
nearest_east_neighbor_distance,"Numerical, meters",Nest distance from nearest vegetation on east side. ,
nearest_east_neighbor_height,"Numerical, meters",Height of nearest vegetation on east side. ,
nearest_west_neighbor_species,Character,Species of closest vegetation on west side of nest. ,
nearest_west_neighbor_distance,"Numerical, meters",Nest distance from nearest vegetation on west side. ,
nearest_west_neighbor_height,"Numerical, meters",Height of nearest vegetation on west side. ,
nearest_north_neighbor_species,Character,Species of closest vegetation on north side of nest. ,
nearest_north_neighbor_distance,"Numerical, meters",Nest distance from nearest vegetation on north side. ,
nearest_north_neighbor_height,"Numerical, meters",Height of nearest vegetation on north side. ,
nearest_south_neighbor_species,Character,Species of closest vegetation on south side of nest. ,
nearest_south_neighbor_distance,"Numerical, meters",Nest distance from nearest vegetation on south side. ,
nearest_south_neighbor_height,"Numerical, meters",Height of nearest vegetation on south side. ,
search_notes,Character,General notes about search.,
year_followup,"Numerical, year",Year of followup visit to nest. ,
month_followup,"Numerical, month",Month of followup visit to nest,
day_followup,"Numerical, day",Day of followup visit to nest. ,
time_followup_24h,"Time, H:M, 24H",Time of followup visit to nest. ,
chicken_eggs_num,Numerical,Number of replacement chicken eggs remaining in nest. ,
new_sage_grouse_eggs_num,Numerical,Number of new sage grouse eggs laid in nest. ,
hen_caught_followup,Logical (yes/no),Indicates whether hen was caught on nest again on followup. ,
blood_sample_followup,Logical (yes/no),Indicates whether hen blood sample was taken on followup. ,
hen_on_nest_followup,Logical (yes/no),Indicates whether hen was on nest when located on followup. ,
nest_deserted,Logical (yes/no),Indicates whether nest was deserted on followup. ,
nest_predated_followup,Logical (yes/no),Indicates whether there was evidence of predation on followup. ,
predator_type_followup,Character,Type of predator predating nest identified on followup. ,
followup_condition_notes,Character,Describes condition of nest on followup visit. ,Words that are difficult to read are noted with a (?). 
followup_notes,Character,General notes about followup visit. ,Words that are difficult to read are noted with a (?). 
