"Metadata for observation records, 1987 to 1990",,,
,,,
Data curator: Emily Black ,,,
"Affiliation: Department of Zoology, University of British Columbia, Vancouver, BC, and the Living Data Project ",,,
Contact: emily@zoology.ubc.ca,,,
,,,
"Data collectors: Pat Deibert (nee White) , Linda Johnson, Margo Spurrier, Dr. Mark S. Boyce",,,
"Affiliation: PD - Bureau of Land Management, Cheyenne, Wyoming; MSB - University of Alberta, Edmonton, AB",,,
,,,
"Data entry: Nav Gahir, Isabel Weise",,,
"Affiliation: NG, IW - Living Data Project",,,
,,,
Data description: ,,,
"From 1987-1990, greater sage-grouse leks were visited by graduate students, professors, and volunteers to survey for bird abundance, lekking behaviour, and strutting and copulation behaviour. Included in this dataset are observations of lek conditions on the day of surveying (weather, ground condition, observers, sunrise time), counts of males and females on lek, and other comments on lek condition. ",,,
,,,
,,,
,,,
,,,
Column name,Values and units,Description,Notes
source,Character string,"Where the data in each row was sourced from: the physical binders (binder), a floppy disk (floppy), or the merging of both records in the case of duplicate records (binder, floppy). ",
binder_pdf_page_number,Numeric,"Page number of binder scans that data was sourced from. Pages unique within leks, but not between. ",Some observations span multiple pages - indicated by two numbers separated by comma. 
year,"Year, 4-digit numeric",Year of observation. ,
month,"Month, numeric",Month of observation. ,
day,"Day, numeric",Day of observation. ,
arrival_time,"Time,24H  H:MM",24-hour time of arrival at lek,
sunrise_time,"Time,24H  H:MM",24-hour time of sunrise on day of observation,
observer,Character string,Name(s) of individuals who collected lek observations,
lek_name,Character string,Lek in which individual was observed strutting. ,Sybille Springs lek is now known as Roundtop lek. 
trapping_activity,Character string,"If performed, the type of trapping activity performed on the lek ",
wind_mph,"Various; numerical miles per hour, character string","Wind speeds in miles per hour on day of observation, and any notes on wind speed",
cloud_cover_percent_comments,"Various; numerical percent, character string","Cloud cover in % cover on day of observation, and any notes on cloud cover ",
snowing_status,"Various; logical (yes/no), character strings","Snowing status; if yes, was snowing, if no, was not snowing. Includes associated comments. ",
raining_status,"Various; logical (yes/no), character strings","Raining status; if yes, was raining, if no, was not raining. Includes associated comments. ",
temp_f,"Temperature, degrees fahrenheit",Temperature in degrees fahrenheit. ,Some values are approximate (indicated by ~) or a range (indicated by dash)
other_weather_conditions,Character string,Other comments on condition of lek upon arrival ,
lek_ground_condition,Character string,Comments on condition of ground at lek,
predator_disturbance_type,Character string,"Type of predators that visited lek on day of observation. If multiple types, they are separated by commas and arranged in chronological order. ",
predator_disturbance_time,"Time,24H  H:MM","Time of predator visit to lek on day of observation. If multiple, times are separated by column and correspond to predator type in same order. ",
observation_time,"Time, 24H  H:MM",Time of lek observation,
num_males_observed,Numeric,Number of males on lek at observation time. ,"Some leks have multiple breeding centers - see ""comments_observations_or_marks"" for details. "
num_females_observed,Numeric,Number of females on lek at observation time. ,"Some leks have multiple breeding centers - see ""comments_observations_or_marks"" for details. "
comments_observations_or_marks,Character string,"Comments on individuals observed on lek, conditions at time of observation",
other_fights_and_comments,Character string,"Other general notes regarding fights, individuals on lek, lek conditions and characteristics. ",
