"source","binder_pdf_page_number","year","month","day","arrival_time","sunrise_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent_comments","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type","predator_disturbance_time","observation_time","num_males_observed","num_females_observed","comments_observations_or_marks","other_fights_and_comments"
"binder","78","1990",4,20,"5:59","6:15","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"6:10",94,NA,NA,NA
"binder","78","1990",4,20,"5:59","6:15","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"6:25",110,26,NA,NA
"binder","78","1990",4,20,"5:59","6:15","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"6:40",129,32,NA,NA
"binder","78","1990",4,20,"5:59","6:15","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"7:00",129,31,NA,NA
"binder","78","1990",4,20,"5:59","6:15","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"7:10",124,29,NA,NA
"binder","78","1990",4,20,"5:59","6:15","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"7:30",118,28,NA,NA
"binder","78","1990",4,20,"5:59","6:15","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"7:50",115,19,NA,NA
"binder","80","1990",4,23,"5:48","6:15","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"6:00",106,27,NA,"Page reads ""547"" blank for sunrise value"
"binder","80","1990",4,23,"5:48","6:15","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"6:20",125,32,NA,"Page reads ""547"" blank for sunrise value"
"binder","80","1990",4,23,"5:48","6:15","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"6:50",117,29,NA,"Page reads ""547"" blank for sunrise value"
