"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent_comments","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","observation_time","sunrise_time","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder","78","1990",4,20,"5:59","Gregg Kurz","mud_springs",NA,"10 to 15","15","no","no","40",NA,"clear",NA,NA,"strut","orange",NA,NA,NA,NA,NA,NA,NA,"6:15","7:45","7:50",19,19,"1",NA,"1",NA,NA,NA,NA,NA
"binder, floppy","79","1990",4,22,"6:00","Boyce","mud_springs",NA,"1 to 2","80 to 90",NA,NA,NA,NA,"dry",NA,NA,"strut","green","1076","G1076","red","892","R892","adult",NA,"6:20","6:30","6:35",21,21,"1",NA,NA,NA,"no",NA,NA,"Interrupted by unmarked male - fight ensued  - standoff, Comment in right margin reads ""RG, G-> -584"""
"binder, floppy","80","1990",4,23,"5:48","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"strut","white orange","1304","WO1304","blue","1615","B1615","adult",NA,"6:15","6:36","6:41",3,3,"3",NA,NA,NA,"no","no","no","Page reads ""547"" blank for sunrise value"
"binder","80","1990",4,23,"5:48","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"strut","yellow",NA,NA,NA,NA,NA,NA,NA,"6:15","6:43","6:48",14,14,"2",NA,NA,NA,NA,NA,NA,"Page reads ""547"" blank for sunrise value"
"binder, floppy","81","1990",4,24,"6:10","White","mud_springs","none","1 to 5","90","no","blew (?) in","35",NA,"clear","golden eagle","7:19","strut","white orange","1304","WO1304","blue","1615","B1615","adult",NA,"6:13","6:56","7:01",9,9,"3",NA,NA,NA,"no","no","no","Sun on lek 6:26"
"binder, floppy","81","1990",4,24,"6:10","White","mud_springs","none","1 to 5","90","no","blew (?) in","35",NA,"clear","golden eagle","7:19","strut","white red","1719","WR1719","white blue","1584","WB1584","adult",NA,"6:13","7:05","7:10",5,5,"3",NA,"Standoff with UM male",NA,"no",NA,NA,"Sun on lek 6:26"
"binder, floppy","84","1990",4,28,"5:47","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"strut","white yellow","1228","WY1228","red","1730","R1730","adult",NA,"6:07","5:53","5:58",0,0,"3",NA,"Standoff with UM male",NA,"yes","yes","no","? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","84","1990",4,28,"5:47","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"copulation",NA,NA,NA,"unmarked",NA,NA,NA,NA,"6:07",NA,NA,NA,NA,NA,NA,NA,2,"yes",NA,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder, floppy","84","1990",4,28,"5:47","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"strut","white green","1511","WG1511","orange","1306","O1306","adult",NA,"6:07","6:01","6:06",16,16,"2",NA,"Chased off 2 juv and got chased by 2 UM males",NA,"no","no","yes","? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder, floppy","84","1990",4,28,"5:47","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"strut","white red","1719","WR1719","white green","1584","WG1584","adult",NA,"6:07","6:14","6:19",2,2,"3",NA,"Almost 11 fight with UM male",NA,"no",NA,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder, floppy","84","1990",4,28,"5:47","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"strut","white yellow","1228","WY1228","red","1730","R1730","adult",NA,"6:07","6:24","6:29",17,17,"1","female passed by wi 2m",NA,NA,"no","yes","no","? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder, floppy","84","1990",4,28,"5:47","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"strut","green","1076","G1076","red","892","R892","adult",NA,"6:07","7:09","7:14",5,5,"3",NA,"Chased off juv",NA,"no",NA,NA,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder","88","1990",5,2,"5:43","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"strut","yellow",NA,NA,"red",NA,NA,NA,NA,"6:10","5:55","6:00",26,26,"2",NA,NA,NA,NA,NA,NA,NA
"binder","88","1990",5,2,"5:43","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"strut","green",NA,NA,NA,NA,NA,NA,NA,"6:10","6:20","6:25",0,0,"3",NA,NA,NA,NA,NA,NA,NA
"binder","88","1990",5,2,"5:43","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"strut","red",NA,NA,NA,NA,NA,NA,NA,"6:10","7:30","7:35",0,0,"3",NA,NA,NA,NA,NA,NA,NA
"binder, floppy","91","1990",5,6,"5:35","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"strut","white orange","1317","WO1317","red","1764","R1764","adult",NA,"6:00","6:03","6:08",4,4,"3",NA,NA,NA,"no",NA,NA,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder, floppy","91","1990",5,6,"5:35","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"strut","white yellow","1228","WY1228","red","1730","R1730","adult",NA,"6:00","6:23","6:28",0,0,"3",NA,"Standoff with UM male",NA,"no","yes","no","Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder, floppy","91","1990",5,6,"5:35","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"strut","white green","1552","WG1552","yellow","1252","Y1252","adult",NA,"6:00","6:23","6:28",0,0,"3",NA,NA,NA,"no",NA,NA,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder","91","1990",5,6,"5:35","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"strut","white red",NA,NA,"orange green",NA,NA,NA,NA,"6:00","6:56","7:01",13,13,"3",NA,NA,NA,NA,NA,NA,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder, floppy","91","1990",5,6,"5:35","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"strut","white green","1552","WG1552","yellow","1252","Y1252","adult",NA,"6:00","6:58","7:03",1,1,"3",NA,NA,NA,"no",NA,NA,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder, floppy","91","1990",5,6,"5:35","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"strut","white yellow","1228","WY1228","red","1730","R1730","adult",NA,"6:00","7:05","7:10",0,0,"3",NA,NA,NA,"no","yes","no","Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder, floppy","92","1990",5,8,"5:30","White/Timalholoth","mud_springs","none","5 to 10","95","no","overnight","35",NA,"clear",NA,NA,"strut","white yellow","1228","WY1228","red","1730","R1730","adult",NA,"6:00","6:17","6:19",0,0,"1",NA,"flew away 6:19",NA,"yes","yes","no","By 7:05 most birds gone"
"binder","92","1990",5,8,"5:30","White/Timalholoth","mud_springs","none","5 to 10","95","no","overnight","35",NA,"clear",NA,NA,"copulation","white yellow",NA,NA,"blue",NA,NA,NA,NA,"6:00",NA,NA,NA,NA,NA,NA,NA,1,"yes",NA,NA,"By 7:05 most birds gone"
"binder, floppy","92","1990",5,8,"5:30","White/Timalholoth","mud_springs","none","5 to 10","95","no","overnight","35",NA,"clear",NA,NA,"strut","white red","1719","WR1719","white green","1584","WG1584","adult",NA,"6:00","6:21","6:26",0,0,"3",NA,"Just wandered off!",NA,"no",NA,NA,"By 7:05 most birds gone"
"binder, floppy","92","1990",5,8,"5:30","White/Timalholoth","mud_springs","none","5 to 10","95","no","overnight","35",NA,"clear",NA,NA,"strut","white orange","1304","WO1304","blue","1615","B1615","adult",NA,"6:00","6:20","6:25",6,6,"3",NA,NA,NA,"no","no","no","By 7:05 most birds gone"
"binder, floppy","93","1990",5,9,"5:49","White/Brady","mud_springs","?","calm","80","no","no","25",NA,"snow covered",NA,NA,"strut","white red","1716","WR1716","red","1721","R1721","adult",NA,"5:58","6:34","6:39",18,18,"1",NA,"Chased off juv, got chased by UM male",NA,"no","no","no","Left 6:58"
"binder","96","1990",5,16,"5:44","White","mud_springs","none","0 to 5","40","no","no","46",NA,"clear",NA,NA,"copulation",NA,NA,NA,"unmarked",NA,NA,NA,NA,"6:00",NA,NA,NA,NA,NA,NA,NA,7,"yes",NA,NA,"No ? birds!, By 6:50 most hens gone, Left 6:55, 2 females homo? cop. male, Male copopulated in bush, next to ? male"
"floppy",NA,"1990",4,24,NA,NA,"mud_springs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strut","red","899","R899","green","1065","G1065","adult",NA,"6:13","6:25",NA,NA,0,"3",NA,NA,NA,"no",NA,NA,NA
"floppy",NA,"1990",5,6,NA,NA,"mud_springs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strut","white red","1719","WR1719","white green","1584","WG1584","adult",NA,"5:54","6:58",NA,NA,13,"3",NA,NA,NA,"no",NA,NA,NA
"floppy",NA,"1990",5,2,NA,NA,"mud_springs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strut","yellow","1174","Y1174","orange","750","O750","adult",NA,"5:58","5:45",NA,NA,26,"2",NA,NA,NA,"no",NA,NA,NA
"binder, floppy","77","1990",4,19,"6:00","Boyce","mud_springs",NA,"0","70",NA,NA,NA,NA,"dry",NA,NA,"strut","white green","1597","WG1597","white blue","1608","WB1608","adult",NA,"6:21","6:44","6:49",38,38,"1",NA,"0",NA,"yes",NA,NA,"Comment in right margin reads ""Blue tag #1608"" and ""Green # 1597"""
"binder, floppy","77","1990",4,19,"6:00","Boyce","mud_springs",NA,"0","70",NA,NA,NA,NA,"dry",NA,NA,"strut","white green","1597","WG1597","white blue","1608","WB1608","adult",NA,"6:21","6:53","6:58",32,32,"1",NA,"1 standoff",NA,"yes",NA,NA,"Comment in right margin reads ""Blue tag #1608"" and ""Green # 1597"""
"binder, floppy","79","1990",4,22,"6:00","Boyce","mud_springs",NA,"1 to 2","80 to 90",NA,NA,NA,NA,"dry",NA,NA,"strut","white green","1597","WG1597","white blue","1608","WB1608","adult",NA,"6:20","6:39","6:44",30,30,"1",NA,NA,NA,"yes",NA,NA,"Interrupted by unmarked male - fight ensued  - standoff, Comment in right margin reads ""RG, G-> -584"""
"binder, floppy","80","1990",4,23,"5:48","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"strut","yellow","1174","Y1174","orange","750","O750","adult",NA,"6:15","6:50","6:55",32,32,"0",NA,NA,NA,"no",NA,NA,"Page reads ""547"" blank for sunrise value"
"binder, floppy","80","1990",4,23,"5:48","Gregg Kurz","mud_springs",NA,"5 to 10","5","no","no","38",NA,"clear",NA,NA,"strut","white blue","1605","WB1605","white green","1583","WG1583","adult",NA,"6:15","7:10","7:15",30,30,"0",NA,NA,NA,"no",NA,NA,"Page reads ""547"" blank for sunrise value"
"binder, floppy","81","1990",4,24,"6:10","White","mud_springs","none","1 to 5","90","no","blew (?) in","35",NA,"clear","golden eagle","7:19","strut","white green","1552","WG1552","yellow","1252","Y1252","adult",NA,"6:13","6:31","6:36",0,0,"3",NA,"Standoff with UM male",NA,"no",NA,NA,"Sun on lek 6:26"
"binder, floppy","81","1990",4,24,"6:10","White","mud_springs","none","1 to 5","90","no","blew (?) in","35",NA,"clear","golden eagle","7:19","strut","white yellow","1228","WY1228","red","1730","R1730","adult",NA,"6:13","7:14","7:19",0,0,"3",NA,NA,NA,"yes","yes","no","Sun on lek 6:26"
"binder, floppy","84","1990",4,28,"5:47","White","mud_springs","none","10 to 15","100","no","yes","40",NA,"clear",NA,NA,"strut","white orange","1304","WO1304","blue","1615","B1615","adult",NA,"6:07","6:39","6:44",0,0,"3",NA,NA,NA,"no","no","no","? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
"binder, floppy","85","1990",4,29,"5:54","Gregg Kurz","mud_springs",NA,"10 to 20","60","no","no","29",NA,"clear",NA,NA,"strut","yellow","1174","Y1174","orange","750","O750","adult",NA,"6:10","7:20","7:25",21,21,"1",NA,NA,NA,"no",NA,NA,NA
"binder, floppy","86","1990",4,30,"5:58","Gregg Kurz","mud_springs",NA,"0 to 5","5","no","no","20",NA,"clear","golden eagle","6:40","strut","white red","1719","WR1719","white green","1584","WG1584","adult",NA,"6:06","6:33","6:38",0,0,"3",NA,"1 lost",NA,"no",NA,NA,NA
"binder, floppy","88","1990",5,2,"5:43","Gregg Kurz","mud_springs","cannon netting","0 to 5","5","no","no","28",NA,"clear",NA,NA,"strut","orange","13","O13","blue","298","B298","adult",NA,"6:10","6:40","6:45",0,0,"3",NA,NA,NA,"no",NA,NA,NA
"binder, floppy","89","1990",5,4,"5:50","Gregg Kurz","mud_springs",NA,"0 to 5","5","no","no","25",NA,"clear",NA,NA,"strut","white red","1719","WR1719","white green","1584","WG1584","adult",NA,"5:56","5:59","6:04",25,25,"1",NA,NA,NA,"no",NA,NA,NA
"binder, floppy","91","1990",5,6,"5:35","White","mud_springs","none","0 to 5","0","no","no","30",NA,"clear",NA,NA,"strut","white red","1719","WR1719","white green","1584","WG1584","adult",NA,"6:00","5:43","5:48",28,28,"1",NA,"With UM male - WR WG chased him off",NA,"no",NA,NA,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew"
"binder, floppy","94","1990",5,10,"5:32","White/Brady","mud_springs",NA,"calm","0","no","no","20",NA,"clear","?","before 5:30","strut","white blue","1610","WB1610","white","1433","W1433","adult",NA,"5:50","6:20","6:25",25,25,"3",NA,"DJ",NA,"no","no","no","No birds on lek at arrival  - slandy began to fetter back in, but was spooky, ? lek 6:13, By 6:? all birds gone, left"
"binder, floppy","94","1990",5,10,"5:32","White/Brady","mud_springs",NA,"calm","0","no","no","20",NA,"clear","?","before 5:30","strut","green","1512","G1512","white yellow","1280","WY1280","adult",NA,"5:50","6:02","6:07",26,26,"1",NA,"Chased off juv",NA,"no",NA,NA,"No birds on lek at arrival  - slandy began to fetter back in, but was spooky, ? lek 6:13, By 6:? all birds gone, left"
