"Metadata for morphology and parasite records, 1987 to 1990",,,
,,,
Data curator: Emily Black ,,,
"Affiliation: Department of Zoology, University of British Columbia, Vancouver, BC, and the Living Data Project ",,,
Contact: emily@zoology.ubc.ca,,,
,,,
"Data collectors: Pat Deibert (nee White) , Linda Johnson, Margo Spurrier, Dr. Mark S. Boyce",,,
"Affiliation: PD - Bureau of Land Management, Cheyenne, Wyoming; MSB - University of Alberta, Edmonton, AB",,,
,,,
"Data entry: Nav Gahir, Isabel Weise",,,
"Affiliation: NG, IW - Living Data Project",,,
,,,
Data description: ,,,
"From 1987-1990, greater sage-grouse leks were visited by graduate students, professors, and volunteers to survey for bird abundance, lekking behaviour, and strutting and copulation behaviour. Included in this dataset is grouse capture and laboratory followup data detailing the morphology (body size, sex, age, etc.) and parasitology (malaria, lice, hematomas, coccidia, etc.) of captured individuals. Fecal, blood, cecal and ectoparasite samples were obtained and brought back to the lab for analysis (though not all samples were taken for all individuals and years). Tag identifiers of these birds can be cross-referenced with strutting and copulations to investigate the effect of parasites on strutting and mating success. ",,,
,,,
,,,
,,,
,,,
,,,
,,,
Column name,Values and units,Description,Notes
binder_pdf_page_number,Numeric,"Page number of binder scans that data was sourced from. Pages unique within leks, but not between. ",Some observations span multiple pages - indicated by two numbers separated by comma. 
year,"Year, 4-digit numeric",Year of observation. ,
month,"Month, numeric",Month of observation. ,
day,"Day, numeric",Day of observation. ,
time_start,"Time, 24H H:MM",Time individual was found. ,
time_end,"Time, 24H H:MM",Time individual was released/capture ended. ,
age,Character,"Age of grouse; either juvenile (""juven"") (<=1 year old), or adult (""adult"") (>1 year old). Juveniles separated from adults by morphology (different colouration, small air sacs) and behaviour (clumsiness, inadeptness at strutting). ",
sex,Character,Sex of captured grouse. ,
lek_name,Character,Name of lek on which individual was found. ,
observer,Character string,Researcher who found grouse. ,
capture_technique,Character string,Method in which grouse was captured. ,"Some observations are from the Removal Study, where grouse were lethally removed. Indicated in comments if grouse is from removal study. "
left_tag_colour,Character,"Patagial tag colour found on the left wing of the grouse. Letter corresponds to colour of tag. Within leks, no two grouse should have the same colour combination. ",
left_tag_number,Numerical,Patagial tag number found on the left wing of the grouse. Number corresponds to unique numerical identifer of tag. I," If number not indicated, the number may not have been visible on the bird, it may have worn off, or the tag did not have a number. "
left_tag_code,"Character,numerical","Unique identifier of tag on left wing of the grouse. First letter corresponds to colour, number corresponds to unique numerical identifier of tag (if present). ",
right_tag_colour,Character,"Patagial tag colour found on the right wing of the grouse. Letter corresponds to colour of tag. Within leks, no two grouse should have the same colour combination. ",
right_tag_number,Numerical,Patagial tag number found on the right wing of the grouse. Number corresponds to unique numerical identifer of tag. I," If number not indicated, the number may not have been visible on the bird, it may have worn off, or the tag did not have a number. "
right_tag_code,"Character,numerical","Unique identifier of tag on right wing of the grouse. First letter corresponds to colour, number corresponds to unique numerical identifier of tag (if present). ",
wgyf_leg_band,"Character, numerical",,
dominance,Character,"Position of grouse in social heirarchy of lek  - usually ""master cock"" or ""subordinate"". ",
weight_bird_and_bag_kg,"Numerical, kilograms","Weight of the grouse, measured using a bag to contain grouse. Weight includes that of the bag. ",
weight_bag_kg,"Numerical, kilograms",Weight of the bag used to way the grouse only. ,
