,binder_pdf_scan_page,year,month,day,time_start,time_end,age,sex,lek_name,observer,capture_technique,left_tag_color,left_tag_number,left_tag_code,right_tag_color,right_tag_number,right_tag_code,wygf_leg_band,dominance,weight_bird_and_bag_kg,weight_bag_kg,weight_bird_kg,total_length_mm,tail_length_mm,num_tail_feathers,head_length_mm,wing_length_mm,bill_length_mm,bill_depth_mm,keel_length_mm,comb_length_mm,tarsus_length_mm,toe_length_mm,air_sac_color,comb_color,lice_back_of_head,num_lice_on_comb,num_lice_on_air_sac_left,num_lice_on_air_sac_right,total_num_lice_on_air_sacs,lice_ID_ifpresent,hematomas_combs,num_hematomas_on_comb_left,num_hematomas_on_comb_right,total_num_hematomas_on_combs,hematomas_comb_comments,hematomas_air_sacs,num_hematomas_on_air_sac_left,num_hematomas_on_air_sac_right,total_num_hematomas_on_air_sacs,hematomas_air_sacs_comments,hematoma_group,hematomas_applied,cut_feathers,collect,labelled,samples_collected_blood,blood_smear,blood_tryps,blood_malaria,blood_leuco,blood_haema,samples_collected_fecal,fecal_samples_mites,fecal_samples_spores,fecal_samples_coccidia,fecal_samples_comments,samples_collected_ectoparasites,samples_collected_cecal,hematocrit_cells_1,hematocrit_cells_2,hematocrit_plasma_1,hematocrit_plasma_2,hematocrit_total_1,hematocrit_total_2,slide_number,box_number,existing_injuries,handling_injury,stresses_while_handling_describe,comments
1,1,1987,4,8,NA,NA,adult,male,cordingly,NA,NA,red,196,R196,red,108,R108,NA,NA,NA,NA,3.25,770,293,NA,NA,306,40.6,22.2,136,25,71,72,yellow,yellow,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,NA,NA,yes,no,yes,no,NA,yes,NA,3,NA,9.5,NA,12.5,NA,NA,NA,NA,NA,NA,NA
2,2,1987,4,8,NA,NA,adult,male,cordingly,NA,NA,green,396,G396,green,392,G392,NA,NA,NA,NA,3,810,320,NA,NA,325,38.5,22.1,133,22.4,71,73,yellow,green,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,yes,NA,NA,yes,no,yes,no,NA,yes,NA,5.5,NA,4.5,NA,10,NA,NA,NA,NA,NA,NA,NA
4,4,1987,4,11,NA,NA,adult,male,cordingly,NA,NA,white,499,W499,white,498,W498,NA,NA,NA,NA,3.45,772,304,NA,NA,308,38.8,21.5,137,24.8,69,71,green,green,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,NA,yes,yes,no,no,no,NA,yes,NA,8,NA,9.5,NA,17.5,NA,NA,NA,NA,NA,NA,Nasty gash on top of head
5,5,1987,4,11,NA,NA,adult,male,cordingly,NA,NA,orange,91,O91,orange,90,O90,NA,NA,NA,NA,3.1,742,282,NA,NA,310,37.6,20.8,136,22.7,71,71,yellow,yellow green,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,NA,yes,NA,8,NA,2.5,NA,10.5,NA,NA,NA,NA,NA,NA,NA
6,6,1987,4,11,NA,NA,juven,male,cordingly,NA,NA,blue,265,B265,blue,264,B264,NA,NA,NA,NA,2.9,682,234,NA,NA,307,37.3,22.2,130,22.5,70,69,yellow green,yellow green,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,yes,NA,NA,no,no,yes,no,NA,yes,NA,8,NA,3.5,NA,11.5,NA,NA,NA,NA,NA,NA,NA
7,7,1987,4,16,NA,NA,adult,male,cordingly,NA,NA,red,196,R196,red,108,R108,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,no,NA,NA,yes,no,yes,no,NA,no,NA,12,NA,18,NA,30,NA,NA,NA,NA,NA,NA,*Recapture
8,8,1987,4,16,NA,NA,adult,male,cordingly,NA,NA,orange,91,O91,orange,90,O90,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,NA,no,NA,10,NA,13,NA,23,NA,NA,NA,NA,NA,NA,*Recapture
9,9,1987,4,16,NA,NA,adult,male,cordingly,NA,NA,green,396,G396,green,392,G392,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,no,NA,NA,yes,no,yes,no,NA,no,NA,10,NA,16,NA,26,NA,NA,NA,NA,NA,NA,*Recapture
10,1,1987,3,28,NA,NA,NA,female,broken_wing,NA,NA,blue,210,B210,orange,38,O38,NA,NA,NA,NA,1.55,539,165,NA,NA,255,28.6,17.4,99,NA,57,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fetterman Road Leks (written at top of pg). Radio 150.909. Tags returned 1989 - bird presumed dead
11,2,1987,4,5,NA,NA,adult,male,broken_wing,NA,NA,white,448,W448,green,307,G307,NA,NA,NA,NA,3.1,767,300,NA,NA,318,37.5,21.5,129,22.3,70,70,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,no,no,no,NA,yes,yes,yes,yes,no,NA,yes,NA,6,NA,10,NA,16,NA,NA,NA,NA,NA,NA,Fetterman (written at top of pg). No lice found
