"left_tag_code","left_tag_colour","left_tag_number","right_tag_code","right_tag_colour","right_tag_number","year","month","day","lek_name","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"B1666","blue","1666","Y1267","yellow","1267","1990",4,"25","north","adult","0","0.26875","0.256944444","-0.011805556","0","no","no","no"
"B1666","blue","1666","Y1267","yellow","1267","1990",4,"07","north","adult","5","0.294444444","0.278472222","-0.015972222","1","no","no","no"
"B1666","blue","1666","Y1267","yellow","1267","1990",5,"02","north","adult","18","0.304166667","0.248611111","-0.055555556","3","no","no","no"
"B1666","blue","1666","Y1267","yellow","1267","1990",4,"18","north","adult","2","0.275694444","0.265277778","-0.010416667","3","no","no","no"
"B1666","blue","1666","Y1267","yellow","1267","1990",4,"22","north","adult","16","0.252083333","0.263888889","0.011805556","1","no","no","no"
"B1666","blue","1666","Y1267","yellow","1267","1990",4,"05","north","adult","0","0.316666667","0.278472222","-0.038194444","3","no","no","no"
"B1666","blue","1666","Y1267","yellow","1267","1990",5,"07","north","adult","23","0.240277778","0.245138889","0.004861111","3","no","no","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"14","north","adult","40","0.272916667","0.26875","-0.004166667","1","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"15","north","adult","47","0.276388889","0.267361111","-0.009027778","1","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",5,"07","north","adult","37","0.258333333","0.245138889","-0.013194444","1","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"23","north","adult","9","0.270833333","0.261111111","-0.009722222","3","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"12","north","adult","10","0.302777778","0.270833333","-0.031944444","2","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",5,"02","north","adult","3","0.279861111","0.248611111","-0.03125","3","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"07","north","adult","40","0.279166667","0.278472222","-0.000694444","1","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"27","north","adult","27","0.261805556","0.254861111","-0.006944444","2","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"23","north","adult","0","0.25","0.261111111","0.011111111","3","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"22","north","adult","1","0.29375","0.263888889","-0.029861111","3","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"18","north","adult","29","0.278472222","0.265277778","-0.013194444","3","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"23","north","adult","11","0.284027778","0.261111111","-0.022916667","3","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"10","north","adult","1","0.296527778","0.275","-0.021527778","3","no","yes","no"
"B1670","blue","1670","O1364","orange","1364","1990",4,"25","north","adult","0","0.25625","0.256944444","0.000694444","0","no","yes","no"
