,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE,
87,Long Lake,B205,W405,adult,01-Apr,0,0.234722222,0.24375,-0.009027778,0,0,,,
87,Long Lake,B205,W405,adult,19-Apr,0,0.295138889,0.263194444,0.031944444,0,0,,,
87,Long Lake,B205,W405,adult,01-Apr,0,0.278472222,0.24375,0.034722222,0,0,,,
87,Long Lake,B205,W405,adult,30-Apr,0,0.24375,0.252777778,-0.009027778,0,0,,,
87,Long Lake,B205,W405,adult,01-Apr,1,0.29375,0.24375,0.05,0,0,,,
87,Long Lake,B205,W405,adult,28-Apr,1,0.284722222,0.253472222,0.03125,0,0,,,
87,Long Lake,B205,W405,adult,03-Apr,26,0.269444444,0.241666667,0.027777778,0,0,,,
87,Long Lake,B205,W405,adult,03-Apr,17,0.247222222,0.241666667,0.005555556,0,0,,,
87,Long Lake,B205,W405,adult,19-Apr,32,0.26875,0.263194444,0.005555556,1,0,,,
87,Long Lake,B205,W405,adult,26-Apr,34,0.247916667,0.255555556,-0.007638889,1,0,,,
87,Long Lake,B205,W405,adult,03-May,23,0.245833333,0.250694444,-0.004861111,1,0,,,
87,Long Lake,B205,W405,adult,16-Apr,6,0.269444444,0.267361111,0.002083333,2,0,,,
87,Long Lake,B205,W405,adult,29-Apr,0,0.234722222,0.252777778,-0.018055556,3,0,,,
87,Long Lake,B205,W405,adult,13-Apr,0,0.279861111,0.272916667,0.006944444,4,0,,,
87,Long Lake,B205,W405,adult,28-Apr,2,0.254861111,0.253472222,0.001388889,4,0,,,
87,Long Lake,B205,W405,adult,28-Apr,0,0.270833333,0.253472222,0.017361111,4,0,,,
87,Long Lake,B205,W405,adult,03-Apr,11,0.283333333,0.241666667,0.041666667,4,0,,,
87,Long Lake,B274,P566,adult,16-Apr,17,0.263194444,0.267361111,-0.004166667,1,0,,,
87,Long Lake,B257,R180,adult,29-Apr,12,0.244444444,0.252777778,-0.008333333,3,0,,,
87,Long Lake,B257,R180,adult,03-May,1,0.25625,0.250694444,0.005555556,3,0,,,
87,Long Lake,G303,O5,adult,01-Apr,22,0.270138889,0.24375,0.026388889,0,1,,,
87,Long Lake,G303,O5,adult,03-Apr,14,0.241666667,0.241666667,0,0,1,,,
87,Long Lake,G303,O5,adult,01-Apr,20,0.289583333,0.24375,0.045833333,0,1,,,
87,Long Lake,G303,O5,adult,30-Apr,0,0.250694444,0.252777778,-0.002083333,0,1,,,
87,Long Lake,G303,O5,adult,01-Apr,24,0.254861111,0.24375,0.011111111,0,1,,,
87,Long Lake,G303,O5,adult,16-Apr,30,0.284027778,0.267361111,0.016666667,1,1,,,
87,Long Lake,G303,O5,adult,19-Apr,42,0.2625,0.263194444,-0.000694444,1,1,,,
87,Long Lake,G303,O5,adult,05-Apr,7,0.286805556,0.283333333,0.003472222,4,0,,,
87,Long Lake,G321,W421,juven,26-Apr,0,0.291666667,0.255555556,0.036111111,2,0,,,
87,Long Lake,G321,W421,juven,08-Apr,2,0.280555556,0.278472222,0.002083333,4,0,,,
87,Long Lake,G321,W421,juven,08-Apr,0,0.267361111,0.278472222,-0.011111111,4,0,,,
87,Long Lake,G389,R183,adult,19-Apr,8,0.277083333,0.263194444,0.013888889,1,1,,,
87,Long Lake,G393,P562,adult,19-Apr,0,0.284027778,0.263194444,0.020833333,0,0,,,
87,Long Lake,O16,B214,adult,26-Apr,25,0.259722222,0.255555556,0.004166667,1,0,,,
87,Long Lake,O16,B214,adult,16-Apr,28,0.305555556,0.267361111,0.038194444,1,0,,,
87,Long Lake,O16,B214,adult,11-Apr,6,0.271527778,0.275,-0.003472222,1,0,,,
87,Long Lake,O16,B214,adult,28-Apr,7,0.243055556,0.253472222,-0.010416667,2,0,,,
