"binder_pdf_scan_page","year","month","day","time_search_start_24h","time_search_end_24h","lek_name","observer","age","sex","capture_technique","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","wygf_leg_band","weight_bird_and_bag_g","weight_bag_g","bird_weight_g","total_length_mm","tail_length_mm","num_tail_feathers","head_length_mm","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","bill_length_mm","bill_depth_mm","comb_length_mm","comb_color","num_lice_on_comb","air_sac_color","num_lice_on_air_sac","lice_back_of_head","hematomas_air_sacs","hematomas_combs","hematomas_comb_comments","cut_feathers","collect","labelled","hematoma_group","hematomas_applied","samples_collected_blood","samples_collected_fecal","samples_collected_ectoparasites","existing_injuries","handling_injury","stresses_while_handling_describe","comments"
"1","1988","04","06","11:44",NA,"cordingly",NA,"adult","male",NA,"green","334","G334","white","475","W475",NA,NA,NA,"2.95","760","328","17",NA,"309","142","75","67","39.34","21.34","26.6","yellow olive","0","bistre yellow","20","no","yes","no",NA,"yes","yes","yes",NA,NA,"yes","yes","yes","Right air sac - gash in center. Many hematomas",NA,NA,NA
"2","1988","04","11","3:20",NA,"cordingly",NA,"adult","male",NA,"orange","66","O66","purple","556","P556",NA,NA,NA,"3.4","709","292","16",NA,"317","134","72","76","41.45","20.5","26.1","olive yellow","0","bistre yellow","1","no","yes","no",NA,"yes","yes","yes",NA,NA,"yes","yes","no",NA,NA,NA,NA
"3","1988","04","13","1:46",NA,"cordingly",NA,"adult","male",NA,"white","430","W430","red","178","R178",NA,NA,NA,"3.81","781","308","18",NA,"326","168","65","70","37.85","23.35","23.4","yellow olive","0","bistre yellow","1","no","yes","no",NA,"yes","yes","yes",NA,NA,"yes","yes","no",NA,NA,NA,NA
"4","1988","04","13","9:45",NA,"cordingly",NA,"adult","male",NA,"orange",NA,"O","purple","556","P556",NA,NA,NA,"3.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,"no","no","no",NA,NA,NA,"RECAPTURE"
"5","1988","04","14","12:25",NA,"cordingly",NA,"adult","male",NA,"blue","265","B265","blue","264","B264",NA,NA,NA,"3.05","750","304","18",NA,"324","141","70","65","39.55","22.6","20.35","olive yellow","0","bistre yellow","5","no","no","yes",NA,"yes","yes","yes",NA,NA,"yes","yes","yes",NA,NA,NA,"RECAPTURE"
"6","1988","04","14","1:00",NA,"cordingly",NA,"adult","male",NA,"orange",NA,"O","purple",NA,"P",NA,NA,NA,"2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,"no","no","no",NA,NA,NA,"RECAPTURE"
"7","1988","04","15","0:15",NA,"cordingly",NA,"adult","male",NA,"orange","66","O66","purple",NA,"P",NA,NA,NA,"3.62874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,"no","no","no",NA,NA,NA,NA
"8","1988","04","06","11:25",NA,"cordingly",NA,"adult","female","nightlighting","green","351","G351","green","372","G372",NA,NA,NA,"1.55","557","209",NA,"67.65","261","104","59","56","28.88","18.9","16.4",NA,NA,NA,NA,"no",NA,NA,NA,"yes","yes","yes",NA,NA,"yes","yes","yes",NA,NA,NA,NA
"9","1988","04","11","7:20",NA,"cordingly",NA,"adult","female",NA,"orange","53","O53","orange","54","O54",NA,NA,NA,"1.7","534","205",NA,NA,"268","96","59","61","34.88","19.6",NA,NA,NA,NA,NA,"no",NA,NA,NA,"no","no","no",NA,NA,"no","no","no",NA,NA,NA,NA
"10","1988","04","11","7:35",NA,"cordingly",NA,"juven","female",NA,"purple","529","P529","purple","526","P526",NA,NA,NA,"1.7","536","200",NA,NA,"256","103","52","54","32.9","18.35",NA,NA,NA,NA,NA,"no",NA,NA,NA,"yes","yes","yes",NA,NA,"yes","yes","yes",NA,NA,NA,NA
"11","1988","04","15","0:48",NA,"cordingly",NA,"adult","female",NA,"orange","69","O69","purple","557","P557",NA,NA,NA,"2.63084","550","105",NA,NA,"272","138","56","55","33","18.35",NA,NA,NA,NA,NA,"no",NA,NA,NA,"yes","yes","yes",NA,NA,"yes","yes","no",NA,NA,NA,NA
