"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type_","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","time","sunrise_time","num_males_observed","num_females_observed","comments_observations_or_marks","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder","12","1988","4","1","5:20","Cody Boyce","cordingly",NA,"0","0","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:20","5:47","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"males walked through the lek rather promptly, immediately past the most virogously stritting males. They (?) by the north male - who was not strutting, but after a couple of minutes they walked on. immediatly past (???)"
"binder","12","1988","4","1","5:20","Cody Boyce","cordingly",NA,"0","0","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:26","5:47","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"males walked through the lek rather promptly, immediately past the most virogously stritting males. They (?) by the north male - who was not strutting, but after a couple of minutes they walked on. immediatly past (???)"
"binder","12","1988","4","1","5:20","Cody Boyce","cordingly",NA,"0","0","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:28","5:47","5","1","males flew in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"males walked through the lek rather promptly, immediately past the most virogously stritting males. They (?) by the north male - who was not strutting, but after a couple of minutes they walked on. immediatly past (???)"
"binder","12","1988","4","1","5:20","Cody Boyce","cordingly",NA,"0","0","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:30","5:47","5","3","Females walking though lek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"males walked through the lek rather promptly, immediately past the most virogously stritting males. They (?) by the north male - who was not strutting, but after a couple of minutes they walked on. immediatly past (???)"
"binder","12","1988","4","1","5:20","Cody Boyce","cordingly",NA,"0","0","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:50","5:47","5","0","3 males close together",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"males walked through the lek rather promptly, immediately past the most virogously stritting males. They (?) by the north male - who was not strutting, but after a couple of minutes they walked on. immediatly past (???)"
"binder","12","1988","4","1","5:20","Cody Boyce","cordingly",NA,"0","0","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:00","5:47","5",NA,"No marked males - all adults ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"males walked through the lek rather promptly, immediately past the most virogously stritting males. They (?) by the north male - who was not strutting, but after a couple of minutes they walked on. immediatly past (???)"
"binder","12","1988","4","1","5:20","Cody Boyce","cordingly",NA,"0","0","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:32","5:47","5",NA,"males begun wandering off ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"males walked through the lek rather promptly, immediately past the most virogously stritting males. They (?) by the north male - who was not strutting, but after a couple of minutes they walked on. immediatly past (???)"
"binder","13","1988","4","17","6:14","White/Koeppeiu","cordingly",NA,"0-5","10","no","no",NA,NA,"Clear","coyotes","6:28","observation",NA,NA,NA,NA,NA,NA,NA,"6:14",NA,"8","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:28: 2 Coyotes around 100m W along fence line, followed fence line - group not upset. By 7:08, so scattered (?), 2 males, several (9) females? moved around 60m N on the lek to keep strutting. By 7:00: male spread more than 100 m N -> S"
"binder","13","1988","4","17","6:14","White/Koeppeiu","cordingly",NA,"0-5","10","no","no",NA,NA,"Clear","coyotes","6:28","observation",NA,NA,NA,NA,NA,NA,NA,"6:38",NA,"8","12","1 JUV, 1 Female marked - ?/G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:28: 2 Coyotes around 100m W along fence line, followed fence line - group not upset. By 7:08, so scattered (?), 2 males, several (9) females? moved around 60m N on the lek to keep strutting. By 7:00: male spread more than 100 m N -> S"
"binder","13","1988","4","17","6:14","White/Koeppeiu","cordingly",NA,"0-5","10","no","no",NA,NA,"Clear","coyotes","6:28","observation",NA,NA,NA,NA,NA,NA,NA,"6:50",NA,"8","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:28: 2 Coyotes around 100m W along fence line, followed fence line - group not upset. By 7:08, so scattered (?), 2 males, several (9) females? moved around 60m N on the lek to keep strutting. By 7:00: male spread more than 100 m N -> S"
"binder","13","1988","4","17","6:14","White/Koeppeiu","cordingly",NA,"0-5","10","no","no",NA,NA,"Clear","coyotes","6:28","observation",NA,NA,NA,NA,NA,NA,NA,"7:03",NA,"8","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:28: 2 Coyotes around 100m W along fence line, followed fence line - group not upset. By 7:08, so scattered (?), 2 males, several (9) females? moved around 60m N on the lek to keep strutting. By 7:00: male spread more than 100 m N -> S"
"binder","14","1988","4","9","5:50","Boyce/McDonald ","cordingly",NA,"0","100","no","no",NA,NA,"Dry",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:00",NA,"6","11","females clustered around stake. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"females all left by 6:45 -- strutting markedly - reduced strutting frequency. Copulation: bird to right of stake by 10m. "
"binder","14","1988","4","9","5:50","Boyce/McDonald ","cordingly",NA,"0","100","no","no",NA,NA,"Dry",NA,NA,"copulation","unmarked",NA,NA,NA,NA,NA,NA,"6:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","yes",NA,NA,"females all left by 6:45 -- strutting markedly - reduced strutting frequency. Copulation: bird to right of stake by 10m. "
