,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE
89,Long Lake,B948,Y1142,adult,,15,0.26402778,0.25930556,-0.004722222,1.8,0,0,0
89,Long Lake,B949,R900,adult, ,8.5,0.26076389,0.24826389,-0.0125,3,0,0,0
89,Long Lake,B950,W658,adult,,11.5,0.26493056,0.2546875,-0.010243056,2,0,0,0
89,Long Lake,B993,G1051,adult,,26,0.26736111,0.25347222,-0.013888889,2.5,0,0,3
89,Long Lake,G1066,O705,adult,,10,0.26059028,0.24739583,-0.013194444,1.75,0,0,1
89,Long Lake,G1084,R883,adult,,9.1428571,0.26021825,0.25456349,-0.005654762,2.5714286,0,0,0
89,Long Lake,G1576,W1440,adult, ,19,0.27222222,0.27083333,-0.001388889,1,0,0,0
89,Long Lake,G305,G304,adult, ,1,0.28680556,0.27222222,-0.014583333,3,0,0,3
89,Long Lake,G378,Y,adult, ,20,0.28055556,0.24930556,-0.03125,3,0,0,3
89,Long Lake,O738,R848,adult, ,2,0.27430556,0.24930556,-0.025,2,0,0,0
89,Long Lake,O74,O75,adult, ,15,0.29375,0.24930556,-0.044444444,xa,0,0,3
89,Long Lake,O1317,W1439,adult,,21.75,0.25659722,0.25347222,-0.003125,1.75,0,0,0
89,Long Lake,R105,R106,adult, ,14,0.26388889,0.25694444,-0.006944444,2,0,0,3
89,Long Lake,R150,W471,adult,,22,0.25694444,0.25833333,0.001388889,1.6666667,0,0,3
89,Long Lake,R840,R839,adult, ,13,0.26041667,0.24722222,-0.013194444,3,0,0,0
89,Long Lake,R843,B1611,adult,,13.333333,0.25208333,0.25555556,0.003472222,2.3333333,0,0,0
89,Long Lake,R887,G1098,adult,,8,0.27222222,0.25902778,-0.013194444,3,0,0,0
89,Long Lake,RB1660,B1661,adult,,21.8,0.25138889,0.24708333,-0.004305556,1.4,1,0,0
89,Long Lake,RW1429,R1705,adult, ,27,0.28402778,0.24930556,-0.034722222,3,0,1,0
89,Long Lake,W1441,R844,adult,,8.3333333,0.26226852,0.25023148,-0.012037037,2.6666667,0,0,1
89,Long Lake,W438,B248,adult,,31,0.26145833,0.24878472,-0.012673611,2,0,0,3
89,Long Lake,W470,O31,adult,,17.5,0.25208333,0.24965278,-0.002430556,2,0,0,3
89,Long Lake,Y,G381,adult,,2.25,0.26024306,0.25347222,-0.006770833,2.75,0,0,0
89,Long Lake,Y1116,Y1118,adult,,15.8,0.25736111,0.25652778,-0.000833333,2.2,0,0,0
89,Long Lake,Y163,R865,adult,,11,0.26527778,0.26006944,-0.005208333,3,0,0,0
,,,,,,,,,,,,,
89,Viewpoint,B1654,B1655,adult,,31,0.28310185,0.27777778,-0.005324074,1,0,1,0
89,Viewpoint,G1587,O1325,adult, ,26,0.26319444,0.27916667,0.015972222,1,0,1,0
89,Viewpoint,O1315,W1448,adult, ,30,0.24375,0.24930556,0.005555556,2,0,0,0
89,Viewpoint,O1316,O1324,adult,,27,0.28009259,0.27777778,-0.002314815,1,1,1,0
89,Viewpoint,W670,W671,adult,,20.5,0.25590278,0.26423611,0.008333333,1.5,0,0,0
89,Viewpoint,Y1241,Y1242,adult,,1.5,0.28020833,0.278125,-0.002083333,2,0,0,0
,,,,,,,,,,,,,
89,Mud Springs,G1029,G1032,adult,,15,0.26979167,0.24791667,-0.021875,3,0,0,3
89,Mud Springs,G1064,B984,adult, ,2,0.24722222,0.24652778,-0.000694444,3,0,0,3
89,Mud Springs,G1076,R892,adult,,10,0.27430556,0.24670139,-0.027604167,2.5,0,0,3
89,Mud Springs,R113,R111,adult,,16.125,0.27907986,0.26484375,-0.014236111,2,1,0,0
89,Mud Springs,R845,B947,adult, ,16,0.29097222,0.27777778,-0.013194444,2,0,0,1
89,Mud Springs,R860,Y1182,adult,,25.307692,0.2795406,0.27008547,-0.009455128,1.6923077,1,0,0
89,Mud Springs,R899,G1065,adult,,28.666667,0.28009259,0.25671296,-0.02337963,1,0,0,0
89,Mud Springs,W627,B986,adult,,25.545455,0.27537879,0.27272727,-0.002651515,1.7272727,0,1,0
89,Mud Springs,W632,R876,adult,,21.666667,0.27824074,0.27546296,-0.002777778,1.6666667,0,0,3
89,Mud Springs,WB1605,WG1583,adult, ,14,0.30486111,0.275,-0.029861111,1,0,0,0
89,Mud Springs,WB1656,WR1714,adult, ,36,0.30347222,0.275,-0.028472222,1,0,0,0
89,Mud Springs,WO1314,Y1259,adult,,12.333333,0.26226852,0.25023148,-0.012037037,2,0,0,0
89,Mud Springs,WO1318,W1404,adult, ,12,0.28125,0.25694444,-0.024305556,3,0,0,1
89,Mud Springs,WO787,WG1582,adult, ,13,0.29583333,0.275,-0.020833333,1,0,0,1
89,Mud Springs,WR1706,W1401,adult,,25,0.26371528,0.25121528,-0.0125,2.5,0,0,0
89,Mud Springs,WY1122,WO716,adult,,21,0.27569444,0.26157407,-0.01412037,1.6666667,0,0,1
89,Mud Springs,Y1112,W1450,adult,,2.3333333,0.27199074,0.24930556,-0.022685185,3,0,0,0
89,Mud Springs,Y1155,B963,adult, ,23,0.31736111,0.27916667,-0.038194444,1,0,0,3
89,Mud Springs,Y1167,G1031,adult,,26.2,0.28013889,0.27777778,-0.002361111,1.2,1,3,0
89,Mud Springs,Y1174,O750,adult,,12.5,0.27829861,0.25486111,-0.0234375,2.75,0,0,3
,,,,,,,,,,,,,
89,Sybille Spgs,B1658,Y1246,adult, ,11,0.29930556,0.275,-0.024305556,3,0,0,1
89,Sybille Spgs,G1073,Y1235,adult, ,7,0.24652778,0.24791667,0.001388889,3,0,0,0
89,Sybille Spgs,G1596,B1612,adult, ,0,0.28125,0.26944444,-0.011805556,3,0,0,1
89,Sybille Spgs,O1320,Y1250,adult,,10.75,0.2515625,0.24930556,-0.002256944,2.5,0,1,0
