"l_tag","r_tag","year","month","day","lek","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"b",NA,"1989",4,"30","mud_springs",NA,"2","0.2875","0.252777778","-0.034722222","0","0","0",NA
"b",NA,"1989",4,"11","mud_springs",NA,"28","0.267361111","0.276388889","0.009027778","1","0","0",NA
"b",NA,"1989",4,"14","mud_springs",NA,"32","0.278472222","0.275","-0.003472222","1","0","0",NA
"b",NA,"1989",4,"13","mud_springs",NA,"20","0.296527778","0.275","-0.021527778","1","0","0",NA
"B1654","B1655","1989",4,"05","viewpoint","adult","38","0.268055556","0.279166667","0.011111111","1","0","1","0"
"B1654","B1655","1989",4,"10","viewpoint","adult","29","0.297222222","0.277083333","-0.020138889","1","0","1","0"
"B1654","B1655","1989",4,"10","viewpoint","adult","26","0.284027778","0.277083333","-0.006944444","1","0","1","0"
"B1658","Y1246","1989",4,"13","sybille_spgs","adult","11","0.299305556","0.275","-0.024305556","3","0","0","1"
"B207","B206","1989",3,"19","long_lake","adult","17","0.284722222","0.259027778","-0.025694444","0","0","0",NA
"B265","B264","1989",4,"07","cordingly","adult","8","0.275694444","0.278472222","0.002777778","0","0","0","3"
"B265","B264","1989",4,"07","cordingly","adult","31","0.288194444","0.278472222","-0.009722222","2","0","0","3"
"B285","B279","1989",4,"06","north","adult","5","0.308333333","0.278472222","-0.029861111","3","0","0","3"
"B285","B279","1989",4,"08","north","adult","20","0.281944444","0.277777778","-0.004166667","1","0","0","3"
"B285","B279","1989",4,"20","north","adult","0","0.286805556","0.268055556","-0.01875","3","0","0","3"
"B948","Y1142","1989",4,"17","long_lake","adult","28","0.258333333","0.270833333","0.0125","1","0","0","0"
"B948","Y1142","1989",4,"16","long_lake","adult","11","0.292361111","0.272222222","-0.020138889","1","0","0","0"
"B948","Y1142","1989",5,"02","long_lake","adult","28","0.25","0.25","0","1","0","0","0"
"B948","Y1142","1989",4,"27","long_lake","adult","0","0.259027778","0.256944444","-0.002083333","3","0","0","0"
"B948","Y1142","1989",5,"08","long_lake","adult","8","0.260416667","0.246527778","-0.013888889","3","0","0","0"
"B949","R900","1989",5,"07","long_lake","adult","6","0.245833333","0.247222222","0.001388889","3","0","0","0"
"B949","R900","1989",5,"04","long_lake","adult","11","0.275694444","0.249305556","-0.026388889","3","0","0","0"
