,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE
90,Mud Springs,G1076,R892,adult,22-Apr,21,0.270833333,0.263888889,-0.006944444,1,,,
90,Mud Springs,G1076,R892,adult,28-Apr,5,0.297916667,0.254861111,-0.043055556,3,,,
90,Mud Springs,G1512,WY1280,adult,10-May,26,0.265277778,0.243055556,-0.022222222,1,,,
90,Mud Springs,O13,B298,adult,02-May,0,0.277777778,0.248611111,-0.029166667,3,,,
90,Mud Springs,R899,G1065,adult,24-Apr,0,0.267361111,0.259027778,-0.008333333,3,,,
90,Mud Springs,WB1605,WG1583,adult,23-Apr,30,0.298611111,0.261111111,-0.0375,0,,,
90,Mud Springs,WB1610,W1433,adult,10-May,25,0.263888889,0.243055556,-0.020833333,3,,,
90,Mud Springs,WG1511,O1306,adult,28-Apr,16,0.250694444,0.254861111,0.004166667,2,,,
90,Mud Springs,WG1552,Y1252,adult,06-May,0,0.265972222,0.245833333,-0.020138889,3,,,
90,Mud Springs,WG1552,Y1252,adult,06-May,1,0.290277778,0.245833333,-0.044444444,3,,,
90,Mud Springs,WG1552,Y1252,adult,24-Apr,0,0.271527778,0.259027778,-0.0125,3,,,
90,Mud Springs,WG1597,WB1608,adult,19-Apr,38,0.280555556,0.264583333,-0.015972222,1,1,,
90,Mud Springs,WG1597,WB1608,adult,19-Apr,32,0.286805556,0.264583333,-0.022222222,1,1,,
90,Mud Springs,WG1597,WB1608,adult,22-Apr,30,0.277083333,0.263888889,-0.013194444,1,1,,
90,Mud Springs,WO1304,B1615,adult,23-Apr,3,0.275,0.261111111,-0.013888889,3,,,
90,Mud Springs,WO1304,B1615,adult,08-May,6,0.263888889,0.244444444,-0.019444444,3,,,
90,Mud Springs,WO1304,B1615,adult,28-Apr,0,0.277083333,0.254861111,-0.022222222,3,,,
90,Mud Springs,WO1304,B1615,adult,24-Apr,9,0.288888889,0.259027778,-0.029861111,3,,,
90,Mud Springs,WO1317,R1764,adult,06-May,4,0.252083333,0.245833333,-0.00625,3,,,
90,Mud Springs,WR1716,R1721,adult,08-May,18,0.273611111,0.244444444,-0.029166667,1,,,
90,Mud Springs,WR1719,WG1584,adult,06-May,28,0.238194444,0.245833333,0.007638889,1,,,
90,Mud Springs,WR1719,WG1584,adult,04-May,25,0.249305556,0.247222222,-0.002083333,1,,,
90,Mud Springs,WR1719,WG1584,adult,08-May,0,0.264583333,0.244444444,-0.020138889,3,,,
90,Mud Springs,WR1719,WG1584,adult,06-May,13,0.290277778,0.245833333,-0.044444444,3,,,
90,Mud Springs,WR1719,WG1584,adult,28-Apr,2,0.259722222,0.254861111,-0.004861111,3,,,
90,Mud Springs,WR1719,WG1584,adult,30-Apr,0,0.272916667,0.254166667,-0.01875,3,,,
90,Mud Springs,WR1719,WB1584,adult,24-Apr,5,0.295138889,0.259027778,-0.036111111,3,,,
90,Mud Springs,WY1228,R1730,adult,28-Apr,17,0.266666667,0.254861111,-0.011805556,1,,,
90,Mud Springs,WY1228,R1730,adult,08-May,0,0.261805556,0.244444444,-0.017361111,1,1,,
90,Mud Springs,WY1228,R1730,adult,24-Apr,0,0.301388889,0.259027778,-0.042361111,3,1,,
90,Mud Springs,WY1228,R1730,adult,06-May,0,0.265972222,0.245833333,-0.020138889,3,,,
90,Mud Springs,WY1228,R1730,adult,06-May,0,0.295138889,0.245833333,-0.049305556,3,,,
90,Mud Springs,WY1228,R1730,adult,28-Apr,0,0.245138889,0.254861111,0.009722222,3,1,,
90,Mud Springs,Y1174,O750,adult,23-Apr,32,0.284722222,0.261111111,-0.023611111,0,,,
90,Mud Springs,Y1174,O750,adult,29-Apr,21,0.305555556,0.254166667,-0.051388889,1,,,
90,Mud Springs,Y1174,O750,adult,02-May,26,0.239583333,0.248611111,0.009027778,2,,,
,,,,,,,,,,,,,
90,Sybille,B969,R869,adult,18-Apr,29,0.258333333,0.265277778,0.006944444,1,,,
90,Sybille,B970,B971,adult,05-Apr,27,0.295138889,0.278472222,-0.016666667,3,,,
90,Sybille,G1591,G1590,adult,22-Apr,35,0.291666667,0.263888889,-0.027777778,1,1,,
90,Sybille,G1591,G1590,adult,15-Apr,29,0.264583333,0.267361111,0.002777778,1,,,
90,Sybille,G1591,G1590,adult,15-Apr,37,0.267361111,0.267361111,0,1,,,
90,Sybille,G1591,G1590,adult,15-Apr,41,0.291666667,0.267361111,-0.024305556,1,1,,
90,Sybille,G1591,G1590,adult,12-Apr,18,0.274305556,0.270833333,-0.003472222,2,1,,
90,Sybille,G1591,G1590,adult,24-Apr,7,0.285416667,0.259027778,-0.026388889,3,,,
90,Sybille,G1591,G1590,adult,17-Apr,0,0.294444444,0.265972222,-0.028472222,3,,,
90,Sybille,O1355,W1402,adult,15-Apr,0,0.284027778,0.267361111,-0.016666667,3,,,
90,Sybille,O1355,W1402,adult,03-May,0,0.246527778,0.247916667,0.001388889,3,,,
90,Sybille,O1355,W1402,adult,16-Apr,8,0.281944444,0.265972222,-0.015972222,3,,,
90,Sybille,R1704,Y1256,adult,30-Apr,0,0.270833333,0.254166667,-0.016666667,0,,,
90,Sybille,R1704,Y1256,adult,03-May,0,0.25625,0.247916667,-0.008333333,0,,,
90,Sybille,R1704,Y1256,adult,15-Apr,26,0.304166667,0.267361111,-0.036805556,1,,,
90,Sybille,R1704,Y1256,adult,12-Apr,31,0.28125,0.270833333,-0.010416667,1,,,
90,Sybille,R1704,Y1256,adult,11-Apr,27,0.299305556,0.273611111,-0.025694444,1,,,
90,Sybille,R1704,Y1256,adult,22-Apr,32,0.266666667,0.263888889,-0.002777778,2,,,
90,Sybille,R1704,Y1256,adult,13-Apr,29,0.259027778,0.270833333,0.011805556,2,,,
90,Sybille,R1704,Y1256,adult,18-Apr,4,0.28125,0.265277778,-0.015972222,3,,,
90,Sybille,R1707,O1354,adult,05-Apr,43,0.271527778,0.278472222,0.006944444,1,,,
90,Sybille,R1711,B1625,adult,27-Mar,8,0.24375,0.25,0.00625,0,,,
90,Sybille,R1725,W1446,adult,27-Mar,16,0.263194444,0.25,-0.013194444,0,,,
90,Sybille,R1725,W1446,adult,05-Apr,33,0.271527778,0.278472222,0.006944444,1,,,
90,Sybille,W1405,G1595,adult,30-Apr,6,0.25,0.254166667,0.004166667,0,1,,
90,Sybille,W1405,G1595,adult,15-May,19,0.279166667,0.239583333,-0.039583333,1,1,,
90,Sybille,W1405,G1595,adult,15-May,30,0.248611111,0.239583333,-0.009027778,1,,,
90,Sybille,W1422,WR1742,adult,15-May,0,0.242361111,0.239583333,-0.002777778,3,,,
90,Sybille,W1442,B1609,adult,13-Apr,23,0.303472222,0.270833333,-0.032638889,1,,,
90,Sybille,W1442,B1609,adult,13-Apr,34,0.266666667,0.270833333,0.004166667,1,,,
90,Sybille,W1442,B1609,adult,16-Apr,29,0.274305556,0.265972222,-0.008333333,2,,,
90,Sybille,WB1626,W1407,adult,30-Apr,14,0.297222222,0.254166667,-0.043055556,0,,,
90,Sybille,WB1626,W1407,adult,15-May,0,0.248611111,0.239583333,-0.009027778,3,,,
90,Sybille,WB1668,R1727,adult,30-Apr,0,0.267361111,0.254166667,-0.013194444,0,,,
90,Sybille,WB1668,R1727,adult,10-May,17,0.197222222,0.243055556,0.045833333,1,,,
90,Sybille,WB1668,R1727,adult,22-Apr,29,0.254166667,0.263888889,0.009722222,1,,,
90,Sybille,WB1668,R1727,adult,24-Apr,14,0.25625,0.259027778,0.002777778,1,,,
90,Sybille,WB1668,R1727,adult,16-Apr,13,0.266666667,0.265972222,-0.000694444,2,,,
90,Sybille,WB1668,R1727,adult,17-Apr,20,0.258333333,0.265972222,0.007638889,2,,,
90,Sybille,WB1668,R1727,adult,13-May,26,0.263194444,0.239583333,-0.023611111,3,,,
90,Sybille,WB1668,R1727,adult,06-May,0,0.261111111,0.245833333,-0.015277778,3,,,
90,Sybille,WB1668,R1727,adult,15-May,0,0.244444444,0.239583333,-0.004861111,3,,,
90,Sybille,WG1514,W1480,adult,30-Apr,4,0.253472222,0.254166667,0.000694444,0,,,
90,Sybille,WG1514,W1480,adult,17-Apr,34,0.270138889,0.265972222,-0.004166667,3,,,
90,Sybille,WG1514,W1480,adult,10-May,23,0.250694444,0.243055556,-0.007638889,3,,,
90,Sybille,WG1561,Y1281,adult,17-Apr,4,0.305555556,0.265972222,-0.039583333,3,,,
90,Sybille,WG1573,R1761,adult,08-May,0,0.236111111,0.244444444,0.008333333,3,,,
90,Sybille,WO1305,Y1285,adult,18-Apr,14,0.254166667,0.265277778,0.011111111,2,,,
90,Sybille,WO1305,Y1285,adult,15-May,0,0.248611111,0.239583333,-0.009027778,3,,,
90,Sybille,WO1319,W1414,adult,30-Apr,3,0.275694444,0.254166667,-0.021527778,0,,,
90,Sybille,WO1319,W1414,adult,30-Apr,0,0.268055556,0.254166667,-0.013888889,0,,,
90,Sybille,WO1319,W1414,adult,23-Apr,9,0.284722222,0.261111111,-0.023611111,1,,,
90,Sybille,WO1319,W1414,adult,18-Apr,21,0.263888889,0.265277778,0.001388889,1,,,
90,Sybille,WO1319,W1414,adult,10-May,30,0.24375,0.243055556,-0.000694444,2,,,
90,Sybille,WO1319,W1414,adult,06-May,9,0.24375,0.245833333,0.002083333,2,,,
90,Sybille,WO1319,W1414,adult,17-Apr,0,0.294444444,0.265972222,-0.028472222,3,,,
90,Sybille,WO1319,W1414,adult,24-Apr,25,0.273611111,0.259027778,-0.014583333,3,,,
90,Sybille,WO1319,W1414,adult,13-May,28,0.233333333,0.239583333,0.00625,3,,,
90,Sybille,WO1369,B1627,adult,30-Apr,8,0.259722222,0.254166667,-0.005555556,0,,,
90,Sybille,WO1369,B1627,adult,03-May,0,0.2625,0.247916667,-0.014583333,0,,,
90,Sybille,WO1369,B1627,adult,06-May,11,0.239583333,0.245833333,0.00625,1,,,
90,Sybille,WO1369,B1627,adult,22-Apr,19,0.277777778,0.263888889,-0.013888889,1,,,
90,Sybille,WO1369,B1627,adult,10-May,26,0.24375,0.243055556,-0.000694444,2,,,
90,Sybille,WO1369,B1627,adult,15-May,3,0.244444444,0.239583333,-0.004861111,3,,,
90,Sybille,WO1369,B1627,adult,08-May,2,0.234027778,0.244444444,0.010416667,3,,,
90,Sybille,WO1369,B1627,adult,13-May,0,0.247222222,0.239583333,-0.007638889,3,,,
90,Sybille,WR1732,Y1284,adult,30-Apr,0,0.276388889,0.254166667,-0.022222222,0,,,
90,Sybille,WR1732,Y1284,adult,16-Apr,31,0.258333333,0.265972222,0.007638889,1,,,
90,Sybille,WR1732,Y1284,adult,10-May,34,0.234027778,0.243055556,0.009027778,1,,,
90,Sybille,WR1732,Y1284,adult,24-Apr,16,0.249305556,0.259027778,0.009722222,1,,,
90,Sybille,WR1732,Y1284,adult,06-May,22,0.246527778,0.245833333,-0.000694444,2,,,
90,Sybille,WR1732,Y1284,adult,01-May,1,0.247222222,0.249305556,0.002083333,3,,,
90,Sybille,WR1732,Y1284,adult,03-May,0,0.238194444,0.247916667,0.009722222,3,,,
90,Sybille,WR1762,W1415,adult,30-Apr,0,0.290972222,0.254166667,-0.036805556,0,,,
90,Sybille,WR1762,W1415,adult,30-Apr,0,0.261111111,0.254166667,-0.006944444,0,,,
90,Sybille,WR1762,W1415,adult,03-May,4,0.272222222,0.247916667,-0.024305556,0,,,
90,Sybille,WR1762,W1415,adult,23-Apr,32,0.284722222,0.261111111,-0.023611111,1,,,
90,Sybille,WR1762,W1415,adult,24-Apr,20,0.277777778,0.259027778,-0.01875,3,,,
90,Sybille,WR1762,W1415,adult,13-May,0,0.240277778,0.239583333,-0.000694444,3,,,
90,Sybille,WR1762,W1415,adult,08-May,0,0.238194444,0.244444444,0.00625,3,,,
90,Sybille,WR1762,W1415,adult,06-May,0,0.235416667,0.245833333,0.010416667,3,,,
90,Sybille,WR1763,G1575,adult,30-Apr,0,0.263888889,0.254166667,-0.009722222,0,,,
90,Sybille,WR1763,G1575,adult,30-Apr,6,0.288194444,0.254166667,-0.034027778,0,,,
90,Sybille,WY1279,G1565,adult,22-Apr,4,0.2875,0.263888889,-0.023611111,2,,,
90,Sybille,WY1279,G1565,adult,24-Apr,14,0.289583333,0.259027778,-0.030555556,3,,,
90,Sybille,Y,B235,adult,10-May,9,0.270138889,0.243055556,-0.027083333,3,,,
,,,,,,,,,,,,,
90,North,B1666,Y1267,adult,25-Apr,0,0.26875,0.256944444,-0.011805556,0,,,
90,North,B1666,Y1267,adult,07-Apr,5,0.294444444,0.278472222,-0.015972222,1,,,
90,North,B1666,Y1267,adult,22-Apr,16,0.252083333,0.263888889,0.011805556,1,,,
90,North,B1666,Y1267,adult,07-May,23,0.240277778,0.245138889,0.004861111,3,,,
90,North,B1666,Y1267,adult,02-May,18,0.304166667,0.248611111,-0.055555556,3,,,
90,North,B1666,Y1267,adult,18-Apr,2,0.275694444,0.265277778,-0.010416667,3,,,
90,North,B1666,Y1267,adult,05-Apr,0,0.316666667,0.278472222,-0.038194444,3,,,
90,North,B1670,O1364,adult,25-Apr,0,0.25625,0.256944444,0.000694444,0,,,
90,North,B1670,O1364,adult,07-May,37,0.258333333,0.245138889,-0.013194444,1,,,
90,North,B1670,O1364,adult,14-Apr,40,0.272916667,0.26875,-0.004166667,1,,,
90,North,B1670,O1364,adult,15-Apr,47,0.276388889,0.267361111,-0.009027778,1,,,
90,North,B1670,O1364,adult,07-Apr,40,0.279166667,0.278472222,-0.000694444,1,,,
90,North,B1670,O1364,adult,27-Apr,27,0.261805556,0.254861111,-0.006944444,2,,,
90,North,B1670,O1364,adult,12-Apr,10,0.302777778,0.270833333,-0.031944444,2,,,
90,North,B1670,O1364,adult,02-May,3,0.279861111,0.248611111,-0.03125,3,,,
90,North,B1670,O1364,adult,18-Apr,29,0.278472222,0.265277778,-0.013194444,3,,,
90,North,B1670,O1364,adult,23-Apr,11,0.284027778,0.261111111,-0.022916667,3,,,
90,North,B1670,O1364,adult,23-Apr,0,0.25,0.261111111,0.011111111,3,,,
90,North,B1670,O1364,adult,22-Apr,1,0.29375,0.263888889,-0.029861111,3,,,
90,North,B1670,O1364,adult,10-Apr,1,0.296527778,0.275,-0.021527778,3,,,
90,North,B1670,O1364,adult,23-Apr,9,0.270833333,0.261111111,-0.009722222,3,,,
90,North,B1670,O1364,adult,13-May,27,0.249305556,0.239583333,-0.009722222,3,,,
90,North,B285,B279,adult,25-Apr,0,0.263194444,0.256944444,-0.00625,0,,,
90,North,B285,B279,adult,22-Apr,21,0.300694444,0.263888889,-0.036805556,0,,,
90,North,B285,B279,adult,25-Mar,13,0.266666667,0.25,-0.016666667,0,,,
90,North,B285,B279,adult,15-Apr,37,0.285416667,0.267361111,-0.018055556,1,,,
90,North,B285,B279,adult,23-Apr,10,0.248611111,0.261111111,0.0125,1,,,
90,North,B285,B279,adult,07-May,33,0.251388889,0.245138889,-0.00625,1,,,
90,North,B285,B279,adult,10-Apr,0,0.298611111,0.275,-0.023611111,2,,,
90,North,B285,B279,adult,12-Apr,20,0.297222222,0.270833333,-0.026388889,2,,,
90,North,B285,B279,adult,13-May,16,0.245833333,0.239583333,-0.00625,2,,,
90,North,B285,B279,adult,27-Apr,20,0.261805556,0.254861111,-0.006944444,2,,,
90,North,B285,B279,adult,28-Mar,16,0.261111111,0.249305556,-0.011805556,2,,,
90,North,B285,B279,adult,07-Apr,0,0.284722222,0.278472222,-0.00625,3,,,
90,North,B285,B279,adult,05-Apr,0,0.3125,0.278472222,-0.034027778,3,,,
90,North,B285,B279,adult,30-Mar,12,0.271527778,0.247916667,-0.023611111,3,,,
90,North,B285,B279,adult,18-Apr,12,0.2625,0.265277778,0.002777778,3,,,
90,North,B285,B279,adult,02-May,8,0.2875,0.248611111,-0.038888889,3,,,
90,North,B285,B279,adult,23-Mar,27,0.265277778,0.250694444,-0.014583333,3,,,
90,North,B285,B279,adult,11-Apr,15,0.311805556,0.273611111,-0.038194444,3,,,
90,North,G1558,Y1248,adult,05-Apr,30,0.322222222,0.278472222,-0.04375,1,,,
90,North,G1560,B1620,adult,27-Apr,0,0.282638889,0.254861111,-0.027777778,0,,,
90,North,G1560,B1620,adult,12-Apr,0,0.315277778,0.270833333,-0.044444444,0,,,
90,North,G1560,B1620,adult,25-Apr,0,0.279166667,0.256944444,-0.022222222,0,,,
90,North,G1560,B1620,adult,28-Mar,0,0.295138889,0.249305556,-0.045833333,0,,,
90,North,G1560,B1620,adult,16-Apr,29,0.267361111,0.265972222,-0.001388889,1,,,
90,North,G1560,B1620,adult,14-Apr,32,0.2625,0.26875,0.00625,1,1,,
90,North,G1560,B1620,adult,10-Apr,30,0.274305556,0.275,0.000694444,1,1,,
90,North,G1560,B1620,adult,04-Apr,28,0.283333333,0.279166667,-0.004166667,1,,,
90,North,G1560,B1620,adult,10-Apr,24,0.311805556,0.275,-0.036805556,1,,,
90,North,G1560,B1620,adult,05-Apr,21,0.305555556,0.278472222,-0.027083333,2,,,
