 ,,TAG NUMBERS,TAG NUMBERS,STRUTS,STRUTS,,,,
PLASM,LEK NAME,RIGHT,LEFT,/5 MIN,BY BIRD,SUNRISE TIME,TIME,SUNRISE PROP,TO HENS
,,,,,,,,,
1,MUD SPRINGS,,1076,1,,5:55,6:33,0.026,0
1,CORDINGLY,B,R,25,13,6:27,6:36,0.006,2
1,CORDINGLY,B,R,23,,6:33,6:41,0.006,2
1,MUD SPRINGS,B,B,0,0,5:58,6:52,0.038,0
1,LONG LAKE,G,R,5,5,6:25,7:05,0.028,1
1,WINDMILL DAM,O,W,31,,6:29,6:26,-0.002,2
1,WINDMILL DAM,O,W,24,16.66666667,6:29,6:44,0.01,2
1,LONG LAKE,O,R,5,5,6:08,6:05,-0.002,2
1,SYBILLE SPRINGS,O,R,21,21,6:43,6:31,-0.008,0
1,CORDINGLY,P,O,22,18,6:35,6:44,0.006,0
1,CORDINGLY,P,O,28,,6:35,6:53,0.013,0
1,CORDINGLY,P,B,29,29,6:32,6:34,0.001,1
1,BROKEN WING,R,O,0, ,6:25,6:49,0.017,3
1,BROKEN WING,R,O,5,,6:25,6:27,0.001,3
1,SYBILLE SPRINGS,R,W,18,18,6:16,6:00,-0.011,1
1,LONG LAKE,R,O,19,,6:46,6:49,0.002,2
1,LONG LAKE,R,O,0,14.33333333,6:00,6:09,0.006,2
1,LONG LAKE,R,O,18,,6:47,6:27,-0.014,0
1,LONG LAKE,R,O,5,10.83333333,6:47,7:05,0.013,2
1,LONG LAKE,R,O,0,,6:47,7:40,0.037,2
1,BROKEN WING,R,R,25,25,6:26,6:44,0.013,0
1,SOUTH FETTERMAN,R,R,38,,6:37,7:34,0.04,0
1,SOUTH FETTERMAN,R,R,37,,6:37,6:48,0.008,1
1,SOUTH FETTERMAN,R,R,35,18.6,6:33,6:54,0.015,0
1,SOUTH FETTERMAN,R,R,38,,6:37,7:05,0.019,0
1,MUD SPRINGS,R,R,6,6,5:55,6:11,0.011,0
1,NORTH LEK,W,B,34,20,6:23,7:03,0.028,3
1,NORTH LEK,W,B,14,,6:07,6:19,0.008,0
1,VIEW POINT,W,W,0,0,6:09,6:21,0.008,3
1,SYBILLE SPRINGS,Y,O,20,,5:54,6:15,0.015,1
1,SYBILLE SPRINGS,Y,O,37,17.75,6:25,6:30,0.003,1
1,SYBILLE SPRINGS,Y,O,38,,6:20,7:08,0.033,1
1,LONG LAKE,31,470,30,30,6:35,7:07,0.022,0
1,LONG LAKE,82,W485,3,3,6:12,6:08,-0.003,2
1,CORDINGLY,108,R196,0,0,6:15,6:25,0.007,3
1,MUD SPRINGS,114,O24,15,15,6:40,6:48,0.006,0
1,LONG LAKE,180,B257,1,,6:00,6:09,0.006,2
1,LONG LAKE,180,B257,12,6.5,6:04,5:52,-0.008,2
1,LONG LAKE,214,O16,9,,6:12,5:55,-0.012,0
1,LONG LAKE,214,O16,32,,6:22,6:20,-0.001,1
1,LONG LAKE,214,O16,6,,6:30,6:31,0.001,0
1,LONG LAKE,214,O16,7,,6:12,5:50,-0.015,0
1,LONG LAKE,214,O16,6,,6:12,6:40,0.019,3
1,LONG LAKE,214,16,35,,6:18,5:50,-0.019,3
1,LONG LAKE,214,O16,25,,6:08,6:14,0.004,1
1,LONG LAKE,214,O16,28,18.5,6:25,7:20,0.038,0
1,MULE CREEK JNCT,227,228,33,,6:33,6:12,-0.015,0
1,MULE CREEK JNCT,227,228,28,,6:32,6:33,0.001,0
1,MULE CREEK JNCT,227,228,22,27.67,6:32,6:14,-0.013,0
1,SOUTH FETTERMAN,263,B266,15,15,6:30,6:18,-0.008,0
1,CORDINGLY,264,265,0,,6:00,6:00,0,3
1,CORDINGLY,264,265,22,,6:27,7:17,0.035,2
1,CORDINGLY,264,265,34,,6:30,6:06,-0.017,2
1,CORDINGLY,264,265,30,21.5,6:27,6:23,-0.003,2
1,SYBILLE SPRINGS,299,W417,1,20.01,6:07,6:35,0.019,3
1,SYBILLE SPRINGS,299,W417,0,0.5,6:07,6:07,0,3
1,BROKEN WING,307,W448,28,28,6:26,6:24,-0.001,0
1,MULE CREEK JNCT,361,333,33,,6:32,6:33,0.001,0
1,MULE CREEK JNCT,361,333,30,,6:33,6:53,0.014,1
1,MULE CREEK JNCT,361,333,4,,6:08,6:41,0.023,2
1,MULE CREEK JNCT,361,333,0,,6:33,6:21,-0.008,2
1,MULE CREEK JNCT,361,333,36,20.6,6:32,6:14,-0.013,0
1,LONG LAKE,381,,25,,6:35,6:56,0.015,0
1,LONG LAKE,381,,13,19,6:38,6:00,-0.026,2
1,LONG LAKE,387,73,16,16,6:08,5:56,-0.008,2
1,LONG LAKE,393,P562,0,,6:23,6:49,0.018,2
1,LONG LAKE,393,P562,10,5,6:12,6:54,0.029,3
1,BROKEN WING,414,B294,0,0,6:30,7:27,0.04,3
1,NORTH LEK,482,390,10,,6:50,6:30,-0.014,0
1,NORTH LEK,482,390,17,,6:35,7:00,0.017,0
1,NORTH LEK,482,390,0,,6:52,7:27,0.024,3
1,NORTH LEK,482,390,0,,6:50,7:09,0.013,0
1,NORTH LEK,482,390,36,,6:40,6:16,-0.017,1
1,NORTH LEK,482,390,22,,5:57,6:22,0.017,0
1,NORTH LEK,482,390,6,13,6:52,7:19,0.019,3
1,NORTH LEK,543,426,34,,6:23,6:47,0.017,2
1,NORTH LEK,543,426,7,,6:26,6:52,0.018,3
1,NORTH LEK,543,426,12,,6:16,7:32,0.053,3
1,NORTH LEK,543,426,37,,6:26,7:03,0.026,1
