"lek_name","egg_number","year_pip","month_pip","day_pip","initial_band_leg","initial_band_number","second_band_leg","second_band_number","WYGF_leg_band_number","year_death","month_death","day_death","cause_death","observation_num","year","month","day","time24h","days_after_hatch","approx_days_after_hatch","weight_g","total_length_mm","wing_length_mm","tarsus_length_mm","toe_length_mm","bill_length_mm","bill_depth_mm","prim_num","notes","days_diff"
"sybille_springs",NA,NA,NA,NA,NA,"SSC-1",NA,18,8403,1990,8,6,NA,1,1990,5,24,NA,NA,5,46.43,NA,NA,NA,NA,NA,NA,NA,"tarsus badly (?) (+ bleeding at joint - left leg) 29 May 90. Caught by hen ~5 days old - 24 May 90. Moved to Red Buttes 12 June 90. ",0
"sybille_springs",NA,NA,NA,NA,NA,"SSC-1",NA,18,8403,1990,8,6,NA,2,1990,6,13,NA,NA,25,196.7,NA,NA,NA,NA,NA,NA,NA,"tarsus badly (?) (+ bleeding at joint - left leg) 29 May 90. Caught by hen ~5 days old - 24 May 90. Moved to Red Buttes 12 June 90. ",20
"sybille_springs",NA,NA,NA,NA,NA,"SSC-1",NA,18,8403,1990,8,6,NA,3,1990,7,1,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,"tarsus badly (?) (+ bleeding at joint - left leg) 29 May 90. Caught by hen ~5 days old - 24 May 90. Moved to Red Buttes 12 June 90. ",38
"sybille_springs",NA,NA,NA,NA,NA,"SSC-2",NA,NA,NA,1990,5,30,NA,1,1990,5,24,NA,NA,5,42.95,NA,NA,NA,NA,NA,NA,NA,"Caught ~ 5 days old from 7 - 24 May 90. 29 May 90 tarsus severely pulled at joint and bleeting - not putting any weight on it. Died 30 May 90. ",0
"sybille_springs",NA,NA,NA,NA,NA,"SSC-2",NA,NA,NA,1990,5,30,NA,2,1990,5,31,NA,NA,12,77.26,NA,1002,31,30,NA,NA,7,"Caught ~ 5 days old from 7 - 24 May 90. 29 May 90 tarsus severely pulled at joint and bleeting - not putting any weight on it. Died 30 May 90. ",7
"sybille_springs",NA,NA,NA,NA,"right","SSC-3",NA,17,8419,NA,NA,NA,NA,1,1990,5,24,NA,NA,5,48.84,NA,NA,NA,NA,NA,NA,NA,"Mr. Bolly. Moved to outdoor pen 01 July 1990. Caught 24 May 90 cm hen - ~ 5 days old. Moved to Red Butte 12 June 90. ",0
"sybille_springs",NA,NA,NA,NA,"right","SSC-3",NA,17,8419,NA,NA,NA,NA,2,1990,5,31,NA,NA,12,78.1,NA,94,30,29,NA,NA,7,"Mr. Bolly. Moved to outdoor pen 01 July 1990. Caught 24 May 90 cm hen - ~ 5 days old. Moved to Red Butte 12 June 90. ",7
"sybille_springs",NA,NA,NA,NA,"right","SSC-3",NA,17,8419,NA,NA,NA,NA,3,1990,6,12,NA,NA,24,213.6,NA,NA,NA,NA,NA,NA,NA,"Mr. Bolly. Moved to outdoor pen 01 July 1990. Caught 24 May 90 cm hen - ~ 5 days old. Moved to Red Butte 12 June 90. ",19
"sybille_springs",NA,NA,NA,NA,"right","SSC-3",NA,17,8419,NA,NA,NA,NA,4,1990,7,1,NA,NA,43,700,NA,NA,NA,NA,NA,NA,NA,"Mr. Bolly. Moved to outdoor pen 01 July 1990. Caught 24 May 90 cm hen - ~ 5 days old. Moved to Red Butte 12 June 90. ",38
"sybille_springs",NA,NA,NA,NA,"right","SSC-4",NA,16,8401,NA,NA,NA,NA,1,1990,5,24,NA,NA,5,46.48,NA,NA,NA,NA,NA,NA,NA,"Caught 24 May 90 w/ hen, ~ 5 days old. Tarsus pinched and bleeding 24 May 90 (and bleeding again 31 May) - holding up 29 May 90. Moved to Red Butte 12 June 90. ",0
"sybille_springs",NA,NA,NA,NA,"right","SSC-4",NA,16,8401,NA,NA,NA,NA,2,1990,5,31,NA,NA,12,79.1,NA,1003,30,31,NA,NA,7,"Caught 24 May 90 w/ hen, ~ 5 days old. Tarsus pinched and bleeding 24 May 90 (and bleeding again 31 May) - holding up 29 May 90. Moved to Red Butte 12 June 90. ",7
"sybille_springs",NA,NA,NA,NA,"right","SSC-4",NA,16,8401,NA,NA,NA,NA,3,1990,6,12,NA,NA,24,196.5,NA,NA,NA,NA,NA,NA,NA,"Caught 24 May 90 w/ hen, ~ 5 days old. Tarsus pinched and bleeding 24 May 90 (and bleeding again 31 May) - holding up 29 May 90. Moved to Red Butte 12 June 90. ",19
"sybille_springs",NA,NA,NA,NA,"right","SSC-4",NA,16,8401,NA,NA,NA,NA,4,1990,7,1,NA,NA,43,600,NA,NA,NA,NA,NA,NA,NA,"Caught 24 May 90 w/ hen, ~ 5 days old. Tarsus pinched and bleeding 24 May 90 (and bleeding again 31 May) - holding up 29 May 90. Moved to Red Butte 12 June 90. ",38
"sybille_springs",NA,NA,NA,NA,"right","SSC-5",NA,15,1702,NA,NA,NA,NA,1,1990,5,24,NA,NA,5,45.09,NA,NA,NA,NA,NA,NA,NA,"Moved outside pens at Red Butte 04 July 90. Moved to Red Butte 12 June 90. Captured hen in field - ~5 days old. Hoch (?) pinched and infected - no weight on at 31 May 90. ",0
"sybille_springs",NA,NA,NA,NA,"right","SSC-5",NA,15,1702,NA,NA,NA,NA,2,1990,5,31,NA,NA,12,57.36,NA,86,28,26,NA,NA,7,"Moved outside pens at Red Butte 04 July 90. Moved to Red Butte 12 June 90. Captured hen in field - ~5 days old. Hoch (?) pinched and infected - no weight on at 31 May 90. ",7
"sybille_springs",NA,NA,NA,NA,"right","SSC-5",NA,15,1702,NA,NA,NA,NA,3,1990,6,12,NA,NA,24,146.8,NA,NA,NA,NA,NA,NA,NA,"Moved outside pens at Red Butte 04 July 90. Moved to Red Butte 12 June 90. Captured hen in field - ~5 days old. Hoch (?) pinched and infected - no weight on at 31 May 90. ",19
"sybille_springs",NA,NA,NA,NA,"right","SSC-5",NA,15,1702,NA,NA,NA,NA,4,1990,7,4,NA,NA,46,450,NA,NA,NA,NA,NA,NA,NA,"Moved outside pens at Red Butte 04 July 90. Moved to Red Butte 12 June 90. Captured hen in field - ~5 days old. Hoch (?) pinched and infected - no weight on at 31 May 90. ",41
"north",NA,NA,NA,NA,"right","NC-1",NA,11,5616,NA,NA,NA,NA,1,1990,5,29,NA,NA,5,45.24,NA,NA,NA,NA,NA,NA,NA,"Moved to outdoor pen 01 July 1990. Collected from g ~ 5 days age - 28 May 1990. Moved to Red Butte 12 June 90. ",0
"north",NA,NA,NA,NA,"right","NC-1",NA,11,5616,NA,NA,NA,NA,2,1990,5,31,NA,NA,7,55.1,NA,79,25,24,NA,NA,7,"Moved to outdoor pen 01 July 1990. Collected from g ~ 5 days age - 28 May 1990. Moved to Red Butte 12 June 90. ",2
"north",NA,NA,NA,NA,"right","NC-1",NA,11,5616,NA,NA,NA,NA,3,1990,6,12,NA,NA,19,151.7,NA,NA,NA,NA,NA,NA,NA,"Moved to outdoor pen 01 July 1990. Collected from g ~ 5 days age - 28 May 1990. Moved to Red Butte 12 June 90. ",14
"north",NA,NA,NA,NA,"right","NC-1",NA,11,5616,NA,NA,NA,NA,4,1990,7,1,NA,NA,38,525,NA,NA,NA,NA,NA,NA,NA,"Moved to outdoor pen 01 July 1990. Collected from g ~ 5 days age - 28 May 1990. Moved to Red Butte 12 June 90. ",33
"north",NA,NA,NA,NA,"right","NC-2",NA,10,6137,NA,NA,NA,NA,1,1990,5,29,NA,NA,5,45,NA,NA,NA,NA,NA,NA,NA,"Moved to outdoor pen 01 July 1990. Collected from g ~5 days of age 28 May 90. Moved to Red Butte 12 June 90. ",0
"north",NA,NA,NA,NA,"right","NC-2",NA,10,6137,NA,NA,NA,NA,2,1990,5,31,NA,NA,7,54.04,NA,65,25,25,NA,NA,7,"Moved to outdoor pen 01 July 1990. Collected from g ~5 days of age 28 May 90. Moved to Red Butte 12 June 90. ",2
"north",NA,NA,NA,NA,"right","NC-2",NA,10,6137,NA,NA,NA,NA,3,1990,6,12,NA,NA,19,166.6,NA,NA,NA,NA,NA,NA,NA,"Moved to outdoor pen 01 July 1990. Collected from g ~5 days of age 28 May 90. Moved to Red Butte 12 June 90. ",14
"north",NA,NA,NA,NA,"right","NC-2",NA,10,6137,NA,NA,NA,NA,4,1990,7,1,NA,NA,38,550,NA,NA,NA,NA,NA,NA,NA,"Moved to outdoor pen 01 July 1990. Collected from g ~5 days of age 28 May 90. Moved to Red Butte 12 June 90. ",33
"sybille_springs","SS1-1",1990,6,8,NA,"SSC1-1",NA,131,5617,NA,NA,NA,NA,1,1990,6,18,NA,8,NA,69.7,NA,76,29,27,NA,NA,NA,"Moved to Red Butte 04 July 90 ",0
"sybille_springs","SS1-1",1990,6,8,NA,"SSC1-1",NA,131,5617,NA,NA,NA,NA,2,1990,7,18,NA,38,NA,700,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 04 July 90 ",30
"sybille_springs","SS1-2",1990,6,9,NA,"SS1-2",NA,129,1701,NA,NA,NA,NA,1,1990,6,18,NA,8,NA,68.8,NA,72,25,27,NA,NA,NA,"Moved to RB 04 July. Moved outside 18 July 90. ",0
"sybille_springs","SS1-2",1990,6,9,NA,"SS1-2",NA,129,1701,NA,NA,NA,NA,2,1990,7,18,NA,38,NA,500,NA,NA,NA,NA,NA,NA,NA,"Moved to RB 04 July. Moved outside 18 July 90. ",30
"sybille_springs","SS1-3",NA,NA,NA,NA,NA,NA,132,1723,NA,NA,NA,NA,1,1990,6,18,NA,8,NA,72.1,NA,72,28,27,NA,NA,NA,"Moved to RB July 04. Moved outside 18 Jul 1990. ",0
"sybille_springs","SS1-3",NA,NA,NA,NA,NA,NA,132,1723,NA,NA,NA,NA,2,1990,7,18,NA,38,NA,625,NA,NA,NA,NA,NA,NA,NA,"Moved to RB July 04. Moved outside 18 Jul 1990. ",30
"sybille_springs","SS3-2",1990,5,31,"right",NA,"left",24,1708,NA,NA,NA,NA,1,1990,6,5,NA,4,NA,42.7,NA,48,23,28,NA,NA,7,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",0
"sybille_springs","SS3-2",1990,5,31,"right",NA,"left",24,1708,NA,NA,NA,NA,2,1990,6,7,NA,6,NA,56.2,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",2
"sybille_springs","SS3-2",1990,5,31,"right",NA,"left",24,1708,NA,NA,NA,NA,3,1990,6,23,NA,22,NA,207.9,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",18
"sybille_springs","SS3-2",1990,5,31,"right",NA,"left",24,1708,NA,NA,NA,NA,4,1990,7,4,NA,33,NA,450,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",29
"sybille_springs","SS3-1",1990,5,31,"right",NA,"left",19,1712,NA,NA,NA,NA,1,1990,6,5,NA,4,NA,48,NA,51,26,26,NA,NA,7,"SS3-1, 2, 3, - all matches at (same?) times - don't know which is from which egg. Moved to Red Butte 23 June 90. Moved outside 11 July 90. ",0
"sybille_springs","SS3-1",1990,5,31,"right",NA,"left",19,1712,NA,NA,NA,NA,2,1990,6,7,NA,6,NA,55.1,NA,NA,NA,NA,NA,NA,NA,"SS3-1, 2, 3, - all matches at (same?) times - don't know which is from which egg. Moved to Red Butte 23 June 90. Moved outside 11 July 90. ",2
"sybille_springs","SS3-1",1990,5,31,"right",NA,"left",19,1712,NA,NA,NA,NA,3,1990,6,23,NA,22,NA,200.6,NA,NA,NA,NA,NA,NA,NA,"SS3-1, 2, 3, - all matches at (same?) times - don't know which is from which egg. Moved to Red Butte 23 June 90. Moved outside 11 July 90. ",18
