"lek_number","lek_name","year","month","day","time","prop_time","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","weight_g_with_bag","total_length_mm","tail_length_mm","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","comb_length_mm","bill_length_mm","bill_depth_mm","comb_color","air_sac_color","hematomas_combs","hematomas_air_sacs","breed","lice_back_of_head","lice_present_on_combs","lice_number__on_combs","lice_present_on_air_sacs","lice_number_on_air_sacs","diarrhea","fecal_samples_mites","fecal_samples_spores","fecal_samples_coccidia","blood_tryps","blood_plasm","blood_pcv_mm","total_volume_mm","days_lek_observed","days_on_lek","proportion_of_days_on_lek","comments"
"6","broken_wing","1987","04","06",NA,NA,"red","118","R118",NA,NA,NA,"juv","3350","751","295","295","150","73","71","20.65","38.9","23.8","yellow olive","bistre yellow","no","no",NA,"no",NA,NA,NA,NA,NA,"no","yes","no","no",NA,"7.5","15.5",NA,NA,NA,"broken right wing"
"2","north_lek","1987","03","14",NA,NA,"white","403","W403","orange","1","O1","adult","3400","732","295","308","129","70","69","18.9","36.8","21.5",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","no","no",NA,"no",NA,NA,"18","10","0.555555556",NA
"2","north_lek","1987","03","14",NA,NA,"red","103","R103","orange","2","O2","adult","3250","720","294","300","130","71","74","23","39.8","23.2",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","no","no",NA,"no",NA,NA,"18","14","0.777777778",NA
"8","mud_springs","1987","04","26","5:58",0.248611111111111,"orange","22","O22","orange","11","O11","juv","2700","695","280","321","133","70","65","22.1","40.55","23.7","olive yellow","bistre yellow","no","yes","no","no","no","0","no","0",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"scab on left sac"
"4","south_fetterman","1987","04","12","4:15",0.177083333333333,"white","497","W497","orange","29","O29","adult","3100","739","295","310","122","65","68","25","37.4","21.7","green","yellow","no","no","no","no","no","0","no","0",NA,"no","no","no","no","no","9.5","12","4","2","0.5",NA
"8","mud_springs","1987","04","09","6:30",0.270833333333333,"green","391","G391","orange","33","O33","adult","3400","765","331","321","138","75","75","24.9","38.8","22.9","yellow green","yellow","no","no","no","no","no","0","no","0","yes",NA,NA,NA,"no","no","8.5","14","8","3","0.375",NA
"8","mud_springs","1987","04","09","5:15",0.21875,"red","197","R197","orange","36","O36","adult","3400","767","290","310","134","71","69","24.5","37.4","22.2","yellow green","yellow","no","yes","no","no","no","0","yes","1",NA,NA,NA,NA,"no","no","4","16.5","8","1","0.125",NA
"8","mud_springs","1987","04","09","5:40",0.236111111111111,"blue","272","B272","orange","40","O40","adult","3300","796","303","315","130","70","72","23.5","38","22.8","green","yellow green","no","yes","no","no","no","0","no","0",NA,NA,NA,NA,"no","no","6","11","8","1","0.125",NA
"8","mud_springs","1987","04","09","7:00",0.291666666666667,"white","443","W443","orange","41","O41","adult","3500","784","301","319","133","69","75","25.3","38.7","21.9","yellow green","yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,"no","yes","6.5","13.5",NA,NA,NA,NA
"8","mud_springs","1987","04","09","6:00",0.25,"purple","569","P569","orange","42","O42","adult","3300","771","301","312","134","71","70","22.4","36.8","21.5","yellow green","yellow","yes","no","no","no","no","0","no","0",NA,NA,NA,NA,"no","no","5","11.5",NA,NA,NA,NA
"1","long_lake","1987","04","18","4:00",0.166666666666667,"blue","260","B260","orange","81","O81","adult","3000","783","317","320","130","70","73","23.1","38","22.1","yellow","yellow","no","no","no","no","no","0","yes","1",NA,"yes","yes","no","no","no","16","30.5","8","2","0.25","thin, breast muscles small"
"1","long_lake","1987","04","18","4:25",0.184027777777778,"white","485","W485","orange","82","O82","adult","2900","718","260","312","134","70","72","23.1","36.3","21","yellow/green","yellow/gray","yes","no","no","no","no","0","no","0",NA,"yes","yes","no","no","yes","11.5","32.5","8","1","0.125",NA
