"","l_tag","r_tag","year","month","day","lek","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"1","B1666","Y1267","1990",4,"25","north","adult","0","0.26875","0.256944444","-0.011805556","0","0","0",0
"2","B1666","Y1267","1990",4,"07","north","adult","5","0.294444444","0.278472222","-0.015972222","1","0","0",0
"3","B1666","Y1267","1990",5,"02","north","adult","18","0.304166667","0.248611111","-0.055555556","3","0","0",0
"4","B1666","Y1267","1990",4,"18","north","adult","2","0.275694444","0.265277778","-0.010416667","3","0","0",0
"5","B1666","Y1267","1990",4,"22","north","adult","16","0.252083333","0.263888889","0.011805556","1","0","0",0
"6","B1666","Y1267","1990",4,"05","north","adult","0","0.316666667","0.278472222","-0.038194444","3","0","0",0
"7","B1666","Y1267","1990",5,"07","north","adult","23","0.240277778","0.245138889","0.004861111","3","0","0",0
"8","B1670","O1364","1990",4,"14","north","adult","40","0.272916667","0.26875","-0.004166667","1","0","1",0
"9","B1670","O1364","1990",4,"15","north","adult","47","0.276388889","0.267361111","-0.009027778","1","0","1",0
"10","B1670","O1364","1990",5,"07","north","adult","37","0.258333333","0.245138889","-0.013194444","1","0","1",0
"11","B1670","O1364","1990",4,"23","north","adult","9","0.270833333","0.261111111","-0.009722222","3","0","1",0
"12","B1670","O1364","1990",4,"12","north","adult","10","0.302777778","0.270833333","-0.031944444","2","0","1",0
"13","B1670","O1364","1990",5,"02","north","adult","3","0.279861111","0.248611111","-0.03125","3","0","1",0
"14","B1670","O1364","1990",4,"07","north","adult","40","0.279166667","0.278472222","-0.000694444","1","0","1",0
"15","B1670","O1364","1990",4,"27","north","adult","27","0.261805556","0.254861111","-0.006944444","2","0","1",0
"16","B1670","O1364","1990",4,"23","north","adult","0","0.25","0.261111111","0.011111111","3","0","1",0
"17","B1670","O1364","1990",4,"22","north","adult","1","0.29375","0.263888889","-0.029861111","3","0","1",0
"18","B1670","O1364","1990",4,"18","north","adult","29","0.278472222","0.265277778","-0.013194444","3","0","1",0
"19","B1670","O1364","1990",4,"23","north","adult","11","0.284027778","0.261111111","-0.022916667","3","0","1",0
"20","B1670","O1364","1990",4,"10","north","adult","1","0.296527778","0.275","-0.021527778","3","0","1",0
"21","B1670","O1364","1990",4,"25","north","adult","0","0.25625","0.256944444","0.000694444","0","0","1",0
"22","B1670","O1364","1990",5,"13","north","adult","27","0.249305556","0.239583333","-0.009722222","3","0","1",0
"23","B285","B279","1990",3,"25","north","adult","13","0.266666667","0.25","-0.016666667","0","0","1",3
"24","B285","B279","1990",4,"22","north","adult","21","0.300694444","0.263888889","-0.036805556","0","0","1",3
"25","B285","B279","1990",4,"18","north","adult","12","0.2625","0.265277778","0.002777778","3","0","1",3
"26","B285","B279","1990",5,"02","north","adult","8","0.2875","0.248611111","-0.038888889","3","0","1",3
"27","B285","B279","1990",4,"15","north","adult","37","0.285416667","0.267361111","-0.018055556","1","0","1",3
"28","B285","B279","1990",4,"25","north","adult","0","0.263194444","0.256944444","-0.00625","0","0","1",3
"29","B285","B279","1990",5,"07","north","adult","33","0.251388889","0.245138889","-0.00625","1","0","1",3
"30","B285","B279","1990",4,"10","north","adult","0","0.298611111","0.275","-0.023611111","2","0","1",3
"31","B285","B279","1990",4,"12","north","adult","20","0.297222222","0.270833333","-0.026388889","2","0","1",3
"32","B285","B279","1990",4,"23","north","adult","10","0.248611111","0.261111111","0.0125","1","0","1",3
"33","B285","B279","1990",4,"27","north","adult","20","0.261805556","0.254861111","-0.006944444","2","0","1",3
"34","B285","B279","1990",3,"28","north","adult","16","0.261111111","0.249305556","-0.011805556","2","0","1",3
"35","B285","B279","1990",4,"07","north","adult","0","0.284722222","0.278472222","-0.00625","3","0","1",3
"36","B285","B279","1990",5,"13","north","adult","16","0.245833333","0.239583333","-0.00625","2","0","1",3
"37","B285","B279","1990",3,"30","north","adult","12","0.271527778","0.247916667","-0.023611111","3","0","1",3
"38","B285","B279","1990",3,"23","north","adult","27","0.265277778","0.250694444","-0.014583333","3","0","1",3
"39","B285","B279","1990",4,"11","north","adult","15","0.311805556","0.273611111","-0.038194444","3","0","1",3
"40","B285","B279","1990",4,"05","north","adult","0","0.3125","0.278472222","-0.034027778","3","0","1",3
"41","B969","R869","1990",4,"18","sybille","adult","29","0.258333333","0.265277778","0.006944444","1","0","3",3
"42","B970","B971","1990",4,"05","sybille","adult","27","0.295138889","0.278472222","-0.016666667","3","0","3",3
"43","G1076","R892","1990",4,"22","mud_springs","adult","21","0.270833333","0.263888889","-0.006944444","1","0",NA,NA
"44","G1076","R892","1990",4,"28","mud_springs","adult","5","0.297916667","0.254861111","-0.043055556","3","0",NA,NA
"45","G1512","WY1280","1990",5,"10","mud_springs","adult","26","0.265277778","0.243055556","-0.022222222","1","0","3",3
"46","G1558","Y1248","1990",4,"05","north","adult","30","0.322222222","0.278472222","-0.04375","1","0","1",0
"47","G1560","B1620","1990",4,"05","north","adult","21","0.305555556","0.278472222","-0.027083333","2","0","1",3
"48","G1560","B1620","1990",4,"10","north","adult","24","0.311805556","0.275","-0.036805556","1","0","1",3
"49","G1560","B1620","1990",4,"27","north","adult","0","0.282638889","0.254861111","-0.027777778","0","0","1",3
"50","G1560","B1620","1990",4,"12","north","adult","0","0.315277778","0.270833333","-0.044444444","0","0","1",3
"51","G1560","B1620","1990",3,"28","north","adult","0","0.295138889","0.249305556","-0.045833333","0","0","1",3
"52","G1560","B1620","1990",4,"16","north","adult","29","0.267361111","0.265972222","-0.001388889","1","0","1",3
"53","G1560","B1620","1990",4,"14","north","adult","32","0.2625","0.26875","0.00625","1","1","1",3
"54","G1560","B1620","1990",4,"25","north","adult","0","0.279166667","0.256944444","-0.022222222","0","0","1",3
"55","G1560","B1620","1990",4,"04","north","adult","28","0.283333333","0.279166667","-0.004166667","1","0","1",3
"56","G1560","B1620","1990",3,"30","north","adult","6","0.254166667","0.247916667","-0.00625","3","0","1",3
"57","G1560","B1620","1990",4,"23","north","adult","10","0.259027778","0.261111111","0.002083333","3","0","1",3
"58","G1560","B1620","1990",4,"18","north","adult","2","0.29375","0.265277778","-0.028472222","3","0","1",3
"59","G1560","B1620","1990",4,"07","north","adult","17","0.306944444","0.278472222","-0.028472222","2","0","1",3
