,,,,,,,,,,,,,,,Color,Number,Color,Number,Cut Feathers,Collect,Labelled,samples collected,,samples collected,samples collected,,,Hematomas,,,,
binder pdf scan page ,Date,Age,Sex,Lek,Bird Weight g,Total Length mm,Tail Length mm,Wing Length mm,Bill Length mm,Bill Depth mm,Keel Length mm,Comb Length mm,Tarsus Length mm,Toe Length mm,Right Wing,Right Wing,Left Wing,Left Wing,,,,Blood ,blood smear,Fecal,Ectoparasites,Lice on Back of Head (+/-),num lice back of head,Air Sacs,hematomas Combs,Air Sac Color,Comb Color,Notes 
1,1987-04-08,ADULT,MALE,COURTENY LEK ,3.25,770,293,306,40.6,22.2,136,25,71,72,Red,108,Red,196,Y,Y,Y,Y,N,Y,Y,-,0,+,-,Yellow,Yellow,
2,1987-04-08,ADULT,MALE ,COURTNINGLY,3,810,320,325,38.5,22.1,133,22.4,71,73,Green,392,Green,396,Y,Y,Y,Y,N,Y,Y,-,7,+,-,Yellow,Green,
3,1987-04-08,ADULT,MALE,COURTINGLY LEK,3.3,770,330,302,40.2,21.8,126,24,70,72,Purple,567,Purple,575,Y,Y,Y,Y,N,N,Y,+,4,+,-,Yellow,Green,
4,1987-04-11,ADULT,MALE,COURTINGLY LEK,3.45,772,304,308,38.8,21.5,137,24.8,69,71,White,498,White,499,Y,Y,Y,Y,N,Y,Y,-,0,+,-,Green,Green,Nasty gash on top of head 
5,1987-04-11,ADULT,MALE,COURTINGLY LEK,3.1,742,282,310,37.6,20.8,136,22.7,71,71,Orange,90,Orange,91,Y,Y,Y,Y,N,Y,Y,2+,0,+,+,Yellow,Yellow/Green,
6,1987-04-11,YEARLING,MALE,COURTINGLY LEK,2.9,682,234,307,37.3,22.2,130,22.5,70,69,Blue,264,Blue,265,Y,Y,Y,Y,N,N,Y,-,0,-,-,Yellow/Green,Yellow/Green,
7,1987-04-16,ADULT,MALE,CORDINGLY,2.9,,,,,,,,,,Red,108,Red,196,N,N,N,Y,N,Y,N,N/A,7,+,N/A,Yellow,N/A,*Recapture
8,1987-04-16,ADULT,MALE,CORDINGLY,2.9,,,,,,,,,,Orange,90,Orange,91,N,N,N,Y,N,Y,N,N/A,25,N/A,N/A,N/A,N/A,*Recapture
9,1987-04-16,ADULT,MALE,CORDINGLY,3,,,,,,,,,,Green,392,Green,396,N,N,N,Y,N,Y,N,N/A,9,N/A,N/A,N/A,N/A,*Recapture
