,,,,,,,,,,,,,,,Color,Number,Color,Number,Cut Feathers,Collect,Labelled,samples collected,,samples collected,samples collected,,,Hematomas,,,,
binder pdf scan page ,Date,Age,Sex,Lek,Bird Weight g,Total Length mm,Tail Length mm,Wing Length mm,Bill Length mm,Bill Depth mm,Keel Length mm,Comb Length mm,Tarsus Length mm,Toe Length mm,Right Wing,Right Wing,Left Wing,Left Wing,,,,Blood ,blood smear,Fecal,Ectoparasites,Lice on Back of Head (+/-),num lice back of head,Air Sacs,hematomas Combs,Air Sac Color,Comb Color,Notes 
1,1987-04-09,ADULT,MALE,MUD SPRINGS,3.5,784,301,319,38.7,21.9,133,25.3,69,75,Orange,41,White,443,Y,Y,Y,Y,N,Y,Y,-,0,+,+,Yellow,Yellow/Green,
2,1987-04-09,ADULT,MALE,MUD SPRINGS,3.3,771,301,312,36.8,21.5,134,22.4,71,70,Orange,42,Purple,569,Y,Y,Y,Y,N,Y,Y,-,0,-,+,Yellow,Yellow/Green,
3,1987-04-09,ADULT,MALE,MUD SPRINGS,3.3,796,303,315,38,22.8,130,23.5,70,72,Orange,40,Blue,272,Y,Y,Y,Y,N,N,Y,-,0,+,-,Yellow/Green,Green,no lice on air sacs
4,1987-04-09,ADULT,MALE,MUD SPRINGS,3.4,767,290,310,37.4,22.2,134,24.5,71,69,Orange,36,Red,197,Y,Y,Y,Y,N,Y,Y,-,1,+,-,Yellow,Yellow/Green,Gross! Diarrhea
5,1987-04-09,ADULT,MALE,MUD SPRINGS,3.2,777,328,310,38.4,22.6,133,22.9,70,68,Blue,267,Red,192,Y,Y,Y,Y,N,Y,Y,+,1,+,-,Yellow,Yellow/Green,
6,1987-04-09,ADULT,MALE,MUD SPRINGS,3.4,765,331,321,38.8,22.9,138,24.9,75,75,Orange,33,Green,391,Y,Y,Y,Y,N,N,Y,-,0,-,-,Yellow,Yellow/Green,Radio 150.998
7,1987-04-09,ADULT,MALE,MUD SPRINGS,3.4,730,292,316,37.4,21.7,131,24.8,71,73,White,444,White,447,Y,Y,Y,Y,N,N,Y,-,0,-,+,Yellow/Green,Green,"Lots of red on comb,"
8,1987-04-11,ADULT,FEMALE,MUD SPRINGS,1.7,528,205,255,32.4,19.9,100,,56,53,Red,115,Purple,515,N,N,N,N,N,N,N,-,N/A,N/A,N/A,N/A,N/A,
9,1987-04-11,JUVENILE,MALE,MUD SPRINGS,3,700,269,290,39.45,23.55,128,24.8,66,70,White,411,Red,116,Y,Y,Y,N,N,N,N,-,20,+,+,Bistre-yellow,Brown,
10,1987-04-11,ADULT,MALE,MUD SPRINGS,3,700,300,300,38.2,22.7,128,23.7,64,65,Blue,223,White,425,N,N,N,N,N,N,Y,-,1,-,+,Bristre-yellow,Olive yellow,
11,1987-04-11,ADULT,MALE,MUD SPRINGS,3.2,721,323,313,39.4,24.1,126,23.2,75,69,Purple,513,Blue,225,Y,Y,Y,Y,N,Y,Y,-,1,-,+,Chrome Yellow,Green/Yellow,Feisty bastard
12,1987-04-11,ADULT,MALE,MUD SPRINGS,3.2,695,328,311,40.4,22,146,21.9,71,67,Blue,215,Blue,221,Y,Y,Y,Y,N,Y,Y,-,N/A,+,+,Bristre-yellow,Olive yellow,"Diarrhea, pooped all over himself"
13,1987-04-11,ADULT,MALE,MUD SPRINGS,3.2,650,309,316,37.6,23.8,126,26.1,67,61,Green,316,Green,317,N,N,N,N,N,N,Y,-,0,-,-,Bristre-yellow,Greenish yellow,
14,1987-04-12,ADULT,MALE,MUD SPRINGS,3.2,680,320,312,39.6,23.5,145,25.1,75,69,Red,114,Orange,24,Y,Y,Y,Y,N,Y,Y,-,0,-,-,Bristre-yellow,Olive yellow,Collected 1 louse back of head.  Blood under left (?). 1 louse both sides. 
15,1987-04-12,ADULT,MALE,MUD SPRINGS,3.5,790,351,310,41,25.6,145,25.15,69,66,Green,349,Purple,593,Y,Y,Y,Y,N,Y,Y,-,N/A,-,-,Bristre-yellow,Yellow olive,"Very even sac colour. Mean jerk, bit me 8 times"
16,1987-04-12,ADULT,MALE,MUD SPRINGS,3.2,730,231,313,36.75,23.6,127,25.65,71,68,Blue,298,Orange,13,N,N,N,N,N,N,N,+,4,+,+,bristre-yellow,Olive yellow,"1 spot right, 0 left (written next to air sacs (+/-)). 1 small spot (written next to combs (+/-))"
17,1987-04-12,ADULT,MALE,MUD SPRINGS,3.1,740,332,301,38.6,24.75,125,23.3,75,65,Green,344,White,413,Y,Y,Y,Y,N,Y,Y,-,N/A,-,-,bristre-yellow,Olive yellow,3 (written next to airsacs (+/-))
18,1987-04-12,ADULT,MALE,MUD SPRINGS,3.1,734,296,313,40.95,25.7,132,23.9,70,69,Purple,596,Purple,599,Y,Y,Y,Y,N,Y,Y,-,0,+,+,Chrome Yellow,Olive yellow,
19,1987-04-12,ADULT,MALE,MUD SPRINGS,3.2,697,325,311,39.9,22.3,129,25.5,75,66,Blue,300,Green,350,Y,Y,Y,Y,N,Y,Y,-,N/A,+,-,bristre-yellow,Olive yellow,Diarrhea all over Mike 
20,1987-04-12,ADULT,MALE,MUD SPRINGS,3,740,319,322,38.45,22.5,121,23.1,73,67,Red,111,Red,113,Y,Y,Y,Y,N,Y,Y,-,N/A,+,-,bristre-yellow,Olive yellow,Radio 151.091
21,1987-04-12,JUVENILE,MALE,MUD SPRINGS,3,660,270,307,39.4,22.1,135,22.1,70,69,Blue,297,Purple,600,Y,Y,Y,Y,N,Y,Y,-,5,+,+,bristre-yellow,Yellow olive,
22,1987-04-14,ADULT,FEMALE,MUD SPRINGS,2,580,193,258,29,18,100,,56,60,White,490,White,491,Y,Y,Y,Y,N,N,Y,-,0,-,-,N/A,N/A,
23,1987-04-14,ADULT,MALE,MUD SPRINGS,3.55,811,327,304,403,21.7,139,23.1,71,72,White,484,Orange,980,Y,Y,Y,Y,N,N,Y,-,1,-,-,Yellow,Yellow,Dropnet
24,1987-04-14,ADULT,MALE,MUD SPRINGS,3.4,778,309,307,38.7,21.6,133,22.8,71,71,White,489,Blue,258,Y,Y,Y,Y,N,Y,Y,-,0,-,-,Yellow/Green,Brilliant Yellow,"tag found late May 1990 - predator kill, Big scab left air sac, dropnet"
25,1987-04-26,ADULT,MALE,MUD SPRINGS,2.85,690,310,325,41.11,23.8,130,"25,4",70,65,White,442,Orange,79,Y,Y,Y,Y,N,N,N,-,2,+,-,bristre-yellow,Olive yellow,Dropnet. Scar on air sac
26,1987-04-26,JUVENILE,MALE,MUD SPRINGS,2.7,695,280,321,40.55,23.7,133,22.1,70,65,Orange,11,Orange,22,N,N,N,N,N,N,N,-,0,+,-,bristre-yellow,Olive yellow,
27,1987-04-26,ADULT,MALE,MUD SPRINGS,3.1,785,300,313,38.5,21.8,131,24.4,70,69,Orange,87,White,476,Y,Y,Y,N,N,N,Y,-,0,+,-,Yellow,Yellow/Green,
