,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,samples collected,,samples collected,samples collected,,,,
binder pdf scan page ,Date,Time Start,Lek,Age,Sex,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Wing Length mm,Bill Length mm,Bill Depth mm,Keel Length mm,Comb Length mm,Tarsus length mm,Toe Length mm,Comb Color,num  Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),Air Sacs,Combs,Left Wing,Right Wing,Left Wing,Right Wing,,,,,Blood ,blood smears,Fecal,ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),notes
1,1987-03-13,,NORTH 3-9,ADULT,MALE,,,3.3,790,316,295,35.7,21.9,135,24,70,71,,,,,,,,Blue,Blue,201,202,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Pleasant dude
2,1987-03-13,,NORTH LEK 3-9,ADULT,MALE,,,3.5,794,313,308,35.7,21.2,130,19.9,72,67,,,,,,,,Red,Red,102,101,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Feisty dude 
3,1987-03-13,,NORTH LEK 3-9,ADULT,MALE,,,3.4,790,303,312,36.6,21.7,121,20.7,70,71,,,,,,,,Green ,Green,302,301,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,Feisty dude 
4,1987-03-14,,NORTH LEK 3-9,ADULT,MALE,,,3.4,732,295,308,36.8,215,129,18.9,70,69,,,,,,,,White,Orange,403,0001,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,No blood data
5,1987-03-14,,NORTH LEK 3-9,ADULT,MALE,,,3.25,720,299,300,39.8,23.2,130,23,71,74,,,,,,,,Red,Orange,0103,0002,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,
6,1987-03-14,,NORTH LEK 3-9,ADULT,MALE,,,3.4,771,307,304,37.7,20.6,135,21.4,70,72,,,,,,,,White,White,402,401,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,
7,1987-03-14,,NORTH LEK 3-9,ADULT,MALE,,,3.6,770,330,320,38,20.8,135,23.7,70,71,,,,,,,,Purple,Purple,502,501,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
8,1987-03-27,,NORTH LEK ,ADULT,MALE,,"
",3.4,753,316,312,36.7,21.3,138,22.5,70,71,Green,,,,,,,White,Red,450,110,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,No Lice
9,1987-03-27,,NORTH LEK,JUVENILE,MALE,,"
",2.75,720,230,290,39,22.1,137,21.4,69,72,Yellow,,,,,,,White,Blue,410,209,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,Diarrhea
10,1987-03-28,,NORTH LEK,JUVENILE,MALE,,"
",2.5,,,,,,,,,,,,,,,,,White ,Blue,410,209,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Recapture
11,1987-03-27,,NORTH LEK,ADULT,MALE,,,3.4,777.875,323.85,339.852,46.5667,,165.1,22.225,57.15,71.4375,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,MSB squeezed bit too hard 
12,1987-04-04,,NORTH,ADULT ,MALE,,,3.2,750,325,299,36,17.45,136,25.66,67,65,Yellow,,Yellow/Green,,,,,Red,Blue,0109,0273,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Red blotches on both air sacs,,,Master Cock. Breeder (written at top). Nape looks fine. Cloaca fine
