,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,,samples collected,samples collected,,,,
binder pdf scan page ,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Wing Length mm,Bill Length mm,Bill Depth mm,Keel Length mm,Comb Length mm,Tarsus length mm,Toe Length mm,Comb Color,num  Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),Air Sacs,Combs,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood ,blood smears,Fecal,ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),notes
1,1987-04-12,3:30,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.4,777,326,313,36.6,22.1,130,27.5,69,72,Yellow/Green,,Yellow/Green,0,-,-,-,Orange,Orange,96,75,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
2,1987-04-12,3:00,,SOUTH FETTERMAN,,YEARLING,FEMALE ,,,,1.8,558,184,275,31.1,18.1,98,,58,58,,,,0,-,-,-,Orange,Orange,94,93,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,RADIO 151.124
3,1987-04-12,4:00,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.3,705,238,308,38,21.9,134,20.8,70,71,Yellow,,Yellow,0,-,-,-,White,White,496,495,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,,,,
4,1987-04-12,3:35,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.4,785,345,308,35.4,21.4,140,23.1,69,70,Yellow/Green,,Yellow,1,-,-,-,Blue,Blue,266,263,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
5,1987-04-12,4:15,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.1,739,295,310,37.4,21.7,122,25,65,68,Green,,Yellow,0,-,-,-,White,Orange,497,29,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
6,1987-04-12,4:35,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.4,790,310,326,37.7,22.5,139,23.5,65,71,Green,,Yellow,0,-,+,+,White,Blue,493,259,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
7,1987-04-12,5:00,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.1,675,239,306,38.5,21.8,133,23.5,69,70,Yellow/Green,,Grey/yellow,0,-,+,+,Green,Green,395,394,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
8,1987-04-12,5:20,,SOUTH FETTERMAN,,YEARLING,FEMALE ,,,,1.95,569,189,265,31.3,18.4,106,,60,62,,,,0,-,-,,White,White,494,492,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,TRUE,,,,RADIO 151.026
9,1987-04-13,3:42,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.2,765,302,335,36.1,21.5,130,24.1,69,71,Yellow/Green,,Yellow,2,-,+,-,Red,Red,190,179,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,caught on lek 
10,1987-04-13,,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.4,810,341,315,35.9,21.1,139,23.2,70,69,Yellow,,Golden Yellow,1,+,-,-,Purple,Purple,561,560,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
11,1987-04-13,,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.4,818,316,319,38.7,22.7,131,25.5,70,68,Yellow,,Yellow,0,-,-,-,Orange,Blue,89,262,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
12,1987-04-16,5:50,,SOUTH FETTERMAN,,YEARLING,MALE,,,,2.9,768,267,310,35.8,21.6,135,25,67,68,Yellow,,Yellow,0,-,-,-,Red,Orange,184,85,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
13,1987-04-17,2:15,,SOUTH FETTERMAN,,ADULT,MALE,,,,2.9,,,,,,,,,,,,,,,,,Orange,Blue,89,262,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,,,RECAPTURE
14,1987-04-17,3:28,,SOUTH FETTERMAN,,ADULT,FEMALE ,,,,1.7,553,210,256,29.5,21.2,121,,61,53,,,,,-,,,Purple,White,589,452,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
15,1987-04-17,3:42,,SOUTH FETTERMAN,,ADULT,MALE,,,,2.8,,,,,,,,,,,,,,,,,Blue,Blue,266,263,,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,FALSE,Rt. tag appeared to be rubbing a sore underwing ,,,RECAPTURE
16,1987-04-17,4:25,,SOUTH FETTERMAN,,ADULT,MALE,,,,2.85,806,341,300,39.2,27.55,140,21.7,74,65,Olive Yellow,0,Bistre Yellow,1,-,-,-,Red,Blue,149,289,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,,,,
