,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
17,1987-04-15,6:50,6:30,SOUTH FETTERMAN,Boyce/Rahel,,0,15,,,,,,,,5:53,18,20,,6:18,6:23,Blue,Blue,9+ but lost sight before finished,1,,B/B chased off unmarked ,unmarked,,5:57,1,Wrote times instead of tags in copulations. All copulations with unmarked males. 11 copulations all the same male? 
,,,,,,,,,,,,,,,,6:25,13,7,,6:18,6:23,Master,,32,1,,,unmarked,,6:02,3,
,,,,,,,,,,,,,,,,6:54,12,2,,6:45,6:50,White,White,12,3,,,unmarked,,6:12,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,6:18,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,6:26,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,6:28,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1987-04-16,5:50,6:30,SOUTH FETTERMAN,Boyce/Rommowski,,0,15,,,,Marked + nitelighted until 5:50 when we saw no marked individuals on lek,disturbed birds on lek,,,5:59,9,14,,,,,,,,,,,,,,Saw no marked individuals on lek 
,,,,,,,,,,,,,,,,6:07,10,15,2 clusters of females ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:18,11,11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:32,10,,4 other males N of reservoir ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,total = 14 males\,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1987-04-23,5:25,6:17,SOUTH FETTERMAN,NA,,12,10-15,No,No,15,,lek clear of snow and rarely frost,,,5:35,22,7,,5:42,5:47,White,Orange,18,,,Chased unmarked male from hen,,,,,
,,,,,,,,,,,,,,,,6:05,22,3,,5:50,5:55,Red,Red,2,,,Was chased all over lek by unmarked males ,,,,,
,,,,,,,,,,,,,,,,6:09,,,flew due to my disturbance. Flew almost 200 yrds W of lek began to strut ,5:57,6:02,White,Blue,2,2,,Ran around lek a lot. ,,,,,
,,,,,,,,,,,,,,,,6:25,,,"Bank near birds all sitting. 
Heard strange noise think might be antelope. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1987-04-24,5:10,6:15,SOUTH FETTERMAN,NA,,slight breeze,partly cloudy sky,No,No,20,,Lek clear of frost + snow,,,5:32,15,4,,5:43,5:48,White,Blue,23,,,,,,,,
,,,,,,,,,,,,,,,,5:58,20,2,Hens are circling,6:05,6:10,White,Blue,33,,,,,,,,
,,,,,,,,,,,,,,,,6:30,21,2,RW female is on lek ,6:11,6:16,White,Orange,25,1,Near female at least 3 of the 5 min about 3-5m apart. ,Tied with unmarked male in wing fight which unmarked picked.,,,,,
,,,,,,,,,,,,,,,,6:57,24,0,,6:23,6:28,White,White,27,1,furthest distance from female was around 10m as close 1m ,"unmarked male was chased to other side of lek, W/W was on the extreme W side of lek. ",,,,,
,,,,,,,,,,,,,,,,7:10,22,0,Walking W,6:35,6:40,Red,Orange,36,3,was on estreme W edge of lek >30m from other birds no female near him,,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,White,White,14,,,was beat by a unmarked male in a wing fight ,,,,,
,,,,,,,,,,,,,,,,,,,,7:00,7:05,White,Orange ,10,,,,,,,,
