binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Fecal,samples collected Ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
1,1988-03-30,6:22,,LONG LAKE ,,ADULT,MALE,,,,3.3,798,313,15,312,138,69,74,40.6,23.4,26.4,Olive/Yellow,0,Olive/Yellow,0,-,-,+,,Orange,Orange,74,75,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
2,1988-03-30,7:00,,LONG LAKE ,,ADULT,MALE,,,,3.35,795,299,18,314,130,62,67,39.8,21.5,24.5,Green/Yellow,0,Bistre Yellow,0,-,-,+,,Orange,Green,73,387,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
3,1988-03-30,6:55,,LONG LAKE ,,ADULT,MALE,,,,2.95,715,277,15,319,132,62,70,38.8,23.5,24.5,Olive/Yellow,0,Olive/Yellow,Yes,+,+,+,,Purple,Blue,577,286,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
4,1988-03-30,6:28,,LONG LAKE ,,ADULT,MALE,,,,2.76,736,274,16,312,144,70,68,38.5,23.7,25.2,Bistre Yellow,0,Bistre Yellow,0,+,+,+,,Green,Blue,375,281,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
5,1988-04-05,22:25,,LONG LAKE ,,ADULT,MALE,,,,3.35,,,,,,,,,,,,,,,,,,,Green,Orange,303,5,,TRUE,FALSE,FALSE,,,TRUE,TRUE,FALSE,,,,RECAP,
6,1988-04-06,9:45,,LONG LAKE ,,ADULT,MALE,,,,3.2,673.1,311.15,,336.55,155.575,76.2,82.55,39.6,17.5,24.5,Bistre Yellow,0,Olive Yellow,13,-,+,-,,Yellow,Orange,,72,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,,,,,
7,1988-04-07,6:40,,LONG LAKE ,,ADULT,MALE,,,,3.49266,725,296,17,316,139,69,73,40.6,22.9,25,Olive Yellow,0,Green Yellow,0,-,+,-,,Yellow,Red,,172,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
8,1988-04-07,7:00,,LONG LAKE ,,ADULT,MALE,,,,3.49266,,,17,,,,,,,,,,Greenish yellow ,0,,-,,,Orange,Purple,92,565,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,RECAP 87,
9,1988-04-07,8:15,,LONG LAKE ,,,MALE,,,,3.40194,785,331,17,319,135,70,69,35.8,16.7,24.6,Olive Yellow,0,Olive Yellow,0,-,+,+,,Yellow,Green,,321,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
10,1988-04-07,8:35,,LONG LAKE ,,ADULT,MALE,,,,3.4473,775,301,18,32.3,136,69,68,37.4,22.1,23.9,Olive Yellow,0,Bistre yellow,0,-,-,-,,Yellow,Blue,,247,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
11,1988-04-08,11:10,,LONG LAKE ,Ken Koeppen,ADULT,MALE,,,,3,756,330,19,309,146,69,65,37.15,21.68,22,Olive Yellow,0,Bistre Yellow,0,-,+,-,,Green,Green,355,328,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
12,1988-04-08,11:50,,LONG LAKE ,,JUVENILE,MALE,,,,2.8,694,246,18,308,138,70,69,41.6,22.4,20.7,Yellow/Olive,0,Bistre Yellow,0,-,+,+,,Red,White,150,471,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
13,1988-04-08,11:35,,LONG LAKE ,,ADULT,MALE,,,,3.3,750,342,19,319,134,65,56,40.3,21.9,25.66,Olive Yellow,0,Bistre Yellow,0,+,+,-,,White,Orange,470,31,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
