,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
51,12-04-1988,5:50,6:51,MUD SPRINGS,Boyce/Mike Manuare,,0,1,No,No,,Beautiful morning!,Dry,,,6:05,38,24,?/Y chased off lek,7:24,7:29,Y,Y,20,1,,lost 1 fight - unmarked male,,,,,"Y/B - not strutting - lost at least 3 fights. R/R, Y/Y. "
,,,,,,,,,,,,,,,,6:51,39,17,,7:40,7:45,Y,Y,0,3,,display to unmarked male,,,,,
,,,,,,,,,,,,,,,,7:30,30,20,,,,,,,,,,,,,,
52,14-04-1988,5:50,6:55,MUD SPRINGS,Burton/EVA/Dean,,0 to 5,0 to 5,No,No,,Good,Good,,,6:00,14,24,Master cock moved to top of rise near road,6:23,6:33,Y,B,23,,Close,"Chased 6 times by master cock, went into hen harem while MC was chasing subordinate",,,,,East (?) counted
,,,,,,,,,,,,,,,,6:11,11,33,,6:41,6:46,Y,B,22,3,,4 losses to several males,,,,,
,,,,,,,,,,,,,,,,6:18,15,36,Need to move north,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:29,19,39,,,,,,,,,,,,,,
53,17-04-1988,5:50,6:40,MUD SPRINGS,White/ Heimgartner,,10 to 15 gusting,40,No,No,,truck parked 1 ridge away w/ UM human male walking (?),,,,5:58,21,?,West mating center,6:39,6:44,Y,G,16,2,,West mating center,,,,,"Y/Y chased off UM male. ~15 females flew from W center - E after 6:22. At W center, 2 (?) appoach ends of lek. Master cock on E cluster a N and W of center. Truck pulled up to draw 1 ridge away from lek, (?) at first light + (?) who in (?). 2 UM males fought w/ (?) protecting the south of (cut off sheet). "
,,,,,,,,,,,,,,,,5:58,19,16,East mating center,6:49,6:54,Y,Y,15,3,,West mating center,,,,,
