binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,hematomas air sac comments,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Ectoparasites,samples collected Fecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
,12-04-1988,6:35,,MCJ,,ADULT,MALE,,,,3.2,736,296,20,296,141,70,69,40.65,22.95,27.65,Olive yellow,1,Bistre yellow,0,-,-,,+,1,Blue,Blue,228,227,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
,12-04-1988,6:50,,MCJ,,ADULT,MALE,,,,3,751,307,17,311,142,73,70,38.85,22.95,21.95,"sage green, yellow olive",0,Bistre yellow,0,-,+,rt. Sac,-,,Green,Green,333,361,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
,21-04-1988,5:35,,MCJ,,ADULT,MALE,,,,3.1,786,312,19,292,139,68,68,38.45,22.83,22.9,Olive yellow,0,Chrome yellow,0,-,+,left,-,,Blue,Orange,949,763,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Even sac color,
,21-04-1988,5:25,,MCJ,,ADULT,MALE,,,,2.8,722,263,17,,130,69,67,36.9,22.02,21.4,Greenish yellow,0,Bistre yellow,0,-,-,,-,,Blue,Yellow,908,1139,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,21-04-1988,5:00,,MCJ,,ADULT,MALE,,,,3.1,719,297,18,304,138,69,68,39.9,23.1,23.15,Olive yellow,0,Bistre yellow,0,-,+,,-,,White,White,694,689,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,"Sore below left air sac, fresh blood",,,,
,21-04-1988,4:50,,MCJ,,ADULT,MALE,,,,3.2,783,327,20,309,142,70,66,39.8,25.45,20.6,Olive yellow,0,Bistre yellow,1,+,+,,-,,Red,Red,894,805,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,21-04-1988,3:45,,MCJ,,ADULT,MALE,,,,3.15,818,358,22,312,140,68,75,39.05,23.1,25.8,Olive yellow,0,Bistre yellow,0,-,-,,+,,Yellow,Yellow,1106,1135,,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,,,,Both sacs bistre yellow,
,21-04-1988,3:03,,MCJ,,ADULT,MALE,,,,3.1,,,,,,,,,,,,,,,,,,,,Green,Green,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,,,,RECAP,
,12-04-1988,7:10,,MCJ,,ADULT,FEMALE,,,,1.7,568,185,,261,111,55,64,35.46,19.85,,,,,,-,,,,,Orange,Orange,49,61,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
,12-04-1988,6:05,,MCJ,,ADULT,FEMALE,,,,1.6,554,218,,270,119,51,55,31.2,16.32,,,,,,-,,,,,Green,Green,358,339,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
,21-04-1988,3:30,,MCJ,,JUVEN,FEMALE,,,,1.5,534,186,,259,117,57,61,31.55,17.4,,,,,,-,,,,,Blue,Blue,980,902,,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE,,,,,
