binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,hematomas air sac comments,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Ectoparasites,samples collected Fecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
,05-04-1988,2:54,,NORTH,,ADULT,MALE,Nightlighting,,,3000,768,336,18,309,155,70,66,36.13,20.1,19.55,Yellow/olive,0,Bistre yellow,0,-,+,few around edges ,-,,Blue,Blue,285,279,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,80.67
,05-04-1988,3:58,,NORTH,,ADULT,MALE,Nightlighting,,,3000,774,328,17,305,146,69,63,38.9,20.4,22.54,Olive/yellow,0,Bistre yellow,0,-,+,1 on left sac,-,,White,White,402,401,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,Recap from 1987,81.7
,07-04-1988,11:15,,NORTH,,ADULT,MALE,,,,NA,770,312,16,321,131,71,68,39.504,21.85,23.9,Olive/yellow,0,Bistre yellow,0,NA,+,left,-,,Purple,Purple,538,542,,TRUE,TRUE,TRUE,,,TRUE,,,,Died 11:51. ,Hyperventilated - very active whole time. Released before complete blood sample because went limp - laid next to truck. ,,77
,07-04-1988,9:27,,NORTH,,ADULT,MALE,,,,3225,736.6,330.2,NA,311.15,135.89,69.85,69.85,41.1,19.7,26,Olive yellow,0,Olive/yellow,0,-,-,,-,,Yellow,Purple,NA,540,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,No blood data. ,
,07-04-1988,1:24,,NORTH,,ADULT,MALE,,,,3200,641.35,292.1,19,317.5,152.4,69.85,73.025,37.6,17.8,26.5,Bistre yellow,0,Bistre yellow,0,+,+,,-,,Yellow,Green,NA,384,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
,08-04-1988,NA,,NORTH,,ADULT,MALE,,,,3000,715,375,16,365,150,72,65,38,21,26,Yellow olive,0,Bistre yellow,NA,-,+,,-,,Orange,Orange,44,48,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,"Bird was intravenous (?). Lice found on air sac but no number indicated, so replaced with NA. ",
,08-04-1988,1:21,,NORTH,,ADULT,MALE,,,,3200,730,374,18,365,205,70,63,40,19.3,27.8,Olive yellow,0,Bistre yellow,NA,-,+,,-,,Green,Green,302,301,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,"RECAP 87. Lice found on air sac but no number indicated, so replaced with NA. ",80
,08-04-1988,1:21,,NORTH,,ADULT,MALE,,,,3200,640,265,19,300,150,75,64,35,16,23.5,Olive yellow,0,Bistre yellow,NA,-,+,,-,,Green,White,390,482,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,"RECAP 87. Lice found on air sac but no number indicated, so replaced with NA. ",
,09-04-1988,6:45,,NORTH,,ADULT,MALE,,,,3000,776,311,20,315,139,70,66,39.93,20.8,22.6,Olive yellow,0,Bistre yellow,0,-,+,,+,,Orange,White,9,462,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
,09-04-1988,7:02,,NORTH,,ADULT,MALE,,,,3000,806,318,18,305,147,68,60,39.2,21.55,21.26,Yellow olive,0,Bistre yellow,1,-,+,,+,,Red,Red,102,101,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
,11-04-1988,NA,,NORTH,,ADULT,MALE,,,,3400,740,315,NA,310,150,70,70,38.5,19.2,27.7,Olive yellow,0,Bistre yellow,0,-,-,,-,,Yellow,Blue,1170,960,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
,13-04-1988,5:39,,NORTH,,ADULT,MALE,,,,2900,753,290,16,302,130,70,65,39.8,20.7,22.65,Yellow olive,0,Bistre yellow,0,-,+,right sac,-,,White,Blue,432,234,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,"Breeder. Very even sac color, color clear to edges. ",
,13-04-1988,5:55,,NORTH,,ADULT,MALE,,,,2800,741,298,17,300,135,70,69,39,20.8,21.5,Yellow olive,0,Bistre yellow,0,-,-,,-,,White,Green,481,388,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Even sac color,
,13-04-1988,6:10,,NORTH,,ADULT,MALE,,,,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,Green,Green,NA,NA,NA,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Recap '87 + 88. ,
,14-04-1988,4:30,,NORTH,,JUVEN,MALE,,,,2650,686,238,16,305,139,69,75,35.82,22.34,22.26,Olive yellow,0,Chrome yellow,1,-,+, (lots and lots),+,,Orange,Green,3,353,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
,14-04-1988,3:20,,NORTH,,JUVEN,MALE,,,,2650,692,233,20,298,141,68,63,39.2,20.2,20.65,"Yellow olive, chrome yellow edges",0,Bistre yellow,3,-,+,,+,,Green,Orange,332,55,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,"Very vocal, very feisty",,
,14-04-1988,4:05,,NORTH,,ADULT,MALE,,,,2800,,,,,,,,,,,,,,,,,,,,Orange,Orange,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Recap ,
,14-04-1988,4:05,,NORTH,,ADULT,MALE,,,,3100,,,,,,,,,,,,,,,,,,,,Red,Red,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Recap,
,14-04-1988,4:10,,NORTH,,ADULT,MALE,,,,2850,,,,,,,,,,,,,,,,,,,,Orange,White,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Recap,
,14-04-1988,5:12,,NORTH,,ADULT,MALE,,,,2800,737,294,19,298,144,69,70,38.65,23.35,21.76,Olive yellow,0,Bistre yellow,0,+,+,lots,+,on edge,White,Purple,426,543,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,no blood data,
,15-04-1988,5:45,,NORTH,,JUVEN,MALE,,,,2800,704,247,20,304,136,68,68,39.28,23.23,23.2,Greenish yellow,0,Bistre yellow,0,-,+ ,,+,,Yellow,Orange,NA,77,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,no blood data,
,09-04-1988,8:32,,NORTH,,ADULT,FEMALE,,1450,,,545,187,16,267,157,59,58,33.7,33.7,18.25,NA,NA,NA,NA,-,-,,-,,Blue,Green,253,337,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,"Wings beat up at elbow, no feathers left",,,no blood data ,
,09-04-1988,8:53,,NORTH,,ADULT,FEMALE,,,,1700,597,211,16,285,115,56,51,32.2,18.3,NA,NA,NA,NA,NA,-,-,,-,,Blue,Purple,261,555,,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE,Elbow of wings beat up - no feathers,,,,
,09-04-1988,8:30,,NORTH,,ADULT,FEMALE,,,,1600,518,204,NA,264,111,59,52,31.65,17.55,18.05,NA,NA,NA,NA,-,NA,,-,,Green,Red,357,135,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,no blood data,
,09-04-1988,8:45,,NORTH,,ADULT,FEMALE,,,,1700,578,203,NA,270,105,60,60,32.65,18.15,17.75,NA,NA,NA,NA,-,NA,,NA,,Red,Green,140,331,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,no blood data,
,09-04-1988,7:18,,NORTH,,NA,FEMALE,,,,1300,564,203,NA,261,103,56,53,30.15,18.08,16.75,NA,NA,NA,NA,-,NA,,NA,,Orange,Orange,8,30,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,RECAP 87,
,09-04-1988,7:30,,NORTH,,ADULT,FEMALE,,,,1550,572,212,NA,267,106,51,56,32.95,19.05,17.3,NA,NA,NA,NA,-,NA,,NA,,Orange,Green,7,340,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,Big sore on left toe,,,,
,09-04-1988,7:43,,NORTH,,ADULT,FEMALE,,,,1500,573,212,NA,269,109,60,56,32.75,17.65,17.35,NA,NA,NA,NA,-,NA,,NA,,Orange,Red,5,144,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,(?) male long lake 87,
