binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,hematomas air sac comments,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Ectoparasites,samples collected Fecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
1,04-04-1988,7:30,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.05,670,319,18,300,135,75,70,38.521,19.75,22,Olive yellow,0,Bistre yellow,NA,-,+,,+,,Yellow,Green,,386,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,"Lice found on air sac but no number indicated, replaced with NA",
2,04-04-1988,7:30,,SOUTH FETTERMAN,,ADULT,MALE,Cannon net,3.2,,,725,350,20,302,138,70,66,42.665,19.75,28.1,Yellow olive,0,Bistre yellow,0,-,+,,-,,Yellow,Orange,,70,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
3,05-04-1988,7:00,,SOUTH FETTERMAN,,ADULT,MALE,,,,3.3,745,345,15,300,160,72,73,37.55,20.81,22.88,Bistre yell,0,Bistre yellow,NA,-,+,,+,,Green,Blue,385,250,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,"None on back or head. Lice found on air sac but no number indicated, replaced with NA",
4,05-04-1988,8:00,,SOUTH FETTERMAN,,ADULT,MALE,,,,2.6,742,327,17,315,106,60,62,36.34,21.61,23.46,Olive yellow,0,Bistre yellow,0,+,+,big area on left,+ ,lots at edge,White,Red,434,167,,TRUE,TRUE,TRUE,,,,,,,,,,76.95
5,06-04-1988,1:50,,SOUTH FETTERMAN,,ADULT,MALE,Night lighting,,,2.875,721,303,17,317,144,69,60,35.5,23.05,21.15,Olive/yellow,0,Bistre yellow,"16L, 4R",-,+,"bottom edge of left, right sac ",+,around edges,White,Orange,469,80,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,78.9
6,15-04-1988,3:48,,SOUTH FETTERMAN,,JUVENILE,MALE,,,,3.71946,708,299,16,307,157,70,69,39.5,23.1,25.1,Olive yell,0,Bistre yellow,2,-,+,,-,,Purple,Green,551,366,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
7,15-04-1988,4:09,,SOUTH FETTERMAN,,JUVENILE,MALE,,,,3.76482,752,321,17,296,160,67,66,37.8,22.4,27.05,Olive yell,0,Bistre yellow,-,-,+,,-,,Red,Blue,177,249,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,Huge scab on left air sac,,,,
8,16-04-1988,2:05,,SOUTH FETTERMAN,,,MALE,,,,,,,,,,,,,,,,,,,,,,,,Yellow,Green,-,386,,TRUE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,RECAPTURE. Tag feather trimmed. Feather underwing still bloody recent capture,
9,16-04-1988,2:00,,SOUTH FETTERMAN,,JUVENILE,MALE,,,,,,,,,,,,,,,,,,,,,,,,Purple,Green,551,366,,TRUE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,RECAPTURE. Not measured again. Still bloody under the arm from blood sampling,
10,11-04-1988,0:50,,SOUTH FETTERMAN,,ADULT,FEMALE,,2.2,,,546,184,,273,124,53,56,32,17.1,,,,,,,,,,,Red,Green,176,365,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,Very light in color + mottled,
11,11-04-1988,1:10,,SOUTH FETTERMAN,,JUVENILE,FEMALE,,1.8,,,542,183,,266,118,53,57,31.6,19.9,,,,,,,,,,,Purple,Orange,554,35,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
12,15-04-1988,4:30,,SOUTH FETTERMAN,,ADULT,FEMALE,,,,2.26796,542,172,,266,135,60,56,32.2,17.85,,,,,,,,,,,Green,Orange,367,47,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,No blood data,
