,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
12,16-04-1988,6:20,6:30,Viewpoint,Boyce/Dan Marty,,0,0,-,-,,,,,,6:30,18,13,,,,,,,,,,,,,,"Lek actually reads ""New Lek - S of Robinettes"", but in the Viewpoint folder. "
,,,,,,,,,,,,,,,,6:50,18,9,,,,,,,,,,,,,,
13,21-04-1988,6:15,6:21,VIEWPOINT,Burton et al.,,0 to 5,20,No,No,,Hawk on ridge where lek is!,Good,,,6:21,11,4,,6:40,6:45,R,B,34,,None,None,,,,,Late got lost! Tag: RG on lek. 
,,,,,,,,,,,,,,,,6:30,13,1,,6:40,6:45,R,G,27,1,,None,,,,,
,,,,,,,,,,,,,,,,6:50,13,1,Hawk flew off - birds back on lek,7:10,7:15,R,B,37,1,,,,,,,
,,,,,,,,,,,,,,,,7:04,13,2,Coyote on distant hill,7:10,7:15,R,G,36,1,,1 chase,,,,,
,,,,,,,,,,,,,,,,7:35,15,2,Eagle sitting on hill,,,,,,,,,,,,,
14,23-04-1988,5:45,,VIEWPOINT,Boyce,,5 to 10,100,Lightly,,,About 6 inches snow fell night before last,Snow - covered,,,5:50,11,0,Very little strutting,,,,,,,,,,,,,R/B - no strutting
,,,,,,,,,,,,,,,,6:10,6,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:17,9,0,1 male strutting but no R/B,,,,,,,,,,,,,
15,24-04-1988,5:55,6:15,VIEWPOINT,White,,5 to 10,40,No,No,,,Some snow,,,5:55,3 ( 1 juven),0,2 birds of unknown sex flew from down S of lek ,6:20,6:25,R,B,0,,,Standoff w/UM male,UM,,,2,"At 7:17, R/R showed up - (?) S of lek - never strutted. 5:59 - 3 males arrived from draw (1 juv, 2 adults). R/B -  tail wagging + clucking w/UM male. 6:07 - 5 males arrived from draw. A lot of chasing of juv males. 6:23 - all birds but 1 down for ~ 30 sec. 6:27 - 2 hens around - everyone went crazy - chasing each other + strutting. R/B + UM male w/ copulation  and a standoff. UM male -  that had copulated attempted third copulation w/ hen, interrupted by neighboring male. Hen wandered off. Hen came back a few minutes later and solicited from same UM male. He didn't respond, she wandered off, then came back. She's desperate! See (?) and for about 1/2 min hen w/ same M male. She solicited again - he mated. Finaly! Copulation w/ same male interupted - whole process - 45min. 
"
,,,,,,,,,,,,,,,,6:03,6 ( 2 juven),0,Birds just sitting - no strutting,6:28,6:33,R,G,27,1,,missing tail feathers,,,,,
,,,,,,,,,,,,,,,,6:12,11,1,Most birds sitting,6:34,6:39,R,B,27,1,,Chased off 2 juv males,,,,,
,,,,,,,,,,,,,,,,6:13,10,0,No strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:21,13,0,Wandering males,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:36,17,0,a lot of running around,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:41,19,3,,,,,,,,,,,,,,
