,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,hematocrit Cells,hematocrit Cells,hematocrit Plasma,hematocrit Plasma,hematocrit Total,hematocrit Total,,,,,,,
binder pdf scan page,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),num Air Sacs,air sacs comments,num Combs,comb comments,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood,Ectoparasites,Fecal,Cecal,1,2,1,2,1,2,blood malaria,blood leuko,slide numer,Existing Injuries,Handling Injury,Stresses While Handling (describe),Comments
1,23-03-1989,3:51,4:07,LONG LAKE,White,ADULT,MALE,Spotlight,3.25,0.35,2.9,756,334,17,336,149,65,69,40.95,23.15,23.6,Olive yellow,0,Chrome yellow,0,-,0,,0,,Blue,White,950,658,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,14,19,11,9,25,28,no,,19+20,None,None,Minimal,
2,23-03-1989,3:32,3:48,LONG LAKE,White,ADULT,MALE,Spotlight,3.3,0.3,3,770,331,18,316,162,71,68,42.75,24.8,23.9,Yellow olive,0,Bistre yellow,0,-,0,,0,,Red,Green,887,1098,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,8,10,10,11,18,21,no,,5+6,None,None,Moderate,
3,23-03-1989,2:10,2:28,LONG LAKE,White,ADULT,MALE,Spotlight,3.2,0.35,2.85,765,346,16,331,174,69,66,39.55,20.75,24.1,Olive yellow,0,Yellow,0,-,0,,0,,Blue,Orange,945,791,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,5,7,9,11,14,18,no,,11+12,See notes,None,Minimal,Left air sac -> fresh hole
4,23-03-1989,1:41,2:08,LONG LAKE,White,ADULT,MALE,Spotlight,3.4,0.4,2.8,775,400,16,305,172,72,66,39.55,22.45,27.4,Olive yellow,0,Yellow,0,-,0,,+,,Blue,Red,949,900,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,14,15,10,8,24,23,no,,15+16,None,None,Minimal,
5,30-03-1989,2:34,2:48,LONG LAKE,White/Brokaw,JUVENILE,MALE,Spotlight,2.8,0.4,2.4,660,278,20,305,110,68,70,39.85,21.5,24.45,Olive yellow,6,Yellow,"4L, 0R",+,,Lots - 15 - 20,,Lots - 15 - 20 (lice on hematoma),Orange,Yellow,792,1110,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13,21,11,14,24,35,no,,NA,-,-,Minimal," Lice on back of head, lots of feather loss. Lost feathers on left leg - looks mangy - lots of lice. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30-03-1989,4:50,,LONG LAKE,White/Brokaw,ADULT,MALE,Spotlight,3.3,0.3,3,720,322,20,322,147,64,68,39.95,23.3,26.05,Olive yellow,0,Bistre yellow,0,-,0,,0,,Green,Red,1084,883,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,15,17,11,10,26,27,no,,25+26,Bruise on right air sac,-,-,
7,30-03-1989,3:23,3:39,LONG LAKE,White/Brokaw,ADULT,MALE,Spotlight,3.6,,,802,369,17,347,146,67,77,40.9,23.4,27,Olive yellow,0,Bistre yellow,,-,"4L, 0R",,"1L, 0R",,Yellow,Yellow,1116,1118,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,FALSE,15,14,15,14,30,28,no,,23+24,-,-,Moderate,Tail feathers curved up
8,30-03-1989,4:31,4:49,LONG LAKE,White/Brokaw,ADULT,MALE,Spotlight,3.1,0.3,2.8,718,360,12,328,149,67,68,41.7,22.65,25.5,Olive yellow,0,Bistre yellow,0,-,"22L, 0R",,"12L, 0R",,Yellow,White,1117,659,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,FALSE,15,9,16,12,31,21,no,,31+32,-,-,-,
9,30-03-1989,2:52,3:07,LONG LAKE,White/Brokaw,ADULT,MALE,Spotlight,3.1,0.3,2.8,700,305,13,339,164,64,69,37.8,20.6,23.8,Olive yellow,0,Chrome yellow,0,-,"4R, 0L",,1R,,Blue,Yellow,948,1142,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,15,14,14,13,29,27,no,,29+30,-,-,Minimal,
10,30-03-1989,2:10,2:29,LONG LAKE,White/Brokaw,ADULT,MALE,Spotlight,3.3,0.4,,705,305,18,315,157,68,62,41.9,23.75,27.75,Bistre yellow,0,Bistre yellow,0,-,1R,,0,,Orange,Red,738,848,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,16,11,12,8,28,19,no,,33+34,-,-,Moderate - resp,Beautiful large combs
11,30-03-1989,3:10,3:22,LONG LAKE,White/Brokaw,JUVENILE,MALE,Spotlight,3,0.3,2.7,721,305,17,332,150,62,60,40.7,21.8,24.55,Bistre yellow,0,Yellow,0,-,0,,0,,Blue,White,950,658,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,nA,NA,,NA,Small cut on ball of left air sac -  scabbing over,-,-,RECAP 89
12,01-04-1989,4:05,4:23,LONG LAKE,White/Hutchinson,ADULT,MALE,Spotlight,3.35,0.3,3.05,742,333,20,325,159,65,68,40.25,23,26.55,Olive yellow,0,Bistre yellow,0,-,"0L, 5R",,"0L, 3R",,Blue,Blue,1601,1602,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,11,12,12,22,23,NA,,63+64,-,-,Moderate,"Slide # 2 ? 9.7 x 147; 9.8 x 140.8, #1 - 7.8 x 172.4; 172.5 x 9.97"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,01-04-1989,3:19,3:40,LONG LAKE,White/Huchinson,ADULT,MALE,Spotlight,3.2,0.3,,766,331,19,329,154,64,71,37.6,21.5,26.9,Yellow olive,0,Yellow,0,-,0,,0,,Yellow,Green,,381,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,3,3,4,9,7,12,no,,NA,None,-,Moderate - breathing,Beautiful bird!
14,01-04-1989,3:45,4:00,LONG LAKE,White/Hutchinson,ADULT,MALE,Spotlight,3.4,0.3,3.1,721,380,17,318,157,62,68,40.2,22.1,28.35,Olive yellow,0,Bistre yellow,"1R, 0L",-,"6L, 10R",,0,,White,Yellow,672,1234,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,15,16.5,13,15,28,31.5,NA,,NA,Bruise rt air sac,-,Moderate breathing,No hematograms?
15,02-04-1989,2:08,2:23,LONG LAKE,White/Baunclier,ADULT,MALE,,3.2,0.4,2.8,728,336,15,307,141,62,67,42,22.3,28.2,Olive yellow,0,Yellow,0,-,,15 - 20 both,"2L, 0R",,Green,White,1576,1440,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12,8.5,11.5,9,23.5,17.5,no,,39+40,None,None,High respir but flew at release,FIGHTER!!
