,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
39,17-03-1989,5:35,6:18,LONG LAKE,White,,"20 - 30, gusts to 50",50 - 90 by 7:14,Blowing ground snow,,,,"Snow covered, blowing snow",,,5:42,10,0,,,,,,,,,,,,,,"Female flew E at 6:25, saw juveile (?), 7:31 - flew few 100 m. Left at 7:31. Most wandering + feeding"
,,,,,,,,,,,,,,,,5:48,24,0,Lots of strutting!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:56,30,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:08,29,0,Strutting blown by wind,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:18,31,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:28,28,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:37,24,0,Strutting but lost interest,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:44,24,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:57,24,0,Losing interest - would rather eat ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:08,24,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:23,29,2,,,,,,,,,,,,,,
40,19-03-1989,5:34,,LONG LAKE,White,None,Calm,100,Light,0,,-,Snow covered,,,6:07,32,0,Walking - hard to see in snow,6:50,6:55,B,B,17,-,,-,,,,,"5:54 - 67 total birds, at least 5. Very scattered - along shore of lake to base of mtns. Left after 7:12 observation"
,,,,,,,,,,,,,,,,6:16,49,0,"Wandering, feeding - little strutting",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:33,55,0,wandering towards additional (?) ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:01,55,0,Wind has picked up,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:12,59,0,8 males in satellite group to E by lake,,,,,,,,,,,,,
41,20-03-1989,5:37/6:03,,VP/LL,White,None,5 to 10,100,Light,-,,-,Snow covered,,,6:10,45,1,6:21 - female flew W to other group of males,,,,,,,,,,,,,"Flushed 11 juven on side of 2 trac on way out. Didn't see any (?) brush, but little strutting (?) to W. About 13 birds flushed a VP as I arrived. I wasn't < 100 m when happened - prob in response to truck. 6:50 - around 1/2 birds flew W to base of ridge. 6:55 - 12 birds flew W. Left 7:02"
