,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
1,27-03-1989,5:15,,MCJ,White/Smith,None,0 to 5,90,-,-,,-,Wind up at dawn - 10-20,Ferruginous Hawk,5:46,5:31,9,5,,,,,,,,,,,,,,"Predator disturbance - grouse didn't flush, but stayed low until 061. Everyone down again by 6:45 - up at 6:17. 6:21 - all flew ~ 20 birds"
,,,,,,,,,,,,,,,,6:03,8,1,No strut - crowded hens,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:19,8,0,,,,,,,,,,,,,,
1,,6:30,,NORTH MARSHALL LEK,Boyce,,,10,,,,,,,,6:40,46,1,,,,,,,,,,Unmarked,,,1,Breeder & non-strutter collected at 6:50 immediately after cop. by breeder
1,31-03-1989,5:45,,SOUTH FETTERMAN,White/Wilson,None,25 to 30,35,-,-,,-,Clear,,,5:45,8,7,,5:48,5:53,?,W,23,1,,-,Unmarked,,,2,Went to WD late - 6 males flushed as we approached. W adjacent to breeding male. At 6:39 - 12 females flushed + 2 more in sagebrush. Left at 6:40
,,,,,,,,,,,,,,,,5:57,9,5,2 males off ? to north,6:03,6:08,O,G,28,1,,-,,,,,
,,,,,,,,,,,,,,,,6:07,8,9,0 ? to hens ?,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:28,8,7,Females wandering off,,,,,,,,,,,,,
2,02-05-1989,6:15,6:00,SOUTH FETTERMAN,MSB,None,5 to 10,30,,,,,Dry,,,6:30,7,1,R/G,6:47,6:52,R,G,25,1,,Following hen across lek,,,,,
,,,,,,,,,,,,,,,,6:56,5,0,2 males flew,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:05,3,0,No strutting any more,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:06,4,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
