,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
28,19-03-1989,5:40,,SYBILLE,Boyce,None,10,100,-,,,,Snow covered,None,,5:45,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:05,7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,8,,Very little strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:45,,,All birds had wandered away,,,,,,,,,,,,,
29,28-03-1989,5:09,5:56,SYBILLE,White/Baumchen/Berton,None,20 to 30,2,-,-,,-,Clear,Hawk dead down a few miles,,5:22,16,3,,5:28,5:33,W,O,19,1,,wing fight - standoff,,,,,"W/O lost fight to Y/O. Left 6:30 
Praire falcon, golden eagle (written at top of page)"
,,,,,,,,,,,,,,,,5:47,19,4,,5:35,5:40,Y,,25,1,,none,,,,,
,,,,,,,,,,,,,,,,6:13,19,4,,5:42,5:47,Y,O,32,1,,Won fight w/UM male,,,,,
,,,,,,,,,,,,,,,,6:25,18,3,hens wandering off,,,,,,,,,,,,,
30,30-03-1989,6:22,5:55,SYBILLE SPRGS,White,None,2  to 30,90,Light,-,,-,Light snow cover,,,6:22,8,2,Saw 3 ferrug + 1 golden eagle on approach,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:32,10,0,No strutting,,,,,,,,,,,,,
31,01-04-1989,5:38,,SYBILLE,White,None,5 to 10,80,-,-,,,Clear,Golden eagle ,5:56,5:40,21,16,2 mating clusters -> (point to back of page),5:44,5:45,Y,P,37,1,,,,,,,"~ 50 (all) birds flew when eagle flew over . 1 bird (male) flew back at 6:02. 6:05 - 3 more flew back including W/O - 2 more at 6:04. 2 more - 6:07. 3 geese, 15 pintails, 2 mallards. 7:34 - ferrug. hover over lek. "
,,,,,,,,,,,,,,,,6:14,8,0,,5:53,5:58,W,O,21,2,,Only 4.5 minutes,,,,,
,,,,,,,,,,,,,,,,7:42,10,2,"4 males S of lek, 6 on N and 3 on W side of lek. Arrow pointing to diagram back of page",7:44,,Y,O,34,2,,Standoff w/UM male and wingbeat same male,,,,,
32,13-04-1989,6:00,6:33,SYBILLE SPRINGS,J. Baldwin,None,Calm,5,,,,,Dry,Golden eagle,7:05,6:40,31,3,,6:19,6:24,R,Y,14,,1 walked by,0,unmarked,,,1,
,,,,,,,,,,,,,,,,7:28,30,6,Female west side of lek,6:24,6:29,Y,R,33,1,,6,,,,,
,,,,,,,,,,,,,,,,,,,,7:23,7:28,R,B,0,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:31,6:36,Y,B,19,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,7:11,7:16,B,Y,11,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,7:21,7:26,R,G,13,3,,0,,,,,
33,15-04-1989,5:55,6:35,SYBILLE SPRINGS,J. Baldwin,None,10 tl 15,30 to 40,,,,,Dry,None,,6:11,18,1,Tent pitched on middle of right lek,6:18,6:23,R,B,36,1,,3,unmarked,,,1,Some observers from the UW Ag. Dept had pitched a tent in the dark in the middle of the lek.
,,,,,,,,,,,,,,,,6:31,15,8,Females were hanging around UM male and Red - Blue male at west lek,6:23,6:28,Y,R,30,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:58,7:03,R,B,38,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,Y,R,32,1,,0,,,,,
34,16-04-1989,5:45,6:32,SYBILLE SPRINGS,J. Baldwin,None,5 to 10,30 to 50,,,,,Dry,Golden eagle,6:10,5:59,9,10,,6:02,6:07,Y,R,30,1,,1,unmarked,,,2,People disturbance kept right  side of lek from ever reestablishing. Predator disturbance - all birds left lek. 
,,,,,,,,,,,,,,,,7:00,6,3,Lek trying to reestablish itself after predator disturbance,7:05,7:10,Y,R,33,,1 walked by,0,,,,,
35,18-04-1989,5:35,6:26,SYBILLE SPRINGS,J. Baldwin,None,5,5,,,,,Dry,None,,5:44,19,10,,6:07,6:12,Y,R,29,2,,2,unmarked,,,4,"Lek is split into E + W groups - UM copulations from west and east group, respectively. "
,,,,,,,,,,,,,,,,6:26,15,2,,6:20,6:25,R,B,8,3,,Chasing jv male around,unmarked,,,2,
,,,,,,,,,,,,,,,,7:00,,,Most female gone,6:36,6:41,R,G,11,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:45,6:50,G,B,0,3,,0,,,,,
36,20-04-1989,5:33,6:20,SYBILLE SPRINGS,J. Baldwin,None,0 to 5,20,,,,,Dry,None,,5:52,38,6,,6:08,6:13,Y,R,32,1,,Chased 1 JV,unmarked,,,2,"Full moon. Copulations - east lek, still dark. "
,,,,,,,,,,,,,,,,6:15,0,,,6:00,6:05,R,B,2,2,,Consistently fighting and chasing Jv,,,,,
,,,,,,,,,,,,,,,,,,,Left at 6:15 no females - no action,,,R,Y,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,22-04-1989,5:17,6:20,SYBILLE SPRINGS,J. Baldwin,None,0 - 5,50,,,,,Dry,Eagle,7:27,5:48,41,0,,6:07,6:12,O,B,18,3,,0,,,,,Birds left at predator disturbance
,,,,,,,,,,,,,,,,6:22,40,1,East lek,6:16,6:21,R,B,10,3,,0,,,,,
,,,,,,,,,,,,,,,,6:40,38,1,,,,O,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:33,6:38,Y,R,25,3,,2,,,,,
,,,,,,,,,,,,,,,,,,,,7:08,7:13,W,B,24,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:45,6:50,R,B,,,,,Wanders around edge chasing JVs,,,,
38,23-04-1989,5:35,6:18,SYBILLE SPRINGS,J. Baldwin,None,0 to 5,10,,,,,Dry,"?, people","5:47, 6:06",5:45,41,?,,6:00,,R,B,,,,People chased him before end of cop. ,unmarked,,,1,The people weren't satisfied until they has chased every bird off lek!!! Left at 6:30
,,,,,,,,,,,,,,,,5:55,40,1,,,,,,,,,,,,,,
39,24-04-1989,5:38,,SS,White/Boyce,Canon netting,0 to 5,6,-,-,,-,Clear,,,5:38,19,,S lek,,,,,,,,,,,,,
40,29-04-1989,5:15,6:10,SYBILLE SPRINGS,J. Baldwin,None,15,75,,,,Sleet for a short while,Dry,Hawk,6:20,5:43,24,,COLD,5:55,6:00,R,O,,1,,>20 struts,,,,,No females observed. Males were strutting hard until 1st light. They then slowly dispersed. Hawk distubance chased the few remaining males off.
,,,,,,,,,,,,,,,,6:05,13,,,6:05,6:10,R,,,1,,>20struts,,,,,
,,,,,,,,,,,,,,,,6:20,6,,,,,,,,,,,,,,,
41,30-04-1989,5:35,6:10 ?,SYBILLE SPRINGS,J. Baldwin,None,0 to 5,Overcase and snowing,Yes,,,,1/2 snow,,,5:40,17,0,,6:12,6:17,O,Y,10,3,,Chase JV,,,,,"~ 1"" snow when I left and snowing hard"
,,,,,,,,,,,,,,,,6:00,15,1,Walk hens W lek,6:01,6:06,R,G,0,3,,,,,,,
,,,,,,,,,,,,,,,,6:42,27,0,,6:40,6:45,R,Y,6,3,,,,,,,
,,,,,,,,,,,,,,,,,,,Only 5 males on East lek,6:34,6:39,R,O,5,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:15,6:20,R,W,0,3,,,,,,,
42,02-05-1989,5:25,6:04,SYBILLE SPRINGS,J. Baldwin,None,5,95,,Yes (drizzling often),,,Dry,None,,5:30,81,3,,5:58,6:03,R,G,14,3,,Chased JV,R,G,,3,"More action this morning. East lek visited by several single females, but no copopulations witnessed."
,,,,,,,,,,,,,,,,6:05,51,0,,6:10,6:15,O,Y,4,3,,0,,,,,
,,,,,,,,,,,,,,,,6:32,27,0,,6:42,6:52,R,Y,3,3,,Chased Jv,,,,,
,,,,,,,,,,,,,,,,6:52,31,1,Walked thru east lek,6:22,6:27,R,W,2,3,,(?) standoff w/another male,,,,,
,,,,,,,,,,,,,,,,,,,,6:37,6:42,O,O,31,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,O,G,6,,,Juvenile bird,,,,,
43,03-05-1989,5:15,6:03,SYBILLE SPRINGS,J. Baldwin,None,15 to 20,50,,,,,Dry,None,,5:34,28,7,,6:11,6:16,R,G,31,1,,0,R,G,,3,"Red-Blue had females around him all morn. Stong wind seemed to make the birds huddle more, and the females took a long time to solicit copopulations."
,,,,,,,,,,,,,,,,5:49,32,4,,,,R,Y,,,,Switched position in lek several times,,,,,
,,,,,,,,,,,,,,,,,,,,,,W,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5:55,6:00,O,Y,5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,5:35,5:40,R,W,0,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:45,6:50,O,O,0,3,,1 standoff,,,,,
44,04-05-1989,5:15,6:03,SYBILLE SPRINGS,J. Baldwin,None,15 to 20,Overcast,Yes,,,,Dry,None,,5:29,21,0,,6:00,6:05,R,Y,0,3,,0,,,,,No females ever showed up.Lek was pretty boring
,,,,,,,,,,,,,,,,6:00,25,0,No strutting,6:10,6:15,R,G,0,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,O,Y,,,,Chasing JVs all over,,,,,
,,,,,,,,,,,,,,,,,,,,6:20,6:25,R,W,10,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:25,6:30,O,O,3,3,,0,,,,,
45,06-05-1989,5:20,6:00,SEBILLE SP,J. Baldwin,None,0 to 5,30,,,,,Dry,Eagle,7:30,5:28,29,5,,5:33,5:38,R,G,14,2,,0,R,G,,2,
,,,,,,,,,,,,,,,,6:09,29,0,,5:55,6:00,O,Y,7,3,,2,,,,,
,,,,,,,,,,,,,,,,6:39,29,1,,6:03,6:08,R,Y,7,3,,Chased JV,,,,,
,,,,,,,,,,,,,,,,,,,,,,W,G,,,,JUVENILE,,,,,
,,,,,,,,,,,,,,,,,,,,6:13,6:18,O,O,8,3,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:44,6:49,R,W,13,3,,0,,,,,
46,07-05-1989,5:25,5:58,SEBILLE SP,J. Baldwin,None,0 to 5,5,,,,,Dry,None,,5:30,35,1,Female on east lek,,,R,Y,0,,,Almost no strutting all morning,,,,,Leks abandoned at 7:05. West Lek was very apathetic
