,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,,,,
binder pdf scan page ,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num  Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),num Air Sacs,num Combs, comb comments,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood ,Ectoparasites,Fecal,Cecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),Comments
1,19-04-1990,3:38,3:55,MUD SPGS,White/Freeson,ADULT,MALE,Spotlight,3.45,0.3,3.15,728,345,14,325,176,65,69,40.5,20.2,24.1,Olive yell,0,Bistre yell,0,-,"1L, 1R","1L, 3R", 3R on edge,WBlue,Blue,1628,1629,SG140,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,TRUE,FALSE,-,-,-,
3,19-04-1990,4:01,4:13,MUD SPGS,White/Freeson,ADULT,MALE,Spotlight,3.1,0.3,2.8,723,320,17,305,161,68,66,37.4,21.2,25.5,Olive yell,0,Bistre yell,"0L, 2R",-,"5L, 10R","2L, 2R",,WRed,Yellow,1733,1277,SG141,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,-,Hematomas from blood draw,-,
5,19-04-1990,4:20,4:35,MUD SPGS,White/Freeson,ADULT,MALE,Spotlight,3.3,0.3,,792,325,20,319,155,68,71,39.5,22.4,25.1,Olive yell,0,Bistre yell,0,-,0,"2L, 2R",On upper edge,WYell,Green,1274,1554,SG135,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,FALSE,FALSE,"Both air sacs bruised, small scab on left air sac",,,
7,20-04-1990,2:03,2:21,MUD SPGS,White/Laessig,ADULT,MALE,Spotlight,3.3,0.35,2.95,742,320,20,329,164,66,69,40.2,22.6,24.8,Olive yell,0,Bistre yell,0,-,"0L, 1R",0,,WYell,Red,1228,1730,SG144,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,FALSE,-,-,-,"Found dead 18 June 90 on lek pile - dead a few days, found by Neimuth"
9,20-04-1990,3:00,3:14,MUD SPGS,White/Laessig,ADULT,MALE,Spotlight,3.2,0.4,,748,334,18,335,172,70,66,40.9,24,27.4,Olive yell,0,Bistre yell,0,-,0,"0L, 2R",,WOrange,Blue,1304,1615,SG147,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,-,-,-,
11,20-04-1990,3:31,3:42,MUD SPGS,White/Laessig,ADULT,MALE,Spotlight,3.3,0.4,,710,332,20,338,175,68,69,40.9,23.4,26.8,Yell - Olive,0,Bistre yell,0,+,"2L, 4R",0,,WRed,Red,1716,1721,SG148,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,TRUE,FALSE,-,-,-,NASTY BOY!
13,20-04-1990,3:47,3:58,MUD SPGS,White/Laessig,ADULT,MALE,Spotlight,3.3,0.4,,785,348,20,332,177,68,68,38.6,23.5,26.8,Yell - Olive,0,Yellow,"0L, 1R",-,"4L, 5R",0,,WYell,Yellow,1233,1237,SG149,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,FALSE,-,-,-,
15,20-04-1990,4:04,4:14,MUD SPGS,White/Laessig,ADULT,MALE,Spotlight,3.4,0.4,3,734,350,20,312,162,68,70,39.5,22.4,25,Olive yell,0,Yellow,0,-,0,"3L, 0R",,White Blue,White,1610,1433,SG150,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,Bruised air sac ?,-,-,
17,20-04-1990,4:18,4:30,MUD SPGS,White/Laessig,ADULT,MALE,Spotlight,3.2,0.4,,780,330,19,330,178,71,68,40.6,22.4,26.7,Olive yell,0,Chrome yell,0,-,"0L, 1R","3L, 0R",,White Orange,Red,1307,1764,SG142,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,TRUE,FALSE,-,-,-,
19,21-04-1990,1:31,2:06,MUD SPGS,White/Holiault,ADULT,MALE,Spotlight,3.15,0.35,,740,341,20,348,185,69,71,40.7,22.5,25.5,Yell - Olive,0,Bistre yell,0,-,0,"0L, 1R",,WRed,Orange ,1743,1308,SG152,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,FALSE,-,-,-,
21,21-04-1990,2:12,2:23,MUD SPGS,White/Holiault,ADULT,MALE,Spotlight,3.25,0.4,,734,321,19,322,161,68,70,40.4,23.6,27.3,Olive yell,0,Yellow,"1L, 1R",-,"2L, 0R","2L, 3R",,WGreen ,Orange ,1511,1306,SG153,TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,FALSE,-,-,-,Combs - injuries from fight. 
23,21-04-1990,2:47,2:50,MUD SPGS,White/Holiault,ADULT,MALE,Spotlight,3.15,0.4,,780,338,20,350,109,66,68,37.5,22.8,24.1,Yell - Olive,0,Bistre yell,0,-,"0L, 2R","2L, 2R",,Orange,White Orange,1375,1377,SG155,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,FALSE,FALSE,Wing bruised under,Hematoma blood - collecting blood left of hematoma on brachial? artery,-,
25,21-04-1990,3:04,3:14,MUD SPGS,White/Holiault,ADULT,MALE,Spotlight,3.25,0.45,,721,321,10,342,159,68,70,38.8,23.3,25.5,Yell - Olive,0,Bistre yell,"1L, 0R",-,"10L, 8R",0,,Green,WYell,1512,1280,SG151,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,Healing lots of scabs on air sacs,-,Lost 5 tail feathers in bag,
26,21-04-1990,NA,3:32,MUD SPGS,White/Holiault,ADULT,MALE,Spotlight,3.3,,,745,335,18,342,184,69,65,41.3,23.5,25.5,Olive yell,0,Chrome yell,0,-,"6L, 4R","2L, 2R",On upper edge,Orange,WYell,1388,1293,SG157,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,Right air sac bruised,Hematoma,-,
29,01-05-1990,7:25,7:45,MUD SPGS,White/Austin,ADULT,MALE,Canon net,2.8,0.3,,761,346,18,316,189,69,65,39.1,22,25.2,Olive yell,0,Bistre yell,,-,"0L, 1R","3L, ?R",Upper edge R,White,WRed ,1424,1737,SG165,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,FALSE,FALSE,-,Limping left leg,,
31,01-05-1990,7:59,8:09,MUD SPGS,White/Austin,ADULT,MALE,Canon net,3,0.4,,841,395,20,324,175,71,68,42.9,22.1,26.45,Olive yell,0,Chrome yell,0,+,"7L, 1R","5R, ?L",Many L,Yellow,WOrange,1202,1311,SG166,TRUE,TRUE,TRUE,1,FALSE,TRUE,TRUE,FALSE,FALSE,-,-,-,
33,01-05-1990,8:22,8:37,MUD SPGS,NA,ADULT,MALE,Canon net,2.9,0.35,,721,322,19,328,151,65,66,38.8,20.2,24.8,Olive yell,0,Bistre yell,0,+,"0L, 3R","1L, 1R",,Red,WBlue,1740,1613,SG164,TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,FALSE,-,-,High resp,
35,05-05-1990,6:58,7:10,MUD SPGS,White/Neimuth/Banfy,ADULT,MALE,Canon net,3.15,0.4,2.75,817,370,19,332,160,70,63,41.3,23.1,26.8,Yell - Olive,0,Bistre yell,0,,"0R, 1L","10L, 5R",,Red,WGreen,1758,1508,SG171,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,FALSE,Bruised rt. air sac,,Slight respiratory,
37,05-05-1990,7:14,7:27,MUD SPGS,White/Neimuth/Banfy,ADULT,MALE,Canon net,3.15,0.4,2.75,762,385,20,340,158,69,68,41.7,21.7,25.9,Olive yell,0,Bistre yell,0,-,"0L, 1R","5R, 4L",,Green,WRed ,1504,1765,SG172,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,,,Slight respiratory,
39,05-05-1990,7:33,7:44,MUD SPGS,White/Neimuth/Banfy,ADULT,MALE,Canon net,3.2,0.4,2.8,801,330,13,321,161,65,65,39.8,22.2,25.6,Olive yell,0,Bistre yell,,-,0,"4L, ?R",,Yellow,WRed ,1231,1771,SG173,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,"Rt. comb badly bruised, missing feathers from back of head ",,"Overheating, (?)",
41,05-05-1990,8:08,8:28,MUD SPGS,White/Neimuth/Banfy,ADULT,MALE,Canon net,3.35,0.4,,775,300,20,355,158,66,69,42.6,24.8,25.4,Greenish yellow,0,Yellow,0,-,"2L, 3R",,Upper edge both,Red,WRed ,1773,1774,SG175,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,TRUE,FALSE,Scratch on air sac,,,
