,Tags,Tags,Leg Band num,Lek,Date Capture,fecal sample Coccidea,,Mites,Mites,Comments,hematocrit Cells,hematocrit Cells, hematocrit Plasma, hematocrit Plasma, hematocrit Total , hematocrit Total ,Box num,Slide num, blood Malaria, blood Malaria,blood Haemaproteus,blood Haemaproteus,blood Leucocytozoan,blood Leucocytozoan,blood Other,,,,,,
pdf page,Left,Right,,,,Yes cysts g,No,Yes,No,,1,2,1,2,1,2,,,Yes,No,Yes,No,Yes,No,,,feathers Lice,feathers Mites,lice Yes ,lice No,Identification (if yes)
2,WB1632,R1735,SG168,NORTH,03-05-1990,FALSE,TRUE,FALSE,TRUE,,13.5,18,6.5,7,20,25,2,61+62,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Lagopoecus gibsoni female
4,W1427,WR1723,SG169,NORTH,03-05-1990,FALSE,TRUE,FALSE,TRUE,,12,19,6,9,18,28,2,59+60,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Lagopoecus gibsoni male
6,R1754,Y1271,SG102,NORTH,05-04-1990,FALSE,TRUE,FALSE,TRUE,,18.5,16,7.5,7.5,26,23.5,1,1+2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
8,B1666,Y1267,SG103,NORTH,05-04-1990,FALSE,TRUE,FALSE,TRUE,,16,13,5,5,21,18,1,3+4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
10,O1384,Y1251,SG104,NORTH,05-04-1990,FALSE,TRUE,FALSE,TRUE,Tapeworms,17,21.5,6,6.5,23,28,1,5+6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
12,G1558,Y1248,,NORTH,05-04-1990,FALSE,TRUE,FALSE,TRUE,,27.5,15,7.5,7.5,35,22.5,1,7+8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
14,B1670,O1364,SG106,NORTH,06-04-1990,FALSE,TRUE,FALSE,TRUE,,15.5,19,13.5,16,29,35,1,9+10,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
16,G1593,R1710,SG101,NORTH,06-04-1990,FALSE,TRUE,FALSE,TRUE,,22.5,13,7.5,11,30,24,1,11+12,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
18,Y1272,W1413,SG110,NORTH,07-04-1990,FALSE,TRUE,FALSE,TRUE,,8,9,7,6,15,15,1,13+14,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
20,WR1757,R1760,SG111,NORTH,07-04-1990,FALSE,TRUE,FALSE,TRUE,,12.5,16,10,12,22.5,28,1,16+16,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
22,WY1239,Y1263,SG113,NORTH,08-04-1990,FALSE,TRUE,FALSE,TRUE,,17,24,10,11.5,27,35.5,1,17+18,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Lagopoecus gibsoni immature
24,WB1630,W1418,SG134,NORTH,14-04-1990,FALSE,TRUE,TRUE,FALSE,one mite ,15,16,6,6,21,22,1,65+66,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Lagopoecus gibsoni female
26,WO1372,O1373,SG133,NORTH,14-04-1990,FALSE,TRUE,FALSE,TRUE,Tapeworms,7,10,5.5,7,12.5,17,1,79+80,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
28,WG1503,W1408,SG136,NORTH,14-04-1990,FALSE,TRUE,FALSE,TRUE,,8,16,4.5,5.5,12.5,21.5,1,81+82,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
30,WR1726,W1420,SG137,NORTH,14-04-1990,FALSE,TRUE,FALSE,TRUE,,15,17.5,8,9.5,23,27,1,83+84,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
32,WY1283,G1502,SG138,NORTH,15-04-1990,FALSE,TRUE,FALSE,TRUE,,6,10,4.5,5.5,10.5,15.5,1,85+86,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
34,WO1389,W1444,SG158,NORTH,22-04-1990,FALSE,TRUE,FALSE,TRUE,,15.5,11,4.5,4,20,15,2,43+44,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
37,WO1310,G1506,SG167,NORTH,03-05-1990,FALSE,TRUE,FALSE,TRUE,,7,10,6,6,13,16,2,57+58,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
39,WO1371,W1421,SG139,NORTH,15-04-1990,FALSE,TRUE,FALSE,TRUE,,10,22.5,7,7.5,17,30,1,97+98,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
41,WG1588,G1592,SG112,NORTH,07-04-1990,FALSE,TRUE,FALSE,TRUE,crossed out no sample in data sheet,5.5,5,8,10,13.5,15,1,19+20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,? 
43,R1753,O1376,SG107,NORTH,06-04-1990,FALSE,TRUE,FALSE,TRUE,,17,20,12.5,10.5,29.5,30.5,1,21+22,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
45,W1476,O1380,SG108,NORTH,06-04-1990,FALSE,TRUE,FALSE,TRUE,,20,22,11,19,31,31,1,23+24,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
47,R1755,W1411,SG3,NORTH,06-04-1990,FALSE,TRUE,FALSE,TRUE,Tapeworms,10.5,12,9.5,10,20,22,1,25+26,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
49,B1674,O1366,SG2,NORTH,06-04-1990,FALSE,TRUE,FALSE,TRUE,,13,14,13,15,26,29,1,27+28,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
51,G1501,Y1287,SG8,NORTH,15-04-1990,FALSE,TRUE,FALSE,TRUE,,9,15,6,7,15,22,1,9+90,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
53,R1708,R1712,SG5,NORTH,07-04-1990,FALSE,TRUE,FALSE,TRUE,,9,9.5,6,5.5,15,16,1,29+30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
55,O1370,W1431,SG6,NORTH,07-04-1990,-,-,-,-,No sample (?),11,11.5,8,8.5,19,21,1,31+32,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
57,Y1275,R1759,SG4,NORTH,07-04-1990,FALSE,TRUE,FALSE,TRUE,LOTS of tapeworm eggs,18,21,9,10,27,31,1,33+34,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
