,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS,,
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,,,
58,23-03-1990,5:43,6:01,NORTH,White,None,2 (picked upto around 20mph end of observation),100,No,,~ 20,,"Snow cover - snow, high winds overnight ",,,5:46,25,0,Lots of strutting,6:11,6:16,W,Y,12,3,,fighting with UM male,,,,,"Left 6:51, MCJ 0709 - no birds. ",,
,,,,,,,,,,,,,,,,5:56,25,2,,6:22,6:27,B,B02--,27,3,,missing about 1/4 tail feathers,,,,,,,
,,,,,,,,,,,,,,,,6:37,26,2,was strutting (?) lek preening ,6:31,6:36,R,R (?),11,3,,,,,,,,,
,,,,,,,,,,,,,,,,6:43,25,0,some males wandering off,,,,,,,,,,,,,,,
59,25-03-1990,5:39,6:00 (06:10 on lek),NORTH,White,None,0 to 5,0,,,~ 25,,Light snow cover,,,5:42,33,1,1 juvenile ,5:51,5:56,G,G,5,3,,Hen walked by at about 10m,,,,,6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers). ,,
,,,,,,,,,,,,,,,,6:14,32,0,,6:07,6:12,O,W,6,,,,,,,,,,
,,,,,,,,,,,,,,,,6:57,30,0,1 juvenile,6:02,6:07,W,Y,?,3,,Fight w/ O/W +standoff ,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:24,6:29,B,B,13,3,,Fight w/ UM - standoff ,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:45,6:50,R,B,21,3,,Fight w/ UM - standoff ,,,,,,,
60,28-03-1990,6:00,6:00,NORTH,White,None,10 to 15 (gust to 25),100,No,,~ 15,"Rain changing to snow after, (?) by strong winds.  ",Snow cover,,,6:05,27,1,little activity,6:16,6:21,B,B0273,16,2,,,,,,,Except for B/B not a lot of strutting only a few moments of activity. Left 7:20,,
,,,,,,,,,,,,,,,,6:46,25,0,,,-,G,B--20 (has a 9 or 6 at end or beginning),,,,Did not strut,,,,,,,
,,,,,,,,,,,,,,,,7:06,25,0,little activity - a lot of males observed at centre of lek ,6:40,6:45,R,-,0,3,,With UM male - standoff ,,,,,,,
,,,,,,,,,,,,,,,,7:17,27,0,Some birds flying off,6:56,7:01,W,Y1513 - old tag,6,3,,With UM male - standoff ,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:05,7:10,G,B,0,3,,Startled before began (?),,,,,,,
61,30-03-1990,5:45,5:49,NORTH,White/Frieson,None,0 to 5,100,-,-,~ 25,-,Snow particles,,,5:46,26,1,"G/B, W/Y",5:58,6:03,W,Y,20,3,,w/ UM - standoff,,,,,,,
,,,,,,,,,,,,,,,,6:33,26,2,,6:06,6:11,G,B,6,3,,,,,,,,,
,,,,,,,,,,,,,,,,7:06,28,0,Lek very spread out,6:06,6:11,R(?),W,13,3,,w/ UM - standoff ,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:15,6:20,R,B,29,2,,w/ OY to W of lek ,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:31,6:36,B,B,12,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:34,6:39,O,-,6,3,,w/ UM - standoff ,,,,,,,
62,04-04-1990,6:31,6:54,NORTH,White,None,0,1,-,-,35,-,Clear,"Prairie (?) falcon, ?","7:08, 7:40",6:37,34,59,"On both sides of road, male perform in lek; female G0331 O, male R-, male B-",6:43,6:53,G,B1620,28,1,,"Hens walking by, UM male to GB",,,,,"Left 7:54 - (?) center of lek, hen cluster on both sides of road. 7: 07 - all male go down, 7:06 - some male go up, 7:15 - all birds down - up to strut at 7:20, 7:36 - (?), all birds go down",,
,,,,,,,,,,,,,,,,7:12,13,9,Female on ? of road (except 1),6:54,6:59,W,Y11-,39,1,,,,,,,,,
,,,,,,,,,,,,,,,,7:46,25,12,"Female on (?) side of road (except 1), NW",7:30,7:35,R,B,15,3,,Chased off juvenile,,,,,,,
63,05-04-1990,7:03,6:45,NORTH,White,Spotlight,8,100,Yes,,,Snow and wind,Snow covered,,,7:06,25,30,Both side of road - some birds flying around,7:00,7:05,G,R,21,2,,,-,,,,"Left 8:00. 7:15 - coyotes howled, birds not disturbed",,
,,,,,,,,,,,,,,,,7:58,27,23,Cluster - north side,7:21,7:26,W,Y,31,1,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,7:30,7:35,B,B,0,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:36,7:41,R,B,0,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:36,7:41,B,Y,0,3,,,unmarked right before,,,,,,
,,,,,,,,,,,,,,,,,,,,7:44,7:46,G,Y,30,1,,,unmarked right before,,,,,,
64,06-04-1990,-,6:42,NORTH,White/Maunare,Spotlight,Calm,5,,,~ 20,,Light snow,,,6:18,32,46,,,,,,,,,,,,,,"Left at 6:27 - Get (?) truck by 8:30am,  birds all on 1 side (SW) of road. ",,
65,07-04-1990,-,6:52,NORTH,White/Spencer,Spotlight,Calm,0,-,-,~ 25,,Clear,,,6:25,30,25,,6:34,6:39,G1593,R,36,1,,,NE side - um,,,3,Both side of road - male 28struts/5min on NE side by 17 female. By 7:40 most hens had left.Stopped observations at 7:52. ,,
,,,,,,,,,,,,,,,,7:20,31,49,Female B0136 - in cluster,6:35,6:40,W,Y,39,1,hens passing by,,SW side - um,,,,,,
,,,,,,,,,,,,,,,,,,,,6:42,6:47,O,Y,27,1,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,6:42,6:47,B,O,40,1,,On edge of cluster,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,B,B,0,3,,BB -> um chase,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:52,6:57,R1751,Y,3,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:59,7:04,R1751,B,24,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:04,7:09,B,Y,5,1,,Female moved along,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:07,7:12,Y,W,0,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:10,7:15,R1751,R,0,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:22,7:27,G,B--20,17,2,,Chased off um (?),,,,,,,
66,08-04-1990,6:15,6:45,NORTH,White/Neimuth/Hutchinson,Cannon netting,0,50,-,-,~ 25,,Clear,,,6:18,36,?,,,,,,,,,,,,,,,,
67,10-04-1990,6:21,6:51,NORTH,White,None,10 to 15,100,- ,- ,~ 20,Full moon with clear sky overnight,Frost - heavy,None,,6:27,26+2,26,Birds all on SW side of road,6:35,6:40,G,B,30,1,,Beat up um male,Um,,,3,"MC -> GB, By ~7:00 4 males on NE side of road w/ hen cluster, GB - hen cluster on SW side, By 7:30 males on E stake on SW gone - all action on road, Left 7:50 - 3 hens left - all wandering off",,
,,,,,,,,,,,,,,,,7:02,28,32,,6:42,6:44,WR,R,21,3,,,G,B,,4,,,
,,,,,,,,,,,,,,,,7:44,15,3,,6:47,6:52,G,B,28,2,,"Female passing by, chased off WR/R",,,,,,,
,,,,,,,,,,,,,,,,,,,,7:07,7:12,B,B,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:10,7:15,B,B027-,0,2,,Um -> BB,,,,,,,
