,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation Tag Colours,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,
1,17-04-1990,6:20,NA,SOUTH FETTERMAN,Boyce,None,15 to 20,100,,,26,Wind chill with 10 °F,Dry,,,6:25,15,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:38,19,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,17,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:48,19,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:55,15,1,Different female - total 2 hens,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:04,13,0,,,,,,,,,,,,,,
2,24-04-1990,6:20,NA,SOUTH FETTERMAN,Boyce,,0,90,,,,,Dry,,,6:25,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:42,14,,Most birds inactive,,,,,,,,,,,,,
3,30-04-1990,7:10,6:25,SOUTH FETTERMAN,Boyce,None,2,15,,,17,,Approx. 1 in. on ground from last night,,,7:15,18,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:22,21,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:26,21,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:32,17,0,Several birds flew - no predator seen,,,,,,,,,,,,,
4,30-04-1990,5:45,6:25,BROKEN WING,Boyce,,Calm,20,,,17,,Approx. 1 in. fresh snow,,,5:50,51,6,,,,,,,,,,Unmarked,- ,,1,"Copulation happened at 6:30, collected 6:35. Page reads ""Begin 9901"", ""Lek 9999"", and ""LAR 10072"" in upper left corner"
,,,,,,,,,,,,,,,,6:22,48,4,4 males flew ENE,,,,,,,,,,,,,
5,29-04-1990,5:35,,N.MARSHALL,Boyce,None,15,100,,,,,Light snow cover (< 1in.),,,5:40 (MST),29,0,,,,,,,,,,,,,,"W Marshall had one male at 6:45 (SW 17 27N 76W). Page reads ""NW2 26N 76W <- ? Description"""
,,,,,,,,,,,,,,,,7:14,22,0,,,,,,,,,,,,,,
6,09-04-1990,5:45,,N.MARSHALL,Boyce,,10 to 15,110,Yes,Yes,31,,Light snow,,,6:10,14,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,3,,Most spooked,,,,,,,,,,,,,
7,15-04-1990,6:10,6:57,N.MARSHALL,Boyce,,1 to  2 ,0 but foggy,,,,Heavy fog,Dry,,,6:30,22,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,36,5,More visible when fog lifts and light up,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:43,37,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:47,36,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:53,37,9,Most females moving through lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:05,38,7,,,,,,,,,,,,,,
8,16-04-1990,5:55,NA,NORTH MARSHALL,Boyce,None,15 to 20,,,,40,,Dry,,,6:00,44,25,,,,,,,,,,Collected,,,9,Copulations: collected 2 males at 6:20
9,20-04-1990,6:51,6:16,WINDMILL DAM,White,None,calm,0,-,-,30,-,clear,,,6:51,14,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:2?,15,0,,,,,,,,,,,,,,
