,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,,,,
binder pdf scan page ,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num  Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),num Air Sacs,num Combs, comb comments,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood ,Ectoparasites,Fecal,Cecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),Comments
1,11-04-1990,12:47,1:03,SYBILLE,White/DeBry,ADULT ,MALE,Spotlight,2.8,0.3,,747,316,19,329,178,69,68,39.5,22.8,25.9,Bistre yell,0,Bistre yell,"2L, 6R",-,"3R, 6L","0L, 2R",,WRed,Red,1766,1767,SG114,TRUE,TRUE,TRUE,1,FALSE,TRUE,TRUE,TRUE,FALSE,None,None,Mod Resp,Found dead 23 May 1990 - been dead around 2 days. Likely an avian predator
3,11-04-1990,3:06,3:21,SYBILLE,White/DeBry,ADULT ,MALE,Spotlight,3.4,0.4,3,711,305,18,318,170,69,71,39.9,22.3,27.65,Olive yell,- ,Chrome yell,"1L, 0R",-,"11L, 15R",,Few R upper edge,WBlue,Blue,1665,1667,SG115,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,Bruise on left comb,None,"High Resp - caught in bag and couldn't breathe - once out, was OK",Killed by golden eagle - found 10 June 1990
5,11-04-1990,4:27,4:38,SYBILLE,White/DeBry,ADULT ,MALE,Spotlight,3.35,0.3,,776,338,17,301,162,70,69,41.8,22.1,24.55,Olive yell,0,Chrome yell,0,-,0,"2L, 2R",,WYell,Yell,1270,1273,SG118,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,TRUE,FALSE,None,None,None,Bad attitude
7,11-04-1990,4:43,4:52,SYBILLE,White/DeBry,ADULT ,MALE,Spotlight,3.05,0.35,,731,309,20,312,165,69,67,38.6,22.3,25,Olive yell,0,Bistre yell,0,-,"1L, 0R","0L, 2R ",R - edge,WRed,White,1762,1415,SG119,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,FALSE,None,None,None,
9,11-04-1990,5:15,5:25,SYBILLE,White/DeBry,ADULT ,MALE,Spotlight,3.4,0.4,3,723,305,16,315,178,68,71,41.4,22,25,Olive yell,0,Bistre yell,0,-,"1L, 0R",0,,WGreen,Red,1573,1761,SG116,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,None,None,None,
11,12-04-1990,12:49,1:08,SYBILLE,White/Colin,ADULT ,MALE,Spotlight,3.3,0.4,2.9,734,315,16,345,157,65,64,40.2,20.1,25.5,Olive yell,0,Bistre yell,"0L, 3R",-,"0L, 3R",0,,WOrange,Blue,1369,1627,SG122,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,TRUE,FALSE,"Blood on feathers at air sac, no apparent injury",None,None,
13,12-04-1990,1:16,1:30,SYBILLE,White/Colin,ADULT ,MALE,Spotlight,3.4,0.4,3,751,345,19,330,155,72,73,41.8,24.3,26,Olive yell,0,Bistre yell,0,-,"0L, 1R","0L, 2R ",R - edge,Green,Green,1591,1590,SG123,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,TRUE,None,None,None,Recaptured from 89
15,12-04-1990,1:33,1:48,SYBILLE,White/Colin,ADULT ,MALE,Spotlight,3.1,0.4,2.7,723,321,19,340,140,65,67,37.4,21.5,26.1,Olive yell,0,Yellow,0,-,"2L, 3R",0,,WYell,Green,1279,1565,SG124,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,None,None,None,
17,12-04-1990,3:38,3:50,SYBILLE,White/Colin,ADULT ,MALE,Spotlight,3.3,0.4,2.9,660,280,16,320,154,69,67,36.9,20.7,25,Olive yell,0,Bistre yell,0,-,0,0,,WGreen,Yellow,1561,1281,SG126,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,Mod - resp,
19,12-04-1990,3:55,4:08,SYBILLE,White/Colin,ADULT ,MALE,Spotlight,3.4,0.3,3.1,713,292,16,328,153,65,38,41.5,21.95,26.2,Yell- Olive,0,Bistre yell,0,-,0,0,,White Blue,White,1626,1407,SG127,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,FALSE,None,None,Mod Resp,
21,12-04-1990,4:11,4:24,SYBILLE,White/Colin,ADULT ,MALE,Spotlight,3.2,0.3,2.9,724,315,18,329,161,72,73,39.1,21.6,24.8,Yell- Olive,0,Bistre yell,0,-,"1L, 0R",0,,WOrange,White,1319,1414,SG128,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,None,None,Mod Resp,
23,12-04-1990,4:44,4:56,SYBILLE,White/Colin,ADULT ,MALE,Spotlight,3.3,0.4,2.9,750,321,19,322,147,65,69,38.5,22.1,26.1,Olive yell,0,Bistre yell,0,-,0,0,,White Blue,Red,1668,1727,SG125,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE,FALSE,None,None,None,
25,13-04-1990,1:22,1:34,SYBILLE,White/Numkins,ADULT ,MALE,Spotlight,3.2,0.4,,712,302,18,335,181,65,66,36.4,21.5,25.8,Olive yell,0,Bistre yell,0,-,"2L, 4R",0,,Red,Yell,1704,1256,SG131,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,TRUE,FALSE,Bruise R airsac,None,None,Found dead 6 May 1990 - killed by predator -> killed on lek
27,24-04-1990,1:55,2:14,SYBILLE,White/ Gillings,ADULT ,MALE,Spotlight,3.2,0.4,2.8,705,336,19,324,163,65,63,37.8,21.7,24.6,YellOlive,0,Bistre yell,0,-,"4L, 7R","1L, 0R",,WGreen,White,1514,1480,SG159,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,FALSE,Hematoma left air sac from fighting,None,Mod Resp,Tick engorged on left air sac
29,24-04-1990,2:43,2:56,SYBILLE,White/ Gillings,ADULT ,MALE,Spotlight,3.15,0.35,,650,281,4,320,164,65,64,40.4,21.7,26.2,Olive yell,0,Bistre yell,0,-,"0L, 1R",,Upper edge both,WBlue,Green,1640,1571,SG156,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,Rear end no feathers and abraded,None,None,bruised R air sac
31,24-04-1990,4:50,5:03,SYBILLE,White/ Gillings,ADULT ,MALE,Spotlight,3.1,0.35,,745,307,17,315,145,65,68,38.3,20.1,23.5,YellOlive,0,Bistre yell,0,-,"15L, 15R","2L, 2R",,WYell,Orange,1201,1391,SG163,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,TRUE,FALSE,None,None,High Resp ,"Tags found in Booker wing barrel, 3 Sept 1990. Too many hematomas to apply artificial"
33,24-04-1990,5:10,5:21,SYBILLE,White/ Gillings,ADULT ,MALE,Spotlight,3.2,0.4,,712,305,20,312,157,66,68,41,41,25.9,Olive yell,0,Bistre yell,0,-,"0L, 0R","0L, 2R",,WRed,Green,1763,1575,SG161,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,TRUE,FALSE,None,None,Mod Resp,
35,06-05-1990,1:31,1:49,SS,White/Cushman,ADULT ,MALE,Spotlight,3.2,0.4,2.8,755,351,19,331,161,68,65,39.8,22.5,24.1,Yell-Olive,0,Bistre yell,"0L, 2R",-,"4L, 1R","2L, 0R",,WGreen,Orange,1509,1381,SG178,TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,FALSE,2 (?) left air sac,None,Slight rest,
37,06-05-1990,1:55,2:11,SS,White/Cushman,ADULT ,MALE,Spotlight,3.2,0.4,2.8,749,328,20,333,148,68,69,38.9,22.1,24.5,Olive yell,0,Bistre yell,"0L, 1R",-,"0L, 4R","2L, 1R",,WOrange,Yellow,1305,1285,SG177,TRUE,TRUE,TRUE,3,TRUE,TRUE,FALSE,TRUE,FALSE,Tick engorgement on R air sac,None,None,
39,06-05-1990,4:14,4:26,SS,White/Cushman,ADULT ,MALE,Spotlight,3.3,0.4,2.9,755,325,17,337,150,68,65,40.1,21.7,25,Olive yell,0,Bistre yell,0,-,"2L, 6R","0L, 2R",,White,WRed,1422,1742,SG179,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,"Engorgement on R air sac, buised from fight",None,None,
41,13-04-1990,1:40,1:52,SYBILLE,White/ Numkins,JUVENILE,MALE,Spotlight,3.6,0.5,3.1,692,300,20,339,174,68,67,42.7,21.4,25.7,Olive yell,-,Yellow,,-,"2L, 6R",-,,WRed,Yellow,1732,1284,SG132,TRUE,TRUE,TRUE,N/A,,TRUE,FALSE,TRUE,FALSE,Scratches on L air sac,None,None,Probably an adult
43,13-04-1990,1:56,2:10,SYBILLE,White/Numkins,JUVENILE,MALE,Spotlight,3.2,0.4,,650,249,19,318,168,70,66,36.5,21.5,23.6,YellOlive,0,Yellow,0,-,"0L, 2R",0L,upper edge R,WYell,White,1282,1419,SG130,TRUE,TRUE,TRUE,N/A,,TRUE,FALSE,TRUE,FALSE,None,None,None,
45,12-04-1990,4:28,4:39,SYBILLE,White/Colin,JUVENILE,MALE,Spotlight,3.1,0.4,2.7,696,289,18,315,152,67,68,39.2,20.5,22.1,Olive yell,0,Bistre yell,0,-,"0L, 1R",,Both whole upper edge,WYell,Red,1276,1728,SG129,TRUE,TRUE,TRUE,N/A,,TRUE,FALSE,TRUE,FALSE,None,None,None,
47,24-04-1990,4:32,4:45,SYBILLE,White/Gillings,JUVENILE,MALE,Spotlight,2.85,0.4,,619,262,15,312,170,68,68,38.1,23.1,24.95,Olive yell,0,Chrome yell,0,-,"3L, 7R","0L, ?R",upper edge right,WRed,Green,1744,1513,SG162,TRUE,TRUE,TRUE,N/A,FALSE,TRUE,FALSE,TRUE,FALSE,Scratch left air sac,None,None,
49,24-04-1990,2:20,2:35,SYBILLE,White/ Gillings,JUVENILE,MALE,Spotlight,2.6,0.35,2.25,672,221,3,321,168,64,62,37.9,23.1,24.5,YellOlive,0,Bistre yell,"0L, 1R",-,"?L, ?R",0,,WOrange,Green,1392,1515,SG160,TRUE,TRUE,TRUE,N/A,,TRUE,TRUE,TRUE,FALSE,All beat up most feathers broken,None,None,Most primaries broken
51,12-04-1990,1:52,2:07,SYBILLE,White/Colin,JUVENILE,MALE,Spotlight,3.2,0.4,2.8,687,290,14,338,152,65,69,37.6,23.2,27.3,Olive yell,0,Bistre yell,"2L, 2R",-,"3L, 2R","0L, ?R",upper edge R,WRed,Blue,1729,1669,SG121,TRUE,TRUE,TRUE,N/A,,TRUE,TRUE,TRUE,FALSE,None,None,None,
53,11-04-1990,4:58,5:09,SYBILLE,White/DeBry,JUVENILE,MALE,Spotlight,3.6,0.35,,651,255,17,324,159,68,68,38.65,20.7,24.8,Olive yell,0,Chrome yell,0,+,"5L, 6R",,both upper edge,WBlue,Yellow,1664,1266,SG120,TRUE,TRUE,TRUE,N/A,,TRUE,FALSE,TRUE,FALSE,None,Hematomas blood,None,
55,11-04-1990,4:12,4:21,SYBILLE,White/DeBry,JUVENILE,MALE,Spotlight,3.2,0.35,,756,304,17,325,164,69,66,43,23.7,25.75,Olive yell,0,Bistre yell,0,-,"0L, 3R",0,,WOrange,Orange,1367,1368,SG117,TRUE,TRUE,TRUE,N/A,FALSE,TRUE,FALSE,TRUE,FALSE,None,None,Mod resp,
57,11-04-1990,1:08,1:23,SYBILLE,White/DeBry,JUVENILE,MALE,Spotlight,2.9,0.3,2.6,670,265,18,320,164,68,68,36.7,21.4,25.6,YellOlive,0,Bistre yell,"1L, 2R",-,"4L, 6R",,Lots both upper edge,WGreen,Green,1566,1567,SG109,TRUE,TRUE,TRUE,N/A,,TRUE,TRUE,TRUE,FALSE,None,None,Mod Resp slurs(?),
59,24-05-1990,-,-,SS,White/Hutchinson,ADULT ,FEMALE,captured on nest,1.6,,,485,218,-,271,-,55,55,32.9,32.9,17.8,-,-,-,-,N/A,-,-,,NA,NA,-,-,SG14,FALSE,FALSE,FALSE,-,-,TRUE,FALSE,FALSE,FALSE,-,-,-,"Extensive brood patch - on nest of 8 eggs - eggs collected; nest = SS3, hen released"
61,11-04-1990,1:31,1:40,SYBILLE,White/DeBry,ADULT ,FEMALE,Spotlight,1.9,0.35,1.55,439,no tail,N/A,261,128,58,57,32,18.6,-,-,-,-,-,-,-,-,,Yellow,Yellow,1243,1247,SG7,TRUE,TRUE,TRUE,N/A,,TRUE,FALSE,TRUE,FALSE,None,Lost all tail feathers,None,
