,Tags,Tags,Leg Band num,Lek,Date Capture,fecal sample Coccidea,,Mites,Mites,Comments,hematocrit Cells,hematocrit Cells, hematocrit Plasma, hematocrit Plasma, hematocrit Total , hematocrit Total ,Box num,Slide num, blood Malaria, blood Malaria,blood Haemaproteus,blood Haemaproteus,blood Leucocytozoan,blood Leucocytozoan,blood Other,,,,,,
pdf page,Left,Right,,,,Yes cysts g,No,Yes,No,,1,2,1,2,1,2,,,Yes,No,Yes,No,Yes,No,,,feathers Lice,feathers Mites,lice Yes ,lice No,Identification (if yes)
2,WR1766,R1767,SG114,SYBILLE,11-04-1990,FALSE,TRUE,FALSE,TRUE,,18,16,13,11,31,27,1,35+36,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Lagopoecus gibsoni female
4,WB1665,B1667,SG115,SYBILLE,11-04-1990,FALSE,TRUE,FALSE,TRUE,,15,15,14,14,29,29,1,37+38,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,- 
6,WY1270,Y1273,SG118,SYBILLE,11-04-1990,FALSE,TRUE,FALSE,TRUE,Tapeworm eggs,27,24,9,7,36,31,1,39+40,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
8,WR1762,W1415,SG119,SYBILLE,11-04-1990,FALSE,TRUE,FALSE,TRUE,,26,23,9,7,35,30,1,41+42,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
10,WG1573,R1761,SG116,SYBILLE,11-04-1990,FALSE,TRUE,FALSE,TRUE,,15,12,17,15,32,27,1,43+44,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
12,WO1369,B1627,SG122,SYBILLE,12-04-1990,FALSE,TRUE,FALSE,TRUE,Loaded w/tapeworm eggs,12,19,8,14,20,23,1,45+46,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,- 
14,G1591,G1590,SG123,SYBILLE,12-04-1990,FALSE,TRUE,FALSE,TRUE,,4,7,7,9.5,11,16.5,1,47+48,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
16,WY1279,G1565,SG124,SYBILLE,12-04-1990,TRUE,FALSE,FALSE,TRUE,Tapeworms - no sample for quantification of coocialia,12,15,11,15,23,30,1,49+50,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
18,WG1561,Y1281,SG126,SYBILLE,12-04-1990,N/A,N/A,N/A,N/A,No sample,25,22,11.5,11,36.5,33,1,51+52,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
20,WB1626,W1407,SG127,SYBILLE,12-04-1990,TRUE,FALSE,FALSE,TRUE,Not enough fecal sample to quantify - 1 oocyst found in whole sample,14,19,9,5,23,24,1,53+54,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
22,WO1319,W1414,SG128,SYBILLE,12-04-1990,FALSE,TRUE,FALSE,TRUE,Tapeworms,11,8,8,6,19,14,1,55+56,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
24,WB1668,R1727,SG125,SYBILLE,12-04-1990,FALSE,TRUE,FALSE,TRUE,,2,12,5,4.5,7,16.5,1,57+58,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
26,R1704,Y1256,SG131,SYBILLE,13-04-1990,FALSE,TRUE,FALSE,TRUE,,11,13,6,7,17,20,1,59+60,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
28,WG1514,W1480,SG159,SYBILLE SPRINGS,24-04-1990,FALSE,TRUE,FALSE,TRUE,,4,8.5,2.5,8,6.5,16.5,2,53+54,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
30,WB1640,G1571,SG156,SYBILLE SPRINGS,24-04-1990,FALSE,TRUE,FALSE,TRUE,Tapeworm eggs present,9,11.5,5,4.5,14,16,2,51+52,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
32,WY1201,O1391,SG163,SYBILLE SPRINGS,24-04-1990,FALSE,TRUE,FALSE,TRUE,,8.5,10,6.5,4,15,14,2,49+50,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
34,WR1763,G1575,SG161,SYBILLE,24-04-1990,FALSE,TRUE,FALSE,TRUE,,11,18,7,11,18,29,2,41+42,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,
