,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
1,1988-04-25,5:55,,BROKEN WING,Johnson,,10 to 15,30,,,,,Clear,,,5:55,38,3,,,,,,,,,,Unmarked,,,1,hen solicited 4 times before being bred. Most birds were feeding; had to see if any were marked. 6 males around females were UM. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1988-04-21,6:10,6:26,BROKEN WING,Johnson/Kroger/Rob,,10 to 15,40,,,,1st time in this year,Clear,,,6:10,37,2,,,,,,,,,,,,,,"Marked males: W/G, G/R, P/R. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1988-04-20,5:15,6:32,RED POST,Birton/Burges,,0 to 5,20,N,N,Warm,No frost,cannon net set in wrong place,,,5:38,13,10,More mating center east of set net,6:04,6:09,Green,Green,35,,close,,,,,,"1.) No copulations as of 6:00, 2.) GG in the mating center but not master cock, 3.)One bird with bloody right breast"
,,,,,,,,,,,,,,,,5:45,17,27,mating center established,6:12,6:17,Yellow,Blue,27,,more nearby,,,,,,
,,,,,,,,,,,,,,,,5:53,17,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:00,17,12,females wander,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:05,16,6,"Tags:
GB
TB",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:13,19,8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:17,20,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:35,18,0,,,,,,,,,,,,,,
7,1988-04-25,4:56,6:12,RED POST,Birton,,0 to 5,85,N,N,,,Clear,,,5:13,10,,"Tags:
GB
BG",5:45,5:50,Green,Blue,35,1,,,,,,,"2 Copulations - no tags on males or females 
different males 2nd copulation away from breeding center"
,,,,,,,,,,,,,,,,5:23,14,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:28,14,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:35,18,7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:45,17,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:00,18,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,19,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:25,18,1,,,,,,,,,,,,,,
8,1988-04-27,5:28,,RED POST,White,,15 to 20,90,,,,,,,,5:38,3,0,Very scattered,,,,,,,,,,,,,"at 6:36 all birds dropped down - after a few min all slowly moving SW. 5:44- 2 males flew W. G/B - off to N side of lek and strutted only infrequently, most of the rest sat. G/G - a juv - kept getting chased - neer saw him strut. "
,,,,,,,,,,,,,,,,5:53,15,4,2 juv females G/B present,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:05,12,2,2 males + hens walking off,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:27,13,0,Very scattered some feeding,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
