binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Fecal,samples collected Ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
1,1988-04-06,11:44,,CORDINGLY,,ADULT,MALE,,,,2.95,760,328,17,309,142,75,67,39.34,21.34,26.6,Yellow/olive ,0,Bistre yellow,20,-,+,-,,Green,White,334,475,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,Right air sac - gash in center. Many hematomas,,,,
2,1988-04-11,3:20,,CORDINGLY,,ADULT,MALE,,,,3.4,709,292,16,317,134,72,76,41.45,20.5,26.1,Olive/Yellow,0,Bistre yellow,1,-,+,-,,Orange,Purple,66,556,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
3,1988-04-13,1:46,,CORDINGLY,,ADULT,MALE,,,,3.81,781,308,18,326,168,65,70,37.85,23.35,23.4,Yellow/olive ,0,Bistre yellow,1,-,+,-,,White,Red,430,178,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
4,1988-04-13,9:45,,CORDINGLY,,ADULT,MALE,,,,3.45,,,,,,,,,,,,,,,,,,,Orange,Purple,,556,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,RECAPTURE,
5,1988-04-14,12:25,,CORDINGLY,,ADULT,MALE,,,,3.05,750,304,18,324,141,70,65,39.55,22.6,20.35,Olive/yellow,0,Bistre yellow,5,-,-,+,,Blue,Blue,265,264,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,RECAPTURE,
6,1988-04-14,1:00,,CORDINGLY,,ADULT,MALE,,,,2.9,,,,,,,,,,,,,,,,,,,Orange,Purple,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,RECAPTURE,
7,1988-04-15,0:15,,CORDINGLY,,ADULT,MALE,,,,3.62874,,,,,,,,,,,,,,,,,,,Orange,Purple,66,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
8,1988-04-06,11:25,,CORDINGLY,,ADULT,FEMALE,Nightlighting,,,1.55,557,209,,261,104,59,56,28.88,18.9,16.4,,,,,-,,,,Green,Green,351,372,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,67.65
9,1988-04-11,7:20,,CORDINGLY,,ADULT,FEMALE,,,,1.7,534,205,,268,96,59,61,34.88,19.6,,,,,,-,,,,Orange,Orange,53,54,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
10,1988-04-11,7:35,,CORDINGLY,,JUVENILE,FEMALE,,,,1.7,536,200,,256,103,52,54,32.9,18.35,,,,,,-,,,,Purple,Purple,529,526,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,
11,1988-04-15,0:48,,CORDINGLY,,ADULT,FEMALE,,,,2.63084,550,105,,272,138,56,55,33,18.35,,,,,,-,,,,Orange,Purple,69,557,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
