,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
5,16-03-1989,5:52,6:14,CORDINGLY,White,,0 - 5,60,-,-,,-,Drifted snow behind sagebrush,,,6:18,3,0,1 marked - no color seen,,,,,,,,,,,,,Looked for lek until 6:12. Flew at 6:26 - probably in response to vehicle
6,06-03-1989,5:24,5:59,CORDINGLY,White/Wendalt,None,Calm,60,-,-,,-,Clear,,,5:24,6,1,,5:42,5:47,R,R,31,1,,,,,,,5:47 - coyote howling. Males chasing females to E of lek; (males) 1 adult and 1 juvenile (R/R). Ferrig 2 raptors in tree behind lek. Left 6:30
,,,,,,,,,,,,,,,,5:36,7,3,6+1 in two mating centers. 1 male off to N by self,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:59,6,2,4+2 in two mating centers. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:20,5,5,3+2 in two mating centers. Males running all over,,,,,,,,,,,,,
7,07-04-1989,5:42,6:36,CORDINGLY,White/Berton,None,30 (gusts to 60),85,-,-,,-,Clear,,,6:06,4,0,,6:23,6:28,O,P,0,4,,Insignificant standoff with UM male,,,,,"Comments showing relative position of birds on lek (drawn) with tags: B/B, UM, UM, O/O moving east to west. Female wandered in 6:45, (?) out at 06... Juvenile chased off. Females left at 7:05, we left 7:06. "
,,,,,,,,,,,,,,,,6:33,5,0,4 + 1 in two mating centers. 1 pam?,6:37,6:43,B,B,8,,,-,,,,,
,,,,,,,,,,,,,,,,6:48,4,2,Female + male O/O,6:39,6:43,O,P,24,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:55,7:00,B,B,31,2,,Females leaving lek,,,,,
,,,,,,,,,,,,,,,,,,,,6:55,7:00,O,P,33,2,,Females leaving lek,,,,,
