,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
93,1988-03-22,5:00,,LONG LAKE,Boyce/Burton,,5 to 10,50,N,N,,,Still some snow on lek - most melted yesterday,Eagle,,5:30,6,,Moving a lot -- into postion,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:47,6,,EAGLE at lake,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:03,7,,1 albino male,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:10,7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:20,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:30,10,,Eagle over lake,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:36,11,,1 albino,,,,,,,,,,,,,
94,1988-03-26,5:20,6:00,LONG LAKE,Boyce/Burton,,10 to 15,0,N,N,,,Almost all snow gone -dry,,,5:20,11,,,6:14,6:19,Green,White,14,0,no hens on lek ,,,,,,GW on lek 
,,,,,,,,,,,,,,,,5:30,17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:00,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:23,14,,11 flew NW,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:32,3,,2 males strutting 500 m NE of lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,3,,3 towards centre of lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,3,,unmarked strutting occassionally,,,,,,,,,,,,,
95,1988-03-29,5:30,5:55,LONG LAKE,Johnson,,5-10 (10-20 after sunrise),0,N,N,,,Clean,,,5:30,37,2,,6:16,6:21,Green,White,7,,,feeding,,,,,
,,,,,,,,,,,,,,,,6:20,25,0,,6:24,6:29,Green (303),Orange (5),4,,,,,,,,
,,,,,,,,,,,,,,,,6:32,0,0,everyone left,6:10,6:15,Green,Red,,,,stand off with another,,,,,
,,,,,,,,,,,,,,,,,,,,6:10,6:15,White,Red,3,,,most birds feeding ,,,,,
