pdf page ,Tags,Tags,Leg Band #,Lek,Date Capture,fecal sample Coccidea,,Mites,Mites,Comments,hematocrit Cells,hematocrit Cells, hematocrit Plasma, hematocrit Plasma, hematocrit Total , hematocrit Total ,Box num,Slide num, blood Malaria, blood Malaria,blood Haemaproteus,blood Haemaproteus,blood Leucocytozoan,blood Leucocytozoan,blood Other,,,,,,,
,Left,Right,,,,Yes cysts g,No,Yes,No,,1,2,1,2,1,2,,,Yes,No,Yes,No,Yes,No,,,feathers Lice,feathers Mites,lice Yes ,lice No,Identification (if yes),comments
2,WB1628,B1629,SG146,MUD SPRINGS,19-04-1990,FALSE,TRUE,FALSE,TRUE,,4,5,2,2,6,7,2,19+20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
4,WR1733,Y1277,SG141,MUD SPRINGS,19-04-1990,FALSE,TRUE,FALSE,TRUE,,8,10,14.5,9,22.5,19,2,21+22,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,-,
6,WY1274,G1554,SG135,MUD SPRINGS,19-04-1990,FALSE,TRUE,FALSE,TRUE,,6,7,7,8,13,15,2,23+24,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
8,WY1228,R1730,SG144,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,12,10,4,5,16,15,2,25+26,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
10,WO1304,B1615,SG147,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,3,5,9,12,12,17,1,91+92,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
12,WR1716,R1721,SG148,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,8,8,6,4,14,12,1,93+94,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,-,
14,WY1233,Y1237,SG169,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,13,16,9,10,22,24,1,95+96,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,-,
16,WB1610,W1433,SG150,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,,15,10.5,5,4,20,14.5,2,1+2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
18,WO1307,R1764,SG142,MUD SPRINGS,20-04-1990,FALSE,TRUE,FALSE,TRUE,Tapeworm eggs,3,8,3,4,6,12,2,3+4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
20,WR1743,O1308,SG152,MUD SPRINGS,21-04-1990,FALSE,TRUE,FALSE,TRUE,,8,14,4.5,5,12.5,19,2,27+28,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
22,WG1511,O1306,SG153,MUD SPRINGS,21-04-1990,FALSE,TRUE,FALSE,TRUE,,9,13,5,5,14,18,2,29+30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Female Lagopraecus gibsoni ,
24,O1375,WO1377,SG155,MUD SPRINGS,21-04-1990,FALSE,TRUE,FALSE,TRUE,,14,9,9,6,23,15,2,9+10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
26,G1512,WY1280,SG151,MUD SPRINGS,21-04-1990,FALSE,TRUE,FALSE,TRUE,,11,7,4,5,15,12,2,11+12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,TRUE,FALSE,-,
28,O1388,WY1293,SG157,MUD SPRINGS,21-04-1990,FALSE,TRUE,FALSE,TRUE,,19,10,4.5,6,23.5,16,2,31+32,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
30,W1424,WR1737,SG165,MUD SPRINGS,01-05-1990,N/A,N/A,N/A,N/A,NO SAMPLE,2.5,4,2.5,12,5,16,2,47+48,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
32,Y1202,WO1311,SG166,MUD SPRINGS,01-05-1990,N/A,N/A,N/A,N/A,NO SAMPLE,19.5,22,9,10,28.5,32,2,45+46,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Lagopraecus gibsoni - immature ,
34,R1740,WB1613,SG164,MUD SPRINGS,01-05-1990,FALSE,TRUE,FALSE,TRUE,,8,14,4.5,6,12.5,20,1,55+56,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,TRUE,FALSE,Female Lagopraecus gibsoni ,
36,R1758,WG1508,SG171,MUD SPRINGS,05-05-1990,FALSE,TRUE,FALSE,TRUE,,11.5,17,5.5,8,17,25,2,63+364,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,FALSE,Lagopraecus gibsoni - immature ,
38,G1504,WR1765,SG172,MUD SPRINGS,05-05-1990,FALSE,TRUE,FALSE,TRUE,Tapeworms,16,18,12,11,24,27,2,65+66,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,,
