,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,
77,19-04-1990,6:00,,MUD,Boyce,,0,70,,,,,Dry,,,6:05,149,38,,6:44,6:49,G,B,38,1,,0,,,,,"Comment in right margin reads ""Blue tag #1608"" and ""Green # 1597"""
,,,,,,,,,,,,,,,,,,,GB,6:53,6:58,G,B,32,1,,1 standoff,,,,,
,,,,,,,,,,,,,,,,6:30,151,47,Female mounted female,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,47,4,Eagle - most flushed,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:05,34,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:12,72,4,,,,,,,,,,,,,,
78,20-04-1990,5:59,6:15,MUD SPRINGS,Gregg Kurz,,10 to 15,15,-,-,40,,Clear,None,,6:10,94,-,,7:45,7:50,Orange,?,19,1,,1,-,-,,-,
,,,,,,,,,,,,,,,,6:25,110,26,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,129,32,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,129,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:10,124,29,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:30,118,28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:50,115,19,,,,,,,,,,,,,,
79,22-04-1990,6:00,,MUD SPRINGS,Boyce,,1 to 2,80 - 90,,,,,Dry,,,6:05,91,8,GB,6:30,6:35,G,R,21,1,,,G,B,6:40,1,"Interrupted by unmarked male - fight ensued  - standoff, Comment in right margin reads ""RG, G-> -584"""
,,,,,,,,,,,,,,,,6:28,98,4,GR,6:39,6:44,G,B,30,,,,UNMARKED,,6:47,1,"Male adjacent to GB but not the one that interrupted copopulation, Page reads ""548"" blank for sunrise value; the number is circled"
,,,,,,,,,,,,,,,,6:40,96,6,RB,,,,,,,,,UNMARKED,,6:59,1,"GR drone off unmarked ? male, One of male in middle cluster had blood on rt side of white breast feathers - apparently from fighting"
,,,,,,,,,,,,,,,,6:52,100,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:06,123,8,Changed position to better see S. birds,,,,,,,,,,,,,
80,23-04-1990,5:48,6:15,MUD SPRINGS,Gregg Kurz,,5 to 10,5,-,-,38,,Clear,,,6:00,106,27,,6:36,6:41,Orange White,Blue,3,3,,,,,,,"Page reads ""547"" blank for sunrise value"
,,,,,,,,,,,,,,,,6:20,125,32,,6:43,6:48,Yellow,?,14,2,,,,,,,
,,,,,,,,,,,,,,,,6:50,117,29,,6:50,6:55,Yellow,Red,32,1,,,,,,,
,,,,,,,,,,,,,,,,7:15,118,19,,7:10,7:15,Green White,Green White,30,1,,,,,,,
,,,,,,,,,,,,,,,,7:40,107,12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:00,101,4,,,,,,,,,,,,,,
81,24-04-1990,6:10,,MUD SPRINGS,White,None,1 to 5,90,-,blew (?) in,35,-,Clear,GEagle,7:19,6:16,164,2,,6:31,6:36,G,Y,0,3,,Standoff with UM male,,UM,,1,Sun on lek 6:26
,,,,,,,,,,,,,,,,,,,,6:56,7:01,WO,B1615,9,3,,,,,,,
,,,,,,,,,,,,,,GEagle,7:24,,,,,7:05,7:10,WR,WB,5,3,,Standoff with UM male,,,,,
,,,,,,,,,,,,,,,,,,,,7:14,7:19,WY--28,B,0,3,,,,,,,
82,25-04-1990,6:00,,MUD SPRINGS,Gregg Kurz,,10 to 15,100,,Yes,35,,Clear - all vegetation is soaked,,,6:02,22,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:26,14,0,no strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:45,7,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,5,0,,,,,,,,,,,,,,
83,27-04-1990,6:00,6:10,MUD SPRINGS,Gregg Kurz,,10 to 20,20,Last night,,29,,Clear,Golden Eagle,6:00,6:02,40,-,,,,,,,,,,,,,,No tagged males observed 
,,,,,,,,,,,,,,,,6:13,68,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:25,102,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:50,109,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:10,105,7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:30,103,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:41,103,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:00,94,0,,,,,,,,,,,,,,
84,28-04-1990,5:47,6:07,MUD SPRINGS,White,None,10 to 15,100,-,Yes,40,-,Clear,,,5:48,59+3,5,,5:53,5:58,WY,R,0,3,,Standoff with UM male,,UM,,2,"? by UM male, 7:15 ? picked up. Left 7:40 - no hens"""
,,,,,,,,,,,,,,,,6:16,58,1,,6:01,6:06,WG,O,16,2,,Chased off 2 juv and got chased by 2 UM males,,,,,
,,,,,,,,,,,,,,,,6:48,61,2,,6:14,6:19,WR,WG,2,3,,Almost 11 fight with UM male,,,,,
,,,,,,,,,,,,,,,,6:51,56,2,Maybe from north lek - walking through,6:24,6:29,WY--2-,R,17,,Female passed by wi 2m,,,,,,
,,,,,,,,,,,,,,,,7:25,61,1,,6:39,6:44,WB,G,0,3,,,,,,,
,,,,,,,,,,,,,,,,7:35,53,0,,7:09,7:14,G,R,5,3,,Chased off juv,,,,,
