binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,hematomas air sac comments,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Ectoparasites,samples collected Fecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
,11-04-1988,4:15,,MUD SPRINGS,,ADULT,MALE,,,,3.4,802,307,17,309,133,71,75,37.5,22.3,24.5,Olive yellow,0,Chrome yellow,2,-,+,,-,,Yellow,Yellow,1175,1176,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,Illegible comment under # of tail feathers. ,
,11-04-1988,4:15,,MUD SPRINGS,,ADULT,MALE,,,,3.3,745,285,18,309,130,71,72,39.5,21,25.3,Olive yellow,0,Bistre yellow,0,-,-,,-,,Yellow,Orange,1174,750,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
,11-04-1988,4:15,,MUD SPRINGS,,ADULT,MALE,,,,3.2,768,306,19,310,137,69,70,39.6,21.6,26.3,Olive yellow,0,Bistre yellow,0,-,-,,-,,Yellow,Green,1167,1031,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
,11-04-1988,4:45,,MUD SPRINGS,,ADULT,MALE,,,,3.4,820,309,18,321,134,70,70,38.3,21.3,27.2,Apple green,0,Bistre yellow,0,-,-,,-,,Yellow,Blue,1155,963,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
,13-04-1988,6:15,,MUD SPRINGS,,ADULT,MALE,Cannon net,,,3.25,773,299,18,320,136,71,71,39,21.6,25.9,Olive yellow,0,Bistre yellow,0,-,-,,-,,Orange,Yellow,746,1164,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,No feces in bag,
,13-04-1988,6:45,,MUD SPRINGS,,ADULT,MALE,,,,2.9,786,303,18,303,129,68,66,38.9,20.5,23.1,Olive yellow,0,Bistre yellow,0,-,-,,-,,White,Yellow,645,1165,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,Fighting scars on both airs,Bent a few feathers during handling,,no blood data,
,14-04-1988,7:18,,MUD SPRINGS,,ADULT,MALE,,,,3.3,700,332,19,300,160,67,64,38,20.8,25,Olive yellow,0,Bistre yellow,0,-,+,,+,,Blue,Yellow,258,489,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,Some wear on wing from tag,Trimmed feathers because we didn't see tags when observed,,"Recapture 87, DB, DC, EHN",
,17-04-1988,2:31,,MUD SPRINGS,,,MALE,,,,3.1,,,,,,,,,,,,,Bistre yellow,0,,,,,,Yellow,Orange,1174,750,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,,,,Recapture,
,17-04-1988,3:12,,MUD SPRINGS,,ADULT,MALE,,,,NA,695,310,18,32,145,70,67.5,40.1,19.1,27.75,Olive yellow,0,Bistre yellow,0,-,+,,-,,Blue,White,955,640,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
,19-04-1988,3:53,,MUD SPRINGS,,ADULT,MALE,,,,3,745,305,18,307.5,145,65,72.5,38.3,18,25.5,Olive yellow,0,Bistre yellow,0,-,-,,+ ,1 small one on edge,Green,Yellow,1047,1177,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,No blood data,
,19-04-1988,4:09,,MUD SPRINGS,,,MALE,,,,3.3,740,335,20,315,145,70,70,40,21,27.75,Olive yellow,0,Bistre yellow,0,+,+,,-,,White,Orange,612,730,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,"Found patagial tag 6-9, 1/2 mile away NW of lek (by Neil Neimuth). Raptor kill?",
,19-04-1988,4:28,,MUD SPRINGS,,,MALE,,,,3.1,740,310,20,305,135,65,65,38.8,20,26,Yellow olive,0,Bistre yellow,0,+,+, a few,-,,Red,Yellow,860,1182,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
,20-04-1988,7:06,,MUD SPRINGS,,ADULT,MALE,,,,3.1,656,259,20,305,146,71,72,39.9,22.45,23.4,Olive yellow,0,Bistre yellow,0,-,-,,-,,Blue,Blue,987,981,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,20-04-1988,3:05,,MUD SPRINGS,,ADULT,MALE,,,,2.95,,,,,,,,,,,,,,,,,,,,Yellow,Red,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Recap,
,20-04-1988,6:50,,MUD SPRINGS,,ADULT,MALE,,,,3.45,756,319,18,299,146,68,66,41.14,24.5,23.24,Yellow olive,0,Bistre yellow,0,-,-,,-,,White,White,624,629,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,Old sore on right sac,,,,
,20-04-1988,6:13,,MUD SPRINGS,,ADULT,MALE,,,,3.2,750,285,14,309,135,69,69,39.48,22.8,24.7,Yellow olive,0,Greenish yellow,0,-,+, left sac,-,,White,Red,632,876,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,20-04-1988,5:57,,MUD SPRINGS,,ADULT,MALE,,,,2.9,702,312,18,319,139,69,66,40.15,23.55,20,Yellow olive,0,Bistre yellow,0,-,-,,-,,White,Green,631,1085,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,20-04-1988,5:40,,MUD SPRINGS,,ADULT,MALE,,,,3.1,730,290,19,288,137,70,68,38.75,22.64,23.65,Yellow olive,0,Bistre yellow,0,- ,- ,,-,,White,Blue,627,986,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,20-04-1988,5:25,,MUD SPRINGS,,ADULT,MALE,,,,3.2,759,330,22,307,142,68,70,39.2,21.75,25.48,Yellow olive,0,Bistre yellow,0,-,+ ,large one on edge of left sac,-,,Green,Red,1076,892,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,Tag found S of lek 06 June 90 - signs bird killed,
,20-04-1988,4:55,,MUD SPRINGS,,ADULT,MALE,,,,3.15,735,299,14,302,144,69,71,41.9,23.42,21.85,Olive yellow,0,Bistre yellow,0,-,+, 1 left sac,-,,Green,White,1067,626,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,20-04-1988,4:41,,MUD SPRINGS,,ADULT,MALE,,,,3.2,,,,,,,,,,,,,,,,,,,,Blue,White,258,489,,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,,,,,
