,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,hematocrit Cells,hematocrit Cells,hematocrit Plasma,hematocrit Plasma,hematocrit Total,hematocrit Total,,,,,,,
binder pdf scan page,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),num Air Sacs,air sacs comments,num Combs,comb comments,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood,Ectoparasites,Fecal,Cecal,1,2,1,2,1,2,blood malaria,blood haema,slide numer,Existing Injuries,Handling Injury,Stresses While Handling (describe),Comments
1,28-03-1989,1:20,1:50,MUD SPRINGS,White/Baumchen/Burton,ADULT,MALE,Spotlight,3.45,0.4,3.05,737,344,18,321,151,68,67,40.5,24.3,25,Olive yellow,No,Bistre yellow,2,-,Left lots 15 - 20; right 15 - 20,,"1L, 3R",,Red,Blue,845,947,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,21,18,12,10,33,28,no,no,1+2,-,-,Minimal,Attempted to collect sperm sample. Box 2. No hematozoans
2,28-03-1989,3:31,3:47,MUD SPRINGS,White/Burton,ADULT,MALE,Spotlight,3.25,0.35,2.9,728,329,16,326,142,71,68,42.9,22.1,25.25,Olive yellow,0,Bistre yellow,0,-,0,,0L,"Lots - R, 0L",Red,Green,899,1065,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12,10,19,13,31,23,no,no,3+4,bruise - upper right air sac,,Minimal,Attempted to collect sperm sample. Box 2No hematozoans. 
3,28-03-1989,3:51,4:07,MUD SPRINGS,White/Burton,ADULT,MALE,Spotlight,3.3,0.35,2.95,707,330,14,322,154,72,71,41.2,22.1,23.65,Greenish yellow,"0L, 0R",Yellow,"0R, 0L",-,"0R, 0L",,"0L, 0R",,Blue,Blue,987,981,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,18,NA,12,NA,30,NA,yes,no,13+14,,,Moderate,"Recapture from 1988. Attempted to collect sperm sample. Box 2. No hematozoan, has malaria. "
4,28-03-1989,3:08,3:28,MUD SPRINGS,White/Burton,JUVENILE,MALE,Spotlight,2.65,0.4,2.25,640,240,17,300,160,70,66,37.9,16.95,14,Greenish yellow,0,Bistre yellow,"1L, 0R",-,"1L, 1R",,0,,Red,White,846,675,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,9,8,7,8,16,16,maybe,maybe,17+18,,,Minimum,"Very alert; calm. Attempted to collect sperm sample. 5 infected cells on 1 pass. Box 2, #1 15.6 x 148.3. Has hematozoan. "
5,04-04-1989,6:50,7:06,MUD SPRINGS,Ornithology,ADULT,MALE,Canon net,3.25,0.5,2.75,751,356,19,331,147,67,64,41.1,21.9,28.45,Bistre yellow,0,Bistre yellow,-,-,0,,"2R, 0L",,Red,Red,113,111,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,9,11.5,6.5,8,15.5,19.5,no,no,61+62,Missing toe nail left foot,-,-,RECAP 87. Box 2. No hematozoans. 
6,10-04-1989,6:45,,MUD SPRINGS,Boyce/Atherton/Burton,ADULT,MALE,.22 magnum,2.6,0,2.6,774.7,301.63,19,314.33,136.53,69.85,61.69,39.41,22.1,25.65,,,,0,-,,,,,Yellow,Green,1167,1031,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,7,8,8,8,15,16,NA,NA,NA,,,,RECAP 88. No sample? recap ?
7,10-04-1989,6:45,,MUD SPRINGS,Boyce/Atherton/Burton,ADULT,MALE,.22 mag,2.7,0,2.7,768.36,342.9,19,317.5,152.4,73.03,76.2,39.6,13.6,22.6,,,,0,,,,,,,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,15,11.5,19,15,34,26,no,no,97+98,,,,Shot 04-10-1989 by MSB. No hematozoans. Box 2. 
8,13-04-1989,4:01,4:10,MS,White/Wallace/Fox,JUVENILE,MALE,Spotlight,3.25,0.35,,762,320,20,321,171,67,70,37.4,21.5,25.2,Olive yellow,0,Bistre yellow,0,-,,"15 - 20L, 5 - 10R","2R, 0L",,Green,WBlue,1547,1608,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,19,21,9,9,28,30,no,no,NA,No ,No,moderate,No hematozoans. 
9,13-04-1989,3:38,3:48,MUD SPRINGS,White/Wallace/Fox,JUVENILE,MALE,Spotlight,3.3,0.4,,558,0,0,315,174,68,68,37.8,22.95,25.05,Olive yellow,0,Yellow,0,-,"20L, 25R",,"2R, 7L",,Blue,WYellow,1607,1120,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,10,10,11.5,20,21.5,maybe,maybe,51+52,No ,No,Heavy handling stress,"Very light infection. Box 1 slide 1: 11 x 142.5, 11.5 x 148 51 (6 infected cells in 1 pass)+52. Illustration of infected cell in lower right. "
