,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
31,17-03-1989,5:45,6:33,MUD SPRINGS,MSB,None,25 to 30,50 - 60 at 5:45 but only 10 by 7:00,,,,Windy,Mostly dry -- very little snow,,,5:45,15,,8 males at N center,,,,,,,,,,,,,6:07 - A male chased off Juv male at S breeding center. Female at N center had orange tag in left wing. Map of 15 birds including in the back on the paper (not scanned)
,,,,,,,,,,,,,,,,6:10,12,,Strutting stopped - no predator visible. 9+3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,12,1,Males at N center strutting for female. 9+3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:30,14,,"No strutting - S male moving, off to NE. 9+5",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:36,10,,6 (N) + 4 (S),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:50,9,,3 birds strutting - sun bright but windy. 6(N) + 3 (S),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:52,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21-03-1989,5:41,6:27,MUD SPRINGS,White/Swanson,None,Calm,2 to 5,-,-,,-,Patchy light snow,,,5:53,36,0,29W 7E,6:45,6:50,White,Blue,11,,,"Clucking at each other 
SIde by side all three",,,,,Bird on E mating center moved N and some flew to W center just after our arrival. Wow flighty!. W area very dispersed. 7 juveniles + 2 hens on hillside UM E lek stayed from lek. Golden eagle (2) on fence past ~ 300m SW of W mating center. 17 flew into E end of W lek. Left at 7:53 AM
,,,,,,,,,,,,,,,,6:17,31,0,27W 4E,6:50,6:55,Red,Yellow,24,,,,,,,,
,,,,,,,,,,,,,,,,6:39,32,0,28W 4E,6:55,7:00,Yellow,Blue,15,,,,,,,,
,,,,,,,,,,,,,,,,7:09,35,2,23W 14 E,7:11,7:16,G,White,4,,,"Confronting stand off
Stand off",,,,,
,,,,,,,,,,,,,,,,7:33,46,27,62W 11E,7:10,7:15,White,Red,8,,,,,,,,
,,,,,,,,,,,,,,,,7:50,31,0,11W + 20 ~6E Flew!,7:19,7:22,Blue,Red,0,,,Green/white ? hangout with juveniles,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green,Red,,,Female,,,,,,
33,22-03-1989,5:51,6:28,MUDDY SPRINGS,Swanson,,10 to 15,50,-,-,,-,Snow scattered mostly clear,Golden eagle,7:18,5:56,51,0,45W 6E,6:42,6:47,R,W,7,,,-,,,,,6:25 Raven pair flew over birds all stopped for a few seconds. 25 or so birds ~ 300 yds from main lek area. 7:16 majority of bird dispersed now
,,,,,,,,,,,,,,,,6:20,53,1,47W + 1 female 6E,6:44,,W,B,19,,,,,,,,
,,,,,,,,,,,,,,,,6:35,44,0,42W 2 E,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:54,40,,40W 0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:07,19,,19 W E side walked over in front of truck and flew ??? ... far off birds,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:16,11,,11W all birds flew as eagle went directly over lek about 10 ft off ground,,,,,,,,,,,,,
34,23-03-1989,5:46,6:30,MUDDY SPRINGS,Swanson,,0 to 5,90 % high and thin!,-,-,,-,Clear,,,5:47,56,7,53W 10E 5:56 something spooked a large # of bird from distant group on W side,6:10,6:15,W,B,5,,,-,,,,,7:03 Birds began to disperse
,,,,,,,,,,,,,,,,6:17,55,,49W 6E,6:21,6:26,R,Y,8,,,,,,,,
,,,,,,,,,,,,,,,,6:36,36,,31W 5E several birds flew,6:30,6:35,R,B,2,,,,,,,,
,,,,,,,,,,,,,,,,7:03,30,,25W 5E,7:00,7:05,Y,B,6,,,,,,,,
,,,,,,,,,,,,,,,,7:14,23,,19W 4E ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:30,2,,0 all flew 2E,,,,,,,,,,,,,
35,29-03-1989,5:10,6:15,MUD SPRINGS,MSB,,1 to 2,30,,,,,Dry -- which is amazing given that we found a couple inches of snow at our place,,,5:10,41,2,"Too dark to see well. 25+16 males, 1+1 females",6:15,6:20,R,R,0,0,Infinity ,Feeding,,,,,G/R at SW corner
,,,,,,,,,,,,,,,,5:30,48,17,"Distinct female cluster at N center, 28+20 males, 15+2 females",6:20,6:25,Y,? O,5,0,Infinity ,,,,,,
,,,,,,,,,,,,,,,,5:39,50,8,"Females beginning to leave N center. 30+20 males, 6+2 females. ",6:20,6:25,R,R,3,0,Infinity ,,,,,,
,,,,,,,,,,,,,,,,5:46,55,11,"Breeze picking up. 31+24 males, 6+5 females",6:38,6:43,G,R,11,0,Infinity ,Standoff,,,,,
,,,,,,,,,,,,,,,,7:00,45,0,"24+21 males, 0+0 females",6:38,6:43,Y,? O,9,0,Infinity ,Standoff,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,B,,6,0,Infinity ,Standoff w/unmarled male,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,Y,O,12,0,Infinity ,Standoff w/unmarled male,,,,,
,,,,,,,,,,,,,,,,,,,,7:01,7:06,R,Y,12,0,Infinity ,,,,,,
36,27-03-1989,5:35,6:13,MUD SPRINGS,Boyce & Stacey Freeze,None,0,95,,,,,Dry,None,Although something spooked bird flew at S center at 5:50,5:35,48,5,"28+20 males, 4+1 females",6:19,6:24,G,G,27,0,Infinity ,,,,,,G/G - missing tail feathers at right NE corner of south. G/R - in center of N center
,,,,,,,,,,,,,,,,5:50,49,5,"17 flew  from S center. 29+20 males, 5 females",6:38,6:43,G,R,5,0,Infinity ,,,,,,
,,,,,,,,,,,,,,,,6:03,41,1,"25+16 males, 1 female",6:38,6:43,G,G,3,0,Infinity ,,,,,,
,,,,,,,,,,,,,,,,6:13,,,G/G located on S center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:47,44,1,Male resumed strutting with female appearance. 26+18 males,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:50,,,15 flew fromm N center,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,42,,24+18 males,,,,,,,,,,,,,
