,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
missed,27-04-1988,7:00,6:07,MCJ,Bayer/Burton,,20-25,10,No,No,,,Play 1/2 (?) with water and 20% snow cover,,,7:00,7,,Toward W end of playa.,,,,,,,,,,,,,
14,09-04-1988,7:50,,MCJ,Boyce,,0,100,Yes,No,,,Dusting of snow,,,7:50,17,8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:55,15,8,Hen cluster by east male,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:03,16,7,hens moving through lek to NW,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:05,14,4,male flew NW,,,,,,,,,,,,,
15,10-04-1988,6:30,6:40,MCJ,Burton,,"light, 0-5",20,No,No,,,Frost on ground,,,,,,Counted 26 total individuals as they flew over the road,,,,,,,,,,,,,Did not observe birds on lek. Birds flew over the truck when driving on Fetterman Rd. toward junction. I think they may have been flushed by soe antelope disturbed by the truck. 
16,14-04-1988,5:41,6:33,MCJ,White,,No,0,No,No,,,,,,5:52,8,10,,6:12,6:17,B,B,33,1,,0,,,,,"5:59 - all hens and 4 males flushed - why?? 6:45 - B/B walked to E mating center - only 3 males left in E center - but fighting for attention. Appears to be 2 mating centers although 1 not seen until hens flushed. Hens (?) center. Hens 1st clustered at W one, then at E one. "
,,,,,,,,,,,,,,,,5:54,12,13,,6:21,6:26,G,G,0,3,,walked to other mating center,,,,,
,,,,,,,,,,,,,,,,6:16,13,20,W mating center,6:53,6:58,G,G,30,2,,,,,,,
,,,,,,,,,,,,,,,,6:35,12,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:48,13,22,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:06,11,8,,,,,,,,,,,,,,
17,15-04-1988,5:15,6:32,MCJ,White/Burgess,night light,0,0,No,No,,,,,,5:51,7,8,,6:14,6:19,B,B,22,1,,on S flank of (?),unmarked,,,4,only 1 mating center - just S of stairs. B/B won fight w/ UM male. G/G lost fight w/ unmarked but maintained his strutting. Master chased off juv male which was then chaed by another umarked male. 2 females solicited master cock and got no response. 2 males chased (?) females off the lek. 
,,,,,,,,,,,,,,,,6:01,11,16,1 mating center,6:14,6:19,G,G,26,1,,on N flank of (?),,,,,
,,,,,,,,,,,,,,,,6:22,11,14,many hens moved to N sage,6:33,6:38,B,B,28,1,,,,,,,
,,,,,,,,,,,,,,,,6:43,13,6,,6:33,6:38,G,G,33,1,,,,,,,
18,21-04-1988,5:30,6:27,MCJ,Boyce/Marjean Heisler,,15 to 20,30,No,No,,Wind died down to 0 by sunrise. Raining as we approached lek. ,Nightlighted last night ,,,5:40,10,4,,,,,,,,,,Unmarked,,,1,Some males SE edge of lek. 
,,,,,,,,,,,,,,,,6:17,10,3,,,,,,,,,,Unmarked,,,1,
,,,,,,,,,,,,,,,,6:30,12,0,,,,,,,,,,Unmarked,,,1,
19,25-04-1988,6:28,6:08,MCJ,White,,10 to 15,50,No,No,,,,,,6:28,17,2,"2 juv, hens walking onto lek",6:34,6:39,Y,Y,43,2,,,,,,,Y/Y - standoff w/ UM male (3x). G/G - 2 fights w/ UM male - standoff. Both females ran off opposite side of lek and sat down ~ 30m from males. 
,,,,,,,,,,,,,,,,6:50,16,4,females 6 far away from males,6:41,6:46,G,G,4,3,,,,,,,
,,,,,,,,,,,,,,,,7:03,10,0,"All hens gone, males just sitting",6:51,6:56,B,Y,0,3,,Just sat on E edge of lek,,,,,
20,28-04-1988,6:00,6:15,MCJ,Boyce,,0,2,No,No,,Large accipiter flying over lek when I arrived,birds ducked and stayed down.,"Accipiter, prairie falcon, northern harrier, airplane","6:00, 6:18, 6:26, 6:48",6:10,13,0,Hawk sitting W of lek. ,6:43,6:48,Y,Y,10,3,,Standoff w/ UM male,,,,,"Prairie falcon flew by at 6:18 - all hunkered down again. At 6:26 N. harrier flew right over lek. Very little strutting. Y/Y standoff w/ unmarked male. Marked males: B/W?, B/Y, Y/Y. Airplane at 6:48 - no reaction noticed by birds "
,,,,,,,,,,,,,,,,6:14,13,0,Hawk left. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:21,15,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:28,18,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:38,12,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:51,13,0,,,,,,,,,,,,,,
