,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
35,23-03-1988,5:40,6:04,NORTH,Boyce/Burton,,30,80,NA,NA,NA,Cold,50% snow covered,,,5:40,4,-,Strutting at arrival - wind down,6:45,6:50,G,G,8,0,no hens,,,,,,infrequent strutting - too windy 
,,,,,,,,,,,,,,,,5:53,6,-,-,6:45,6:50,R,B,5,0,no hens,,,,,,
,,,,,,,,,,,,,,,,6:00,6,-,"R/B lost fight to unidentified male, wind up",6:51,6:56,G,G,12,0,no hens,,,,,,
,,,,,,,,,,,,,,,,6:40,6,-,G/G strutting,6:58,7:03,G,G,0,0,no hens,,,,,,
,,,,,,,,,,,,,,,,6:53,6,-,"G/G conflict W/R won, G/G/ ran off",6:58,7:03,R,B,0,0,no hens,,,,,,
,,,,,,,,,,,,,,,,7:04,6,-,-,,,,,,,,,,,,,
36,25-03-1988,5:40,6:05,NORTH,Johnson/White,,10 to 20,20,No,No,NA,NA,snow cover,,,5:40,9,2,8 hens feeding,5:54,5:59,G,G,14,1,,-,,,,,GG chasing juveniles around. RR and WW fighting - standoff. 
,,,,,,,,,,,,,,,,6:00,11,1,S juveniles,NA,NA,NA,NA,NA,NA,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:00,NA,R,R,17,1,,W/W and R/B - standoff,,,,,
,,,,,,,,,,,,,,,,,,,,6:00,NA,W,W,14,1,(5 hens 2m),fight w/ W/W - standoff,,,,,
,,,,,,,,,,,,,,,,,,,,5:54,5:59,R,R,4,1,,standoff w/ R/B,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,NA,R,B,18,-,,standoff w/R/R,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,NA,W,W,6,-,,standoff w/Um male,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,NA,R,R,13,2,,eating,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,NA,G,G,0,-,,,,,,,
37,27-03-1988,5:30,6:07,NORTH,Boyce/Burton,,20 to 25,10,No,No,,Very windy,Snow almost gone,Eagle,6:30,5:30,10,-,R/R chased W/W away,5:50,5:55,4,B,-,-,,Won chase over unidentified male,,,,,"B/W, R/R, W/W (#0479 on right), R/B, G/G"
,,,,,,,,,,,,,,,,6:00,10,-,W/W chased by unidentified male,5:51,5:56,16,R,R,-,,,,,,,
,,,,,,,,,,,,,,,,6:25,12,-,-,5:59,6:04,4,R,B,-,,,,,,,
,,,,,,,,,,,,,,,,6:30,16,-,Flushed by EAGLE,6:02,6:07,6,G,G,-,,,,,,,
,,,,,,,,,,,,,,,,,,,Flew 1 WNW over hill,6:07,6:12,24,G,G,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:09,6:14,16,B,B,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:14,6:19,11,W,W0479,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:19,6:24,14,B,W,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:20,6:25,18,G,G,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,28-03-1988,5:37,6:06,NORTH,Burton/Osmundson,,5 to 10,Clear,no,no,,cool morning,good/etc.,Eagle,6:08,5:37,15,2,8 off the back of lek ,5:58,6:03,R,B,14,3,,R/B  - 5:45 won,,,,,63290
,,,,,,,,,,,,,,,,5:45,15,2,R/B - 5:45 won battle,,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,5:55,11,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:08,,,"18 total. eagle flew over, scared off birds. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,29-03-1988,5:23,6:01,NORTH,Boyce/White,,20,0,no,no,20,Cold,Dry,,,5:23,9,0,-,5:50,5:55,W,W,17,-,,None,,,,,"Marked birds: R/B, G/G, W/W, R/R. 5:51 - coyote howled over ridge, birds kept strutting. 6:04 - 4 birds flew - no apparent reason, birds strutted W of lek. Did not fly far. Limping male present. 6:36 - R/B + unmarked male - standoff. "
,,,,,,,,,,,,,,,,5:27,9,0,R/B + W/W had standoff fight,5:50,5:55,G,G,2,-,,None,,,,,
,,,,,,,,,,,,,,,,5:35,10,0,-,6:10,6:15,R,R,9,-,,None,,,,,
,,,,,,,,,,,,,,,,5:40,12,0,3 juv,6:10,6:15,R,B,9,-,,None,,,,,
,,,,,,,,,,,,,,,,5:56,12,0,3 juv,6:17,6:22,W,W,14,-,,None,,,,,
,,,,,,,,,,,,,,,,6:22,12,0,,6:17,6:22,G,G,18,-,,None,,,,,
,,,,,,,,,,,,,,,,6:40,12,0,,6:26,6:31,R,R,11,-,,None,,,,,
,,,,,,,,,,,,,,,,,,,,6:26,6:31,R,B,2,-,,Bice clapping with UM,,,,,
,,,,,,,,,,,,,,,,,,,,6:42,6:47,G,G,5,-,,None,,,,,
,,,,,,,,,,,,,,,,,,,,6:42,6:47,W,W,2,-,,None,,,,,
,,,,,,,,,,,,,,,,,,,,6:59,7:04,R,B,11,-,,None,,,,,
,,,,,,,,,,,,,,,,,,,,6:59,7:04,R,R,0,-,,Flew at 7:00 - could see (?0,,,,,
40,01-04-1988,5:30,5:57,NORTH,Johnson,,-,-,-,-,-,-,"Snow, heavy frost",,,5:30,31,-,More males on E side of road,5:44,-,R,B,9,-,,-,,,,,R/R + W/W standoff 
,,,,,,,,,,,,,,,,,,,only 8 males  in normal lek position,6:11,-,R,R,17,-,,-,,,,,
,,,,,,,,,,,,,,,,5:57,32,-,at sunrise all but 2 males flew to normal lek position. At least 20 juveniles,6:01,-,W,W,13,-,,-,,,,,
,,,,,,,,,,,,,,,,6:35,11,-,,6:06,-,R,B,13,-,,running all over,,,,,
,,,,,,,,,,,,,,,,,,,,6:22,-,G,W,22,-,,chased juv off,,,,,
,,,,,,,,,,,,,,,,,,,,6:28,-,G,G,16,-,,pickup activity,,,,,
,,,,,,,,,,,,,,,,,,,,6:37,-,W,W,14,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:46,-,G,G,27,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:48,-,R,R,11,-,,,,,,,
41,02-04-1988,5:16,6:05,NORTH,Boyce/Hurlbert/Ridley,,0,0,no,no,-,Full moon! ,Wind picked up to 5-10 by 5:45,,,5:15,12,7,,5:44,5:49,W,W,12,3,,,UM,,,2,"R/B standoff with UM male for full 1/2 hour. W/W, R/R (?), G/G, W/G (flew off at 6:34. At 6:15 W/W moved to feed near center of lek - then he walked back to his N location on lek and becan strutting again at 6:32. 5:55 - 5 males showed up on road. "
,,,,,,,,,,,,,,,,5:25,11,8,"juv male chased off by adult male, female walked off by 5:45",5:44,5:49,R,B,9,,,,,,,,
,,,,,,,,,,,,,,,,5:40,11,0,,5:58,6:03,W,W,3,,,,,,,,
,,,,,,,,,,,,,,,,5:50,11,0,,5:58,6:03,G,G,11,,,,,,,,
,,,,,,,,,,,,,,,,5:58,11,0,,5:58,6:03,R,R,15,,,,,,,,
,,,,,,,,,,,,,,,,6:12,11,0,,6:24,6:29,R,B,11,,,,,,,,
,,,,,,,,,,,,,,,,6:32,11,1,male and female in (?) SE 120m off lek ,6:24,6:29,G,G,10,,,,,,,,
,,,,,,,,,,,,,,,,6:34,13,,2 male flew in - in cluster W/G and a juv male,6:24,6:29,W,W,0,,,,,,,,
,,,,,,,,,,,,,,,,6:46,14,2,2 juv male,6:39,6:44,W,G,12,,,chased around by UM male that had been on lek before W/G arrived,,,,,
,,,,,,,,,,,,,,,,6:50,15,6,6 off lek,6:39,6:44,W,W,21,,,,,,,,
,,,,,,,,,,,,,,,,6:51,,,4 feamle flew into pt. 100m W of lek,6:39,6:44,R,B,18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,03-04-1988,6:26,6:02,NORTH,White,,0 to 5,0,no,no,,NA,Clear,,,6:31,13,22,6 female clustered on N end of lek,6:34,6:39,W,W,37,1,,-,,,,,6:33 - 5 males around road to lek behind truck. GG - chased juvenile. GW - standoff 7:05 w/ unmarked male. WW chased/followed female all at N end. Has abandoned lek mating for chasing. Moved >100m in the (?). 
,,,,,,,,,,,,,,,,6:50,17,9,"5 juveniles, (?) at N and S sides",6:40,6:45,R,B,31,2,,chased juvenile male,,,,,
,,,,,,,,,,,,,,,,7:08,19,3,very scattered,6:54,6:59,R,R,29,3,,-,,,,,
,,,,,,,,,,,,,,,,7:34,11,0,,7:00,7:05,G,G,5,3,,standoff w/ unmarked male,,,,,
,,,,,,,,,,,,,,,,7:41,17,13,,7:19,7:24,G,W,6,3,,,,,,,
,,,,,,,,,,,,,,,,7:56,24,16,15 juveniles,7:19,7:24,G,G,7,3,,standoff w/ unmarked male,,,,,
,,,,,,,,,,,,,,,,,,,,7:27,7:32,R,R,9,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:27,7:32,G,W,0,3,,feeding,,,,,
,,,,,,,,,,,,,,,,,,,,7:35,7:40,R,B,0,3,,fought w/ unmarked male,,,,,
,,,,,,,,,,,,,,,,,,,,7:44,7:49,W,W,32,1,,,,,,,
43,05-04-1988,1:30,,NORTH,Johnson/White,Nightlighted,5 to 10,100,no,no,,NA,NA,,,6:17,9,7,,6:20,-,R,B,38,1,,-,,,,,At ~6:42 - all birds sat down + quit strutting 
,,,,,,,,,,,,,,,,6:48,11,,,6:22,6:27,W,W,27,1,,-,,,,,
,,,,,,,,,,,,,,,,7:16,11,0,,6:29,6:33,W,G,20,1,,Chased and won w/UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:30,-,G,W,10,-,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:38,-,R,R,7,-,,tail wag w/ G/G,,,,,
,,,,,,,,,,,,,,,,,,,,6:36,6:41,G,G,15,-,,tail wag w/ R/R,,,,,
,,,,,,,,,,,,,,,,,,,,6:53,-,B,B,0,-,,feeding,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:50,W,W,25,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:53,-,G,G,3,,,feeding,,,,,
,,,,,,,,,,,,,,,,,,,,7:02,-,R,B,4,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:59,7:04,R,R,8,,,standoff w/ UM male,,,,,
,,,,,,,,,,,,,,,,,,,,7:07,7:17,W,G,4,,,standoff w/ UM male,,,,,
,,,,,,,,,,,,,,,,,,,,7:09,,G,W,0,,,side by side w/ UM male,,,,,
44,07-04-1988,NA,NA,NORTH,Burton/Osmundson,,5 to 10,10,no,no,,nice morning,night lighted last night,,,6:13,17,16,female B(?) present,6:37,6:42,B,B,27,1,,0,,,,,"None! (copulations). New tag purple/yellow is in the main strutting group. Most females wandered to east side of road, some juvenile males and a few adults followed. W/W stayed with females as they wandered. "
,,,,,,,,,,,,,,,,6:27,15,46,somewhat spread,6:44,6:49,R,B,22,1,,1 won,,,,,
,,,,,,,,,,,,,,,,6:36,,,Y/P won fight,6:54,6:59,W,W,32,1,,0,,,,,
,,,,,,,,,,,,,,,,6:52,15,53,,7:01,7:06,G,G,22,0,no hens,0,,,,,
,,,,,,,,,,,,,,,,7:21,14,,Hared to see females,7:07,7:12,Y,P,0,- ,,0,,,,,
,,,,,,,,,,,,,,,,7:32,15,9,Most on east side of road,,,,,,,,,,,,,
45,08-04-1988,5:15,NA,NORTH,Johnson,Canon netting,NA,NA,NA,NA,,,,,,6:30,11,27,,,,R,B,,,,,,,,,"W/G, R/B in this w/ UM male. R/B at 6:50 had 15 hens clustered. Canon netting -  dind't get net off - birds had changed position. R/B fight w/ UM male - 2 fights (won both) "
,,,,,,,,,,,,,,,,,,,,,,W,W,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,W,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,G,W,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,O,O,,,,,,,,,
46,10-04-1988,5:15,NA,NORTH,Burton/Koeppen,,0 to 5,0,no,no,0-10 degrees,Very cold,Snow covered ,,,5:45,7,0,,6:06,6:11,W,W,29,,long ways,No,R,B,,11,"OW - second in command. RB - 6:58 - won fight with unmarked. R/B copulations 6:57, 7:13, 7:12"
,,,,,,,,,,,,,,,,6:00,12,42,15 bird around master cock,6:16,6:21,R,B,35,,all around,No,,,,,
,,,,,,,,,,,,,,,,6:24,12,35,bunch around RB,6:16,6:31,G,W,36,1,,No,,,,,
,,,,,,,,,,,,,,,,6:34,11,41,,6:15,6:30,O,W,31,,all around,No,,,,,
,,,,,,,,,,,,,,,,7:00,11,42,,6:37,6:42,B,B,25,1,,Yes W/G lost  fight to GW,,,,,
,,,,,,,,,,,,,,,,7:17,12,40,,6:41,6:46,O,W,16,,all around,no,,,,,
,,,,,,,,,,,,,,,,7:32,12,46,,6:42,6:52,G,G,29,1,,no,,,,,
,,,,,,,,,,,,,,,,,,,,6:51,6:56,R,B,34,,all around,1- copulation,,,,,
