,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
26,1987-03-31,,6:00,NORTH,Boyce + Yokel,,0,0,N,N,17,,essentially no snow,,,5:10,5,1,,5:44,5:49,White,Orange,28,,,,,,,,1 out of 2
,,,,,,,,,,,,,,,,5:18,7,1,Long fight between 2 males,5:44,5:49,Green,Green,32,,,,,,,,
,,,,,,,,,,,,,,,,5:29,7,1,Hen looking over two males,5:53,5:58,Red,Blue,5,,,,,,,,
,,,,,,,,,,,,,,,,5:32,7,0,"Female flew 100 m from lek . O/W, Blue/Blue, O(2)/R(10, G/G)",5:53,5:58,Red,Orange,22,,,,,,,,
,,,,,,,,,,,,,,,,5:47,8,1,JUV female arrived,6:12,6:17,White,Orange,0,,,Fight with unbanded AD male - lost fight ,,,,,
,,,,,,,,,,,,,,,,5:54,8,2,,6:12,6:17,Green ,Green,31,,,,,,,,
,,,,,,,,,,,,,,,,5:55,8,2,JUV female chased to edge of lek ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:00,,,all squat down ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:07,8,2,2 males up; 2 more 25 sec later ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:23,8,2,,,,,,,,,,,,,,
27,1987-03-31,,,NORTH,MSB+Yokel,,,,,,,,,,,6:26,8,2,"male G/G lost fight (male unbanded with briliant yellow combs, G/G chased off lek)",6:24,6:29,Blue,Blue,11,,,,,,,,"2/2, continuation from last page"
,,,,,,,,,,,,,,,,6:31,8,1,JUV male stutting @ lek edge,6:24,6:29,Red,Orange,21,,,,,,,,
,,,,,,,,,,,,,,,,6:37,11,NA,Males 11-12. 4 males 400m to south on road,6:34,6:39,White,Orange,12,,,,,,,,
,,,,,,,,,,,,,,,,6:44,8,0,2 juv. fight male O/R + untagged male: tie ,6:34,6:39,Green,Green,8,,,,,,,,
,,,,,,,,,,,,,,,,6:49,,,JUV male chased to lek edge by untagged male + Male B/B,6:50,6:55,Blue,Blue,13,,,,,,,,
,,,,,,,,,,,,,,,,6:53,8,1,,6:50,6:55,Red,Orange,13,,,,,,,,
,,,,,,,,,,,,,,,,6:56,9,5,2 juv. Hens walk thru S -> N,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:05,9,5,WE QUIT ,,,,,,,,,,,,,
28,1987-04-01,,,NORTH,Green + Cole,,0,0,N,N,,,Clear,,,5:10,3,,3 males on lek,,,,,,,,,,,,,7:20 male strutting
,,,,,,,,,,,,,,,,5:25,5,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:30,3,,Blue/blue aproached white it ran off ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:35,2,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:50,2,6,Purple comes in from N - the other S males follow,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:55,2,6,"Purple w/3 males, females showing intrest ",,,,,,,,,,,,,
29,"**Handwritten page, see bottom of sheet ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1987-04-03,,5:58,NORTH,MSB + M.Kirkpetrick,,0,0,N,N,27?,,,,,6:00,13,17,O/R defeted by unmarked male. W/W,6:08,6:13,White,White,25,,,,,,,,02-Jan
,,,,,,,,,,,,,,,,6:23,13,19,B/B,6:08,6:13,Purple,Purple,12,,,,,,,,
,,,,,,,,,,,,,,,,6:57,13,14,O/R,6:15,6:20,Red,Red,35,,,,,,,,
,,,,,,,,,,,,,,,,,,,R/R,6:15,6:20,Blue,Blue,13,,,,,,,,
,,,,,,,,,,,,,,,,,,,P/P,6:32,6:37,Blue,Blue,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:32,6:37,White,White,19,,,,,,,,
31,1987-04-03,,,NORTH,MSB + M.Kirkpetrick,,0,0,N,N,,,,,,,,,,6:42,6:47,White,White,21,,,,,,,,02-Feb
,,,,,,,,,,,,,,,,,,,,6:42,6:47,Red,Red,33,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,Blue,Blue,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,Purple,Purple,6,,,,,,,,
32,1987-04-04,,5:56,NORTH,Yokel + Cole,,11 to 23 ,,Y,Y,15-20,,Clear of Snow,,,5:42,1,,He. Just arrived,,,,,,,,,,,,,Mule Creek Jnt. at 6:45 - no birds seen at all!!
,,,,,,,,,,,,,,,,5:47,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:52,1,,"Stutting earlier, now feeding ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:04,2,,"Still feeding, the other strutting",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:11,,,JUV strutting to far SW of lek centre ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:14,,,Grouse flew on far NW edge of lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,,,Female northern Harrier felw at NW ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,,,Both grouse feed ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:30,2,,Same 2 males ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Strutted a little,,,,,,,,,,,,,
33,1987-04-05,6:27,6:55,NORTH,Boyce + Cole,,23,0,N,N,15-20,,Clear,,,6:27,6,11,"B/B, B/R, G,P, R/R, P/P",6:38,6:43,Blue,Blue,9,,,,,,,,"R/B chased R/R to edge of lek. Only unmarked male on lek, misssing feather "
,,,,,,,,,,,,,,,,6:53,6,0,Hens left,6:38,6:43,Purple,Purple,13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,Red,Red,0,,,,,,,,
