,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
13,03-25-1988,5:30,6:02,SOUTH FETTERMAN,Burton,,25 to 30,75,N,N,,Wind extreme,Clear no snow,,,5:35,3,0,Some strutting - too far away,,,,,,,,,,,,,No visible tags. Need to move closer was on the wrong side of the dam. The birds moved off
,,,,,,,,,,,,,,,,5:45,3,0,birds moving ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:02,3,0,birds moved off lek - no strutting ,,,,,,,,,,,,,
14,03-28-1988,5:35,,SOUTH FETTERMAN,White/Johnson,,10 to 20,10,N,N,,,Clear,,,5:35,9,4,hens feeding around the east end of lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:40,8,,1 male was chased off by another male ,,,,,,,,,,,,,
15,03-29-1988,5:40,6:04,SOUTH FETTERMAN,Burton,,15 to 20,clear,N,N,Cold,,Good/clear of snow,,,5:40,7,0,,,,,,,,,,,,,,No tags
,,,,,,,,,,,,,,,,5:45,8,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:50,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:51,,,8-9 birds flew off lek to other side of dam and landed. one male stayed and kept strutting . ,,,,,,,,,,,,,
16,04-01-1988,4:46,5:49,SOUTH FETTERMAN,Burton,,"slight, 0-5",0 to 5,N,N,,Good,,,,5:20,7,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:23,8,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:30,7,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:42,8,0,,,,,,,,,,,,,,
