,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,,samples collected,samples collected,,,,
binder pdf scan page ,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Wing Length mm,Bill Length mm,Bill Depth mm,Keel Length mm,Comb Length mm,Tarsus length mm,Toe Length mm,Comb Color,num  Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),Air Sacs,Combs,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood ,blood smears,Fecal,ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),notes
1,1987-04-15,6:18,,SYBILLE SPRINGS,,JUVENILE,FEMALE,,,,1.3,507,196,279,17.4,34.2,104,,57,51,,,,,-,,,Green,Purple,346,588,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,,,,RADIO 151.072
2,1987-03-16,,,SYBILLE SPRINGS,,JUVENILE,FEMALE,,,,1.8,534,178,258,32.4,19.4,181,,53,6,,,,,,,,White,Purple,420,517,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
3,1987-03-16,,,SYBILLE SPRINGS,,JUVENILE,FEMALE,,,,1.5,560,163,265,32.4,19.4,111,,28,57,,,,,,,,Red,Purple,120,518,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
4,1987-04-01,,,SYBILLE SPRINGS,,ADULT ,MALE,,,,2.8,687,230,315,38.8,26.1,210,25.3,64,69,,,Bright yellow,,-,,,Red,Green,119,323,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,"Red splotchy air sacs, missing middle toe nail, no blood on comb"""
5,1987-04-08,3:45,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.5,725,318,306,39.2,22.95,133,24.2,69,68,Olive Yellow,,Bistre Yellow,,-,+,+,Blue,Blue,220,219,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
6,1987-04-08,4:28,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.5,780,338,306,42.75,24.1,147,23.25,69,68,Olive Yellow,,Chrome Yellow,,-,+,+,Red,Red,125,122,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,, 
7,1987-04-08,4:07,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3.35,765,327,309,38.6,23,138,23.25,66,67,Yellow Olive,,Greenish yellow,2,-,+,-,Purple,Purple,525,522,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,
8,1987-04-15,6:03,,SYBILLE SPRINGS,,ADULT ,MALE,,,,3,748,305,323,39.75,25.6,144,24.25,74,65,Olive Yellow,,Bistre Yellow,0,-,-,-,Green,Purple,343,591,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,Diarrhea
9,1987-04-15,4:20,,SYBILLE SPRINGS,,JUVENILE,MALE,,,,2.3,633,247,293,37.6,24.8,138,21.65,70,71,Yellow olive,,Bistre yellow,,-,+,++,Red,Blue,123,291,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,,,,Uneven grey on edges of air sac
