,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
28,1987-04-11,6:30,6:46,SYBILLE SPRINGS,Lacey/Johnson ,,,,N,N,,Audubon Society and Deb Fuch's class observing lek,,,,6:42,10,17,(?) scared birds off,6:45,6:50,,Blue,0,,,,,,,,
,,,,,,,,,,,,,,,,6:53,7,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1987-04-13,5:33,6:43,SYBILLE SPRINGS,Cole,,10 to 15,At 5:50 just a few clouds in the horizon. By 6:15 saw the wind was blowing in clouds. At 7:16 a bank of fog is being blown in from the North. Wind is 10-15 knotts. All bird activity has stopped. They are roosting. ,N,N,10 to 15,,Spotty snow cover,,,6:04,16,29,,6:58,7:03,,,41,,,3 wing fights with unmarked male at center. ,Unmarked,,,3,At 5:50 the 4 males on the lek flew off to the west. At 5:53 3 males flew in from the east. Then flew to west at 5:56. Strutted on western edge of grassy area. 
,,,,,,,,,,,,,,,,6:23,16,29,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:32,,,two center males had wing fights tie,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:41,17,23,2 females near 3 male JUV at west edge of lek,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:51,,,2 center males had wing  fight tie ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:53,12,13,4 females at extreme W edge with 23 juvenile males,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:11,14,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1987-04-14,6:04,6:22,MORTON PASS = ROUNDTOP LEK,"Peter White, Todd Graham",,0 to 1,0,N,N,32,,Frost,Eagle,6:33,6:30,21,37,High count before EAGLE,6:17,6:22,-,22,,,,,Unmarked,,,2,
,,,,,,,,,,,,,,,,7:10,7,0,After eagle ,6:20,6:29,-,24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:27,6:37,-,23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1987-04-14,6:04,6:22,MORTON PASS,Zool 478/9,,0 to 1,0,N,N,32,,Frost,Eagle,6:33,6:04,16,12,Eagle flew over @6:33,5:10,5:15,-,-,29,,,,,,,,6:04 group of antelope around 30 plus/minus off to W. Eagle flew over 6:33 buds left
,,,,,,,,,,,,,,,,6:40,2,1,After eagle,5:20,5:25,-,-,30,,,,,,,,
,,,,,,,,,,,,,,,,6:50,7,2,After eagle,5:27,5:32,-,-,20,,,,,,,,
,,,,,,,,,,,,,,,,7:10,7,0,After eagle,6:50,6:55,-,-,3,,After eagle,,,,,,
,,,,,,,,,,,,,,,,7:21,6,1,After eagle,6:17,6:22,-,-,22,,before eagle differnt observer,,,,,,
,,,,,,,,,,,,,,,,7:30,7,0,After eagle - Last count,6:20,6:25,-,-,24,,before eagle differnt observer,,,,,,
,,,,,,,,,,,,,,,,6:30,21,37,After eagle - High count,6:27,6:32,-,-,23,,before eagle differnt observer,,,,,,
32,1987-04-14,6:04,6:22,MORTAN PASS,"Zool 478/479
Harold + Jenny",,0 to 1,0,N,N,32,,Frost,Eagle,6:33,6:04,16,12,,6:12,6:17,-,-,32,,,,,,,,
,,,,,,,,,,,,,,,,6:15,22,37,W/in both portions of lek,6:12,6:17,-,-,30,,,,,,,,
,,,,,,,,,,,,,,,,6:33,Eagle flew over,,,6:20,6:25,-,-,28,,,,,,,,
,,,,,,,,,,,,,,,,6:40,2,1,Both leks - after eagle,6:20,6:25,-,-,34,,,,,,,,
,,,,,,,,,,,,,,,,7:10,7,0,after eagle,6:28,6:33,-,-,37,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:28,6:33,-,-,7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:45,6:50,-,-,17,,Note - only 2 males after eagle,,,,,,
33,1987-04-15,6:40,6:30,SYBILLE SPRINGS,Lacey/Cole,,0 to 5,50-60,N,N,,Nightlighted - same morning ,clear,,,6:40,14,44,,6:46,6:51,Purple,Purple,34,1,1 female 1-5m,"7:19 PP involved in a stand off with unmarked male PP pushed away, 7:21 walking away from each other",,,,, PP moved in toward center 6:59. Lots of (?) between N + S sides of the creek. 
,,,,,,,,,,,,,,,,6:55,17,16,"Hen took off, 3 of 17 males on other side of creek (N side)",7:15,7:20,Purple,Purple,18,,2 females ,,,,,,
,,,,,,,,,,,,,,,,7:07,17,19,4 males on N side of creek ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:22,13,9,,,,,,,,,,,,,,
34,1987-04-17,5:00,6:28,SYBILLE SPRINGS,Boyce,,0,2,N,N,40,,nitelighted lek until 5:00,,,5:55,9,3,2 groups,6:25,6:30,Purple,Purple,38,,,,Purple,Purple,,1,P/P started with cluster of 6 males and 9 females... he got 1 cop and gradually all 6 males and 7 females left. P/P stayed off SW of main group for next 1.5 hrs around 60 m away. 
,,,,,,,,,,,,,,,,5:57,11,6,,6:25,6:30,Orange,Purple,35,,,P/O wong fight w/unmarked?,Unmarked,,,1,
,,,,,,,,,,,,,,,,6:05,18,29,3 groups,6:50,6:55,Purple,Purple,18,3,> 10 m - gave up after females left ,,,,,,
,,,,,,,,,,,,,,,,6:45,18,18,consolidated 1 group',6:50,6:55,Red 120,Purple 518,37,1,,,,,,,
,,,,,,,,,,,,,,,,6:58,18,,8 females left,7:05,7:10,White 299,Blue 417,0,,,,,,,,
,,,,,,,,,,,,,,,,7:22,13,2,14 females left ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:28,5,2,,,,,,,,,,,,,,
