,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,hematocrit Cells,hematocrit Cells,hematocrit Plasma,hematocrit Plasma,hematocrit Total,hematocrit Total,,,,,,,
binder pdf scan page,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),num Air Sacs,air sacs comments,num Combs,comb comments,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood,Ectoparasites,Fecal,Cecal,1,2,1,2,1,2,blood malaria,blood haema,slide numer,Existing Injuries,Handling Injury,Stresses While Handling (describe),Comments
1,02-04-1989,7:21,7:34,SYBILLE,White/Baumchen,ADULT,MALE,Cannon net,3.15,,,753,323,17,315,154,69,67,40.2,23.4,26.6,Olive yellow,0,Bistre yellow,2R,-,"7L, 0R",,,"Whole (?), most of rest full of them",Orange,Red,718,847,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13.5,10,7,5.5,20.5,15.5,no,yes,49,-,-,Slight,
2,02-04-1989,7:01,7:18,SYBILLE,White/Baumchen,ADULT,MALE,Cannon net,3.3,0.35,2.95,735,329,17,320,140,64,63,39.1,23.2,27.2,Olive yellow,0,Bistre yellow,0,-,"9L, 10R",,,2 or 3 on upper edge back,Green,Yellow,1073,1235,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,20,11,15,9,35,20,yes,yes,45,None,Compound fracture left up - young ? - SHIT,,"4 (?) fields  - 617 cells, 2' something (?) = not (?). Maybe hemaproteus? Further scanning indicates malaria. "
3,02-04-1989,7:47,8:05,SYBILLE,White/Baumchen,ADULT,MALE,Cannon net,3.2,0.4,2.8,744,305,23,330,220,68,65,37.4,21.3,24.1,Bistre yellow,0,Bistre yellow,"2R, 3L",-,"5R, 5L",,"1R, 3L",,White,Blue,1442,1609,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,6.5,7.5,15,17.5,21,25,no,NA,55+56,None,None,Slight,
4,03-04-1989,1:28,1:40,SYBILLE,White/Boyce,ADULT,MALE,Spotlight,3.35,0.4,2.95,729,323,18,306,168,67,62,40.3,23,25.25,Olive yellow,0,Yellow,0,-,"1R, OL",,0,,Red,White,1725,1446,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,17,13,13,10,30,23,no,NA,71,Small scab left air sac,-,Slight,
5,03-04-1989,1:14,1:25,SYBILLE,White/Boyce,ADULT,MALE,Spotlight,3.35,0.35,,764,331,19,325,179,69,72,40.95,22.6,24.3,Olive yellow,0,Bistre yellow,0,-,"0R, 5L",,0,,Red,Green,1720,1581,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13,11,13,12,26,23,yes,NA,77+78,-,-,Slight,2 77 (5 infected cells in next pass)+78(3 infected cells)
6,04-04-1989,4:52,5:02,SYBILLE,White/Kennedy,ADULT,MALE,Spotlight,3.2,0.4,2.8,712,332,16,325,175,62,63,38.5,21.5,28.2,Olive yellow,0,Bistre yellow,0,-,"5L, 0R",,"1R, 0L",,Orange,Yellow,1320,1250,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,19,18,15,14,34,32,yes,NA,93+94,Both air sacs bruised,,Slight,2 #93 (9 infected cells)+94)
7,04-04-1989,5:04,5:18,SYBILLE,White/Kennedy,ADULT,MALE,Spotlight,3.4,0.3,3.1,725,325,15,336,171,68,70,40.3,24.1,26,Yellow olive,0,Yellow,"1R, 1L",-,,5 - 10 each,"1R, 1L",,Blue,Yellow,1658,1246,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,16,16,15,12.5,29,28.5,yes,NA,69,Missing feathers off left leg,Small abrasion on left wing,Moderate (resp),"561 cells in 9 random fields. 8 suspicious cells in last count. Looks like malaria. Lots of dark spots in cells, but appears to be at all the same stage, unlike other malaria slides. "
8,14-04-1989,3:15,3:29,SYBILLE,White/Wilson/Wells,JUVENILE,MALE,Spotlight,3.05,0.35,,682,250,20,306,181,67,67,37.95,23.6,25.05,Olive yellow,1,Yellow,"3L, 1R",-,"0L, 3R",,"2R, 0L",,Green,Green,1591,1590,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,12.5,9,11.5,9,24,18,maybe,maybe,20+21,No,No,Slight,Has a hematozoan. Slide 2 150.3 x 20.95
9,14-04-1989,3:40,3:52,SYBILLE,White/Wilson/Wells,JUVENILE,MALE,Spotlight,2.8,0.3,,625,255,18,308,161,62,66,40.3,20.1,25.1,Olive yellow,0,Yellow,"1L, 0R",-,"10L, 7R",,"3L, 10R",,Green,Orange,1599,1357,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,8,11,11.5,12,19.5,23,no,no,,Hole on left air sac,No,Moderate,
