binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,hematomas air sac comments,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Ectoparasites,samples collected Fecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
1,18-04-1988,~1:00,,NEW LONG LAKE - VIEWPOINT,,JUVENILE,MALE,,,,2.35,645,254,18,314,167,73,62,37.4,21.95,27,Olive yell,-,Bistre yell,"2L, 1R",-,+,,+,,Red,Red,851,852,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,Feisty - he bit me,
2,18-04-1988,1:55,,NEW LONG LAKE,,ADULT,MALE,,,,3.2,765,357,18 (gap?),328,161,67,71,40.55,23.2,28.2,Yellow olive,-,Bistre yell,"16L, 3R",-,+,,-,,Red,Red,854,961,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,gap in tail feathers,,,Maybe master cock?,
3,18-04-1988,~1:35,,NEW LONG LAKE,,ADULT,MALE,,,,3.15,746,304,10,321,169,69,69,40.5,21.2,25.3,Olive yell,-,Bistre yell,"0L, 1R",-,-,,+,,Red,Green,853,1040,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,Combs very wide - very thick neck; maybe master cock,
4,18-04-1988,2:20,,NEW LONG LAKE - VIEWPOINT,,ADULT,MALE,,,,3.45,771,315,18,310,163,71,67,42.7,23.65,27.85,Yellow olive,-,Bistre yell,"0L, 2R",-,+,,-,,Red,White,855,646,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,Big A-- Bird!!,
5,20-04-1988,1:50,,VIEWPOINT,,,MALE,,,,3.76482,,,,,,,,,,,,,,,,,,,,Red ,White,,,,FALSE,FALSE,FALSE,,,,,,,,,"Recap 88. Also saw R/B, but did not catch (male)",
6,20-04-1988,2:11,,VIEWPOINT,,JUVENILE,MALE,,,,3.19329,705,261,17,321,160,66,71,41.3,23.45,23.05,Yell Olive,-,Chrome yellow,"3L, 4R",-,+,,+,,Green ,Green,1097,1099,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,Missing some middle tail feathers,,,Air sacs very small and gray,
7,10-05-1988,7:05,,VIEWPOINT,,ADULT,MALE,,,,3.4473,727,318,19,311,138,70,69,40.5,24.1,23.05,Olive - yellow,0,Bistre yellow,0,+,+,+ 1 on each sac,+,,Yellow,Orange,1136,752,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,Middle toe nail - right foot - missing,,,No blood data,
8,10-05-1988,7:25,,VIEWPOINT,,ADULT,MALE,,3.71946,,NA,,,,,,,,,,,,0,,"7L, 1R",+,+,,+,1 on edge of rt comb,Red,Blue,854,961,,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,,,,RECAP,
9,10-05-1988,7:35,,VIEWPOINT,,ADULT,MALE,,,,3.53802,,,11,,,,,,,,,0,,0,+,-,,-,,Red,Green,853,1040,,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,,,,RECAP,
10,10-05-1988,7:45,,VIEWPOINT,,JUVENILE,MALE,,,,2.54012,679,243,20,321,166,67,67,38.6,22.75,23.6,Olive yellow,-,Bistre yell,o,NA,++,,+,? Left,Yellow,Green,1134,1088,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,"Lots of tail feathers broken and worn, tears in left air sac",,,no blood data,
11,18-04-1988,~1:20,,NEW LONG LAKE,,JUVENILE,FEMALE,,,,1.95,544,186,N/A,267,131,55,57,32.3,19.05,N/A,N/A,N/A,N/A,N/A,-,N/A,,N/A,,Blue,White,976,638,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
