,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,hematocrit Cells,hematocrit Cells,hematocrit Plasma,hematocrit Plasma,hematocrit Total,hematocrit Total,,,,,,,
binder pdf scan page,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),num Air Sacs,air sacs comments,num Combs,comb comments,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood,Ectoparasites,Fecal,Cecal,1,2,1,2,1,2,blood malaria,blood haema,slide numer,Existing Injuries,Handling Injury,Stresses While Handling (describe),Comments
1,22-04-1989,6:52,7:05,VP,White/Salloyd/Koeppen/Paslifan,ADULT,MALE,,3.05,0.3,2.75,748,327,20,325,141,68,68,40,20.75,25.5,Olive yellow,0,Bistre yellow,0,-,"0L, 2R",,"5L, 3R",,Blue,Yellow,1673,1258,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,15,16,19,12,26,28,No,,11+12,2 scabs left air sac,-,Moderate,"Found dead 22 May 89, Eagle kill"
2,22-04-1989,6:38,6:50,VP,White/Salloyd/Koeppen/Paslifan,ADULT,MALE,Canon net,3,0.35,,777,346,19,323,164,66,67,40.9,21.95,25.3,Yellow olive,0,Bistre yellow,0,-,"1R, 0L",,"1R, 0L",,White,Red,1510,1701,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,14,10,9,7,23,17,No,,13+14,Scab on R air sac; 2 scars on L air sac,Hematoma,Slight,
3,22-04-1989,6:21,6:34,VP,NA,ADULT,MALE,Canon net,3.1,0.35,,776,331,17,307,152,67,65,40.6,24.3,25.5,Olive yellow,0,Bistre yellow,"0L, 0R",-,"0L, 2R",,"6R, 2L",,Orange,Blue,1361,1672,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,13,18,4,6,17,24,No,,15+16,Fresh cut center chest,Hematoma from blood draw,High respiratory,
4,04-04-1989,2:31,2:48,VP,White/Kennedy,ADULT ,MALE,Spotlight,3.4,0.5,2.9,704,305,20,307,144,63,64,40.6,20.7,25.9,Olive yellow,0,Bistre yellow,0,-,0,,0,,Yellow,Yellow,1241,1242,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,18,14,14.5,12,32.5,26,No,,65+66,-,-,Slight,
5,03-04-1989,4:37,4:45,VP,White/Boyce,ADULT ,MALE,Spotlight,3.4,0.4,3,740,282,17,330,174,67,69,41.5,24.7,27.65,Olive yellow,0,Yellow,,-,"3R, 0L",,,Some on edge,White,White,670,671,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,11,9,11,9,22,18,No,,79+78,-,-,-,OBNOXIOUS!
6,11-04-1989,2:44,2:51,VP,White/Valenzuela,ADULT ,MALE,Spotlight,3.25,0.35,2.9,,,,,,,,,,,,0,,0,-,"1R, 0L",,,"Upper edge right, 2 left",White,White,670,671,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,No,,NA,-,-,-,"(?) blood smear, no malaria, RECAP 89"
7,11-04-1989,4:10,4:20,VP,White/Valenzuela,ADULT ,MALE,Spotlight,3.3,0.35,2.95,732,347,18,321,157,64,66,41.6,22.9,24.8,Yellow olive,0,Bistre yellow,0,-,"5L, 5R",,0,,Orange,White,1315,1448,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,15.5,16,12,13,27.5,29,No,,NA,-,-,-,
8,11-04-1989,3:18,3:32,VP,White/Valenzuela,ADULT ,MALE,Spotlight,3.35,0.37,2.98,762,321,19,321,153,69,71,38.4,21.8,24.05,Olive yellow,0,Yellow,0,+,0,,0,,White,Blue,1438,1657,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,10,11,9,10,19,21,No,,NA,-,-,-,
9,11-04-1989,3:00,3:16,VP,White/Valenzuela,ADULT ,MALE,Spotlight,3.3,0.3,3,750,320,19,320,164,68,69,40.5,26.55,24.05,Olive yellow,0,Bistre yellow,0,-,,15 - 20 each,0,,Green ,Blue,1580,1662,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,FALSE,9,9,9,11,18,20,Maybe,Maybe,NA,Bruise left air sac,-,-,
