,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
7,29-03-1988,6:20,6:04,WINDMILL DAM,Burton,,15 to 20,Clear sunny,No,No,,Some snow on Lek ground,,,,6:20,3,0,2 males already moving off,,,,,,,,,,,,,Single bird up drainage to the south of Windmill Dam -> strutting!
,,,,,,,,,,,,,,,,6:30,4,0,Lek one still strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:40,3,0,Just feeding - no strutting,,,,,,,,,,,,,
8,01-04-1988,6:30,5:44,WINDMILL DAM,Burton,,10 to 15,85,No,No,,-,-,,,6:34,5,0,,,,,,,,,,,,,,B/B bird on opposite side of drainage.
,,,,,,,,,,,,,,,,6:43,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:58,6,0,,,,,,,,,,,,,,
9,06-04-1988,7:28,,WINDMILL DAM,Burton,,15 to 20,0 - 5,No,No,,Lake open,No snow,,,7:28,3,0,,,,,,,,,,,,,,Female on other side of (south) drainage from lek
,,,,,,,,,,,,,,,,7:30,4,0,Far right bird strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:36,4,3,Flushed 3 females as I was driving out,,,,,,,,,,,,,
10,14-04-1988,6:12,6:29,WINDMILL DAM,Johnson/Duerr,,< 5,0,-,-,,,Clear,,,6:16,7,23,,6:18,,G,B,13,2,,0 - on edge of lek,Unmarked,,,4,
,,,,,,,,,,,,,,,,6:37,7,14,,6:26,,W,O,31,1,,-,,,,,
,,,,,,,,,,,,,,,,6:54,7,3,,6:38,,G,B,6,3,,- edge of lek,,,,,
,,,,,,,,,,,,,,,,,,,,6:44,,W,O,24,3,,Opp edge of lek by GB,,,,,
11,21-04-1988,5:15,6:18,WINDMILL DAM,White/Duffy Brown,Canon net,10,30,-,-,,,Threatening TS,,,5:45,6,2,,,,,,,,,,,,,,
12,22-04-1988,6:20,,WINDMILL DAM,White,,15 to 20,100,Yes,-,,3inch snow overnight,,,,,,,,,,,,,,,,,,,,"No birds on lek - 3 males flushed as drove up, no other birds around. 3 males that flushed were 30 m W of lek"
13,25-04-1988,5:32,6:08,WINDMILL DAM,White,,10 to 15,50,-,-,,,,,,5:52,2,3,"None marked, 1 juv. male",,,,,,,,,Unmarked,,,2,"6:05 - 2 bred females flew, 3rd female flew by 6:07. Left 6:10"
,,,,,,,,,,,,,,,,6:10,2,0,No strutting - just sitting,,,,,,,,,,,,,
14,28-04-1988,5:20,,WINDMILL DAM,Boyce,,0,2,-,-,,Beautiful morning - Moonlit night,Dry,,,5:20,4,1,Head female fly off,,,,,,,,,,,,,Male: Y/?
,,,,,,,,,,,,,,,,5:25,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:34,4,,2 males flew off -- 1 still in view,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:40,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:45,1,,Another male left leavin only one,,,,,,,,,,,,,
