"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
"year = 1989, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder file and lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,struts/,time,dist,,,predicted,,,,,,,,strut,,resids,,,
malaria,five min,sunrise,to hens,year,breed,values,resids,,,,,,,squared,strut,squared,resids,,
---------,---------,---------,---------,---------,---------,---------,---------,,,,,,,--------,--------,--------,--------,,
0,35,0.01,1,89,0,17.738089,17.261911,,,Regression Output:,,,,1225,35,297.97358,17.261911,,
0,18,0.00,1,89,0,17.62039,0.37961,,Constant,,,20.827434,,324,18,0.14410375,0.37961,,
0,32,0.00,1,89,0,17.679239,14.320761,,Std Err of Y Est,,,12.281585,,1024,32,205.08418,14.320761,,
0,0,-0.01,3,89,0,11.073899,-11.073899,,R Squared,,,0.086525462,,0,0,122.63123,-11.073899,,
0,30,0.00,3,89,0,11.221022,18.778978,,No. of Observations,,,218,,900,30,352.65,18.778978,,
0,43,0.02,1,89,1,18.002911,24.997089,,Degrees of Freedom,,,215,,1849,43,624.85445,24.997089,,
0,17,0.03,3,89,0,11.853654,5.1463464,,,,,,,289,17,26.484881,5.1463464,,
0,1,0.04,2,89,1,15.310804,-14.310804,,X Coefficient(s),,21.18579,-3.2070429,,1,1,204.7991,-14.310804,,
0,12,0.01,3,89,0,11.515269,0.48473056,,Std Err of Coef.,,50.761931,0.71087499,,144,12,0.23496372,0.48473056,,
0,17,0.03,3,89,0,11.853654,5.1463464,,,,,,,289,17,26.484881,5.1463464,,
0,4,0.03,3,89,0,11.883078,-7.8830783,,,,,,,16,4,62.142923,-7.8830783,,
0,8,0.00,2,89,0,14.398638,-6.3986376,,,,,,,64,8,40.942564,-6.3986376,,
0,5,0.02,0,89,0,21.298225,-16.298225,,,,,,,25,5,265.63215,-16.298225,,
0,5,0.00,0,89,1,20.900992,-15.900992,,,,,,,25,5,252.84154,-15.900992,,
0,4,0.00,0,89,0,20.842142,-16.842142,,,,,,,16,4,283.65776,-16.842142,,
0,28,0.00,1,89,0,17.664527,10.335473,,,,,,,784,28,106.822,10.335473,,
0,21,0.00,1,89,1,17.693952,3.3060482,,,,,,,441,21,10.929955,3.3060482,,
0,0,0.00,3,89,1,11.309296,-11.309296,,,,,,,0,0,127.90019,-11.309296,,
0,0,0.02,0,89,0,21.254088,-21.254088,,,,,,,0,0,451.73627,-21.254088,,
0,8,0.02,3,89,0,11.662393,-3.662393,,,,,,,64,8,13.413122,-3.662393,,
0,0,0.01,3,89,0,11.412283,-11.412283,,,,,,,0,0,130.2402,-11.412283,,
0,0,0.00,3,89,0,11.176885,-11.176885,,,,,,,0,0,124.92276,-11.176885,,
0,0,0.01,3,89,0,11.412283,-11.412283,,,,,,,0,0,130.2402,-11.412283,,
0,6,0.03,1,89,0,18.356008,-12.356008,,,,,,,36,6,152.67093,-12.356008,,
0,0,0.01,0,89,0,21.092252,-21.092252,,,,,,,0,0,444.88311,-21.092252,,
0,25,0.02,2,89,0,14.737022,10.262978,,,,,,,625,25,105.32872,10.262978,,
0,6,0.03,0,89,0,21.533623,-15.533623,,,,,,,36,6,241.29344,-15.533623,,
0,24,0.02,3,89,0,11.662393,12.337607,,,,,,,576,24,152.21655,12.337607,,
0,0,0.03,3,89,0,11.824229,-11.824229,,,,,,,0,0,139.81239,-11.824229,,
0,0,0.00,3,89,0,11.294584,-11.294584,,,,,,,0,0,127.56763,-11.294584,,
0,0,0.00,3,89,0,11.265159,-11.265159,,,,,,,0,0,126.90382,-11.265159,,
0,21,0.00,1,89,0,17.649815,3.3501853,,,,,,,441,21,11.223741,3.3501853,,
0,0,0.00,2,89,0,14.369213,-14.369213,,,,,,,0,0,206.47428,-14.369213,,
0,0,-0.01,3,89,0,10.897351,-10.897351,,,,,,,0,0,118.75225,-10.897351,,
0,26,0.02,1,89,0,18.032336,7.9676641,,,,,,,676,26,63.483671,7.9676641,,
0,21,0.02,2,89,1,14.91357,6.08643,,,,,,,441,21,37.04463,6.08643,,
0,13,0.02,3,89,0,11.544694,1.4553059,,,,,,,169,13,2.1179151,1.4553059,,
0,27,0.02,0,89,0,21.151102,5.8488982,,,,,,,729,27,34.20961,5.8488982,,
0,10,0.00,0,89,0,20.739156,-10.739156,,,,,,,100,10,115.32947,-10.739156,,
0,3,0.02,3,89,0,11.559406,-8.5594065,,,,,,,9,3,73.26344,-8.5594065,,
0,14,0.00,3,89,0,11.265159,2.7348406,,,,,,,196,14,7.479353,2.7348406,,
0,11,0.01,3,89,0,11.515269,-0.51526944,,,,,,,121,11,0.26550259,-0.51526944,,
0,19,0.02,3,89,0,11.632968,7.3670317,,,,,,,361,19,54.273156,7.3670317,,
0,20,0.03,2,89,0,14.972419,5.0275805,,,,,,,400,20,25.276566,5.0275805,,
