regression of strut rate vs. distance to hens and time from sunrise,,,,,,,,,,,,,,,,,
malaria vs. no malaria - 1990. birds of unknown malaria status not included,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,,,,,,struts,,resids,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,values,resids,,,,,,,squared,struts,squared,resids
---------,---------,---------,---------,---------,---------,---------,---------,,,Regression Output:,,,,---------,---------,---------,---------
0,6,0.018,3,90,0,11.36763055,-5.3676006,,Constant,,,16.169171,,36,6,28.8111362,-5.3676006
0,0,0.040,3,90,0,11.23425278,-11.234223,,Std Err of Y Est,,,12.401998,,0,0,126.2077664,-11.234223
0,8,0.044,0,90,0,15.9066125,-7.9065825,,R Squared,,,0.020074125,,64,8,62.51404683,-7.9065825
0,0,0.016,0,90,0,16.07333472,-16.073305,,No. of Observations,,,138,,0,0,258.3511336,-16.073305
0,20,0.062,3,90,0,11.10504305,8.8949869,,Degrees of Freedom,,,135,,400,20,79.12079195,8.8949869
0,34,0.017,3,90,0,11.37179861,22.628231,,,,,,,1156,34,512.0368382,22.628231
0,29,0.006,2,90,0,13.0028875,15.997143,,X Coefficient(s),,-6.0020021,-1.5644033,,841,29,255.9085842,15.997143
0,0,0.042,3,90,0,11.22591666,-11.225887,,Std Err of Coef.,,53.794508,0.94309097,,0,0,126.0205389,-11.225887
0,9,0.039,3,90,0,11.24258889,-2.2425589,,,,,,,81,9,5.02907042,-2.2425589
0,16,0.035,3,90,0,11.26759722,4.7324328,,,,,,,256,16,22.39592021,4.7324328
0,4,0.006,3,90,0,11.44265556,-7.4426256,,,,,,,16,4,55.39267582,-7.4426256
0,23,-0.006,3,90,0,11.50934444,11.490686,,,,,,,529,23,132.0358648,11.490686
0,16,-0.001,1,90,0,14.60896806,1.3910619,,,,,,,256,16,1.93505321,1.3910619
0,21,0.012,1,90,0,14.53394305,6.4660869,,,,,,,441,21,41.8102798,6.4660869
0,9,0.035,1,90,0,14.39639722,-5.3963672,,,,,,,81,9,29.12077896,-5.3963672
0,5,0.038,1,90,0,14.37555695,-9.3755269,,,,,,,25,5,87.90050465,-9.3755269
0,0,0.006,2,90,0,13.00705556,-13.007026,,,,,,,0,0,169.1827254,-13.007026
0,2,0.024,3,90,0,11.33428611,-9.3342561,,,,,,,4,2,87.12833694,-9.3342561
0,6,0.043,0,90,0,15.91078055,-9.9107506,,,,,,,36,6,98.22297746,-9.9107506
0,0,-0.003,0,90,0,16.18587222,-16.185842,,,,,,,0,0,261.9814812,-16.185842
0,23,0.049,2,90,0,12.74863611,10.251394,,,,,,,529,23,105.0910789,10.251394
0,10,0.060,3,90,0,11.11754722,-1.1175172,,,,,,,100,10,1.248844692,-1.1175172
0,1,0.052,3,90,0,11.16339584,-10.163366,,,,,,,1,1,103.2940084,-10.163366
0,0,-0.002,3,90,0,11.48850417,-11.488474,,,,,,,0,0,131.9850348,-11.488474
0,0,0.007,3,90,0,11.43431944,-11.434289,,,,,,,0,0,130.7429649,-11.434289
0,6,0.052,3,90,0,11.16339584,-5.1633658,,,,,,,36,6,26.66034638,-5.1633658
0,0,0.060,3,90,0,11.11754722,-11.117517,,,,,,,0,0,123.5991842,-11.117517
0,27,0.023,1,90,0,14.46725416,12.532776,,,,,,,729,27,157.0704743,12.532776
0,0,0.054,3,90,0,11.15089166,-11.150862,,,,,,,0,0,124.3417233,-11.150862
0,16,0.064,3,90,0,11.09253889,4.9074911,,,,,,,256,16,24.0834689,4.9074911
0,23,0.040,3,90,0,11.23842084,11.761609,,,,,,,529,23,138.3354463,11.761609
0,3,0.030,3,90,0,11.29677361,-8.2967436,,,,,,,9,3,68.83595436,-8.2967436
0,25,0.024,3,90,0,11.33428611,13.665744,,,,,,,625,25,186.7525591,13.665744
0,30,0.065,1,90,0,14.21300278,15.787027,,,,,,,900,30,249.2302215,15.787027
0,0,0.019,3,90,0,11.3634625,-11.363433,,,,,,,0,0,129.1276095,-11.363433
0,14,0.002,1,90,0,14.59229583,-0.59226583,,,,,,,196,14,0.350778813,-0.59226583
0,0,0.015,3,90,0,11.38847084,-11.388441,,,,,,,0,0,129.6965884,-11.388441
0,22,0.000,2,90,0,13.0404,8.95963,,,,,,,484,22,80.27496974,8.95963
0,23,0.006,3,90,0,11.44265556,11.557374,,,,,,,529,23,133.5728938,11.557374
