"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,
"year = all, males of unknown malarial status not included",,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
1,17,-0.006,1,90,0,20.34495438,-3.3450244,,289,17,11.18918824,-3.3450244,,Constant,,,23.461726
3,29,0.022,2,90,0,14.65377936,14.346111,,841,29,205.8109008,14.346111,,Std Err of Y Est,,,12.457323
3,27,0.005,3,90,0,12.32512438,14.674726,,729,27,215.3475832,14.674726,,R Squared,,,0.132574
1,0,-0.003,3,90,0,12.95559687,-12.955747,,0,0,167.8513803,-12.955747,,No. of Observations,,,1078
3,9,-0.008,3,90,0,13.3233725,-4.3235225,,81,9,18.69284681,-4.3235225,,Degrees of Freedom,,,1075
3,23,0.049,1,90,0,16.14180434,6.8581256,,529,23,47.03388675,6.8581256,,,,,
3,35,0.049,1,90,0,16.14180434,18.858126,,1225,35,355.6289162,18.858126,,X Coefficient(s),,-75.656732,-3.5895627
0,27,0.010,3,89,0,11.90480935,15.095041,,729,27,227.8602628,15.095041,,Std Err of Coef.,,20.703032,0.32048399
1,20,0.028,3,90,0,10.59132498,9.408525,,400,20,88.52034268,9.408525,,,,,
0,28,0.003,3,90,0,12.43020313,15.569647,,784,28,242.4139077,15.569647,,,,,
0,4,0.049,0,90,0,19.73140434,-15.731434,,16,4,247.4780157,-15.731434,,,,,
1,0,-0.008,3,90,0,13.27083313,-13.270983,,0,0,176.1189898,-13.270983,,,,,
0,0,0.020,0,90,0,21.93805812,-21.938088,,0,0,481.2797051,-21.938088,,,,,
0,2,0.001,3,89,0,12.64036063,-10.640511,,4,2,113.2204743,-10.640511,,,,,
0,10,0.017,3,89,0,11.43195497,-1.432105,,100,10,2.050924731,-1.432105,,,,,
0,24,0.009,1,89,0,19.18908812,4.8108419,,576,24,23.14419979,4.8108419,,,,,
0,11,0.045,3,89,0,9.277840617,1.7220094,,121,11,2.965316374,1.7220094,,,,,
0,23,0.034,3,89,0,10.11847061,12.881379,,529,23,165.9299249,12.881379,,,,,
1,0,0.001,3,90,0,12.58782125,-12.587971,,0,0,158.4570139,-12.587971,,,,,
0,2,0.023,0,89,0,21.7279006,-19.727931,,4,2,389.1912615,-19.727931,,,,,
3,37,-0.019,1,89,0,21.29066313,15.709267,,1369,37,246.7810697,15.709267,,,,,
0,16,0.046,1,89,0,16.40450128,-0.40457125,,256,16,0.163677896,-0.40457125,,,,,
0,13,0.034,3,89,0,10.11847061,2.8813794,,169,13,8.302347247,2.8813794,,,,,
0,38,0.037,1,89,0,17.08751309,20.912417,,1444,38,437.3291848,20.912417,,,,,
0,3,0.028,0,90,0,21.36012498,-18.360155,,9,3,337.0952916,-18.360155,,,,,
3,30,0.023,1,89,0,18.1383006,11.861629,,900,30,140.6982425,11.861629,,,,,
1,29,0.026,3,90,0,10.69640374,18.303446,,841,29,335.0161355,18.303446,,,,,
1,3,0.032,3,90,0,10.27608878,-7.2762388,,9,3,52.94365107,-7.2762388,,,,,
1,8,0.049,3,90,0,8.962604341,-0.96275438,,64,8,0.926895996,-0.96275438,,,,,
1,3,0.001,3,90,0,12.58782125,-9.5879713,,9,3,91.92919365,-9.5879713,,,,,
0,9,0.025,3,90,0,10.8014825,-1.8016325,,81,9,3.245879665,-1.8016325,,,,,
1,21,0.024,3,90,0,10.85402184,10.145828,,441,21,102.9378258,10.145828,,,,,
1,37,0.013,1,90,0,18.92639125,18.073539,,1369,37,326.652812,18.073539,,,,,
1,20,0.024,2,90,0,14.44362184,5.5562681,,400,20,30.8721152,5.5562681,,,,,
1,40,0.019,1,90,0,18.40099753,21.598933,,1600,40,466.5139067,21.598933,,,,,
1,0,0.015,0,90,0,22.30583373,-22.305864,,0,0,497.5515688,-22.305864,,,,,
1,36,0.017,1,90,0,18.55861563,17.441314,,1296,36,304.199434,17.441314,,,,,
1,2,0.013,3,90,0,11.69465191,-9.6948019,,4,2,93.98918388,-9.6948019,,,,,
0,36,0.009,1,89,0,19.18908812,16.810842,,1296,36,282.6044087,16.810842,,,,,
0,30,-0.001,2,90,0,16.38757875,13.612311,,900,30,185.2950108,13.612311,,,,,
3,20,-0.010,3,90,0,13.42845125,6.5713988,,400,20,43.18328219,6.5713988,,,,,
1,0,0.019,0,90,0,21.99059753,-21.990627,,0,0,483.5876759,-21.990627,,,,,
3,29,0.006,1,90,0,19.39924563,9.6006844,,841,29,92.17314095,9.6006844,,,,,
0,9,-0.003,2,90,0,16.4926575,-7.4927675,,81,9,56.14156481,-7.4927675,,,,,
0,0,-0.001,3,90,0,12.74543937,-12.745589,,0,0,162.450039,-12.745589,,,,,
3,34,0.013,1,90,0,18.92639125,15.073539,,1156,34,227.211578,15.073539,,,,,
1,0,0.006,3,90,0,12.22004563,-12.220196,,0,0,149.3331903,-12.220196,,,,,
0,27,0.014,1,87,0,18.82131249,8.1786175,,729,27,66.88978421,8.1786175,,,,,
1,40,0.023,1,90,0,18.1383006,21.861629,,1600,40,477.9308225,21.861629,,,,,
1,1,0.043,3,90,0,9.435458716,-8.4356088,,1,1,71.15949583,-8.4356088,,,,,
0,25,0.017,1,89,0,18.61115497,6.388775,,625,25,40.816446,6.388775,,,,,
1,29,0.005,2,90,0,15.91472438,13.085166,,841,29,171.2215692,13.085166,,,,,
3,15,0.028,2,89,0,14.12838564,0.87150437,,225,15,0.759519867,0.87150437,,,,,
0,18,0.038,1,89,0,16.98243441,1.0174956,,324,18,1.035297296,1.0174956,,,,,
0,28,0.002,1,89,0,19.71448188,8.2854481,,784,28,68.64865022,8.2854481,,,,,
0,4,0.001,0,89,0,23.40916063,-19.409191,,16,4,376.7166953,-19.409191,,,,,
3,29,0.033,1,89,0,17.40274937,11.597181,,841,29,134.4946071,11.597181,,,,,
3,32,-0.022,1,89,0,21.50082064,10.499109,,1024,32,110.2312898,10.499109,,,,,
0,8,0.022,3,89,0,11.06417936,-3.0643294,,64,8,9.390114672,-3.0643294,,,,,
0,0,0.010,3,89,0,11.95734875,-11.957499,,0,0,142.9817823,-11.957499,,,,,
0,18,0.000,1,89,0,19.8721,-1.87217,,324,18,3.505020509,-1.87217,,,,,
0,27,0.015,0,89,0,22.30583373,4.6941362,,729,27,22.03491466,4.6941362,,,,,
0,13,0.016,3,89,0,11.48449439,1.5153556,,169,13,2.296302594,1.5153556,,,,,
0,5,0.022,0,89,0,21.78044002,-16.78047,,25,5,281.5841734,-16.78047,,,,,
0,3,0.017,3,89,0,11.43195497,-8.432105,,9,3,71.10039473,-8.432105,,,,,
