DATA FILE TO COMPARE STRUTTING FREQUENCY WITH DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,BREEDING STATUS,,,,,,
0=NOT INFECTED,,,1=BREEDER,,,,,,
1=INFECTED,,,0=NON-BREEDER,,,,,,
3=UNKNOWN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BREED,MALARIA,DATE,/5 MIN,RESIDS,,REGRESSION ON ACTUAL DATA,,,BREEDERS
---------,---------,---------,---------,---------,,,,,
0,1,415,37,19.075201,,,Regression Output:,,
0,1,415,7,-4.3465715,,Constant,,,23.899786
0,1,404,23,8.0715585,,Std Err of Y Est,,,12.643586
0,1,504,7,-17.647145,,R Squared,,,0.005303772
0,1,417,2,-8.3884603,,No. of Observations,,,798
0,1,412,11,-8.4151944,,Degrees of Freedom,,,796
0,1,419,12,3.3148486,,,,,
0,1,417,30,12.729509,,X Coefficient(s),,-0.018471253,
0,1,416,34,18.965102,,Std Err of Coef.,,0.008965874,
0,1,403,6,-5.2933431,,,,,
0,1,401,22,-0.14540993,,,,,
0,1,416,17,-6.7954904,,REGRESSION WITH RESIDUALS,,,BREEDERS
0,1,405,0,-22.46478,,,,,
0,1,417,25,8.5279348,,,Regression Output:,,
0,1,418,33,10.748133,,Constant,,,4.6611552
0,1,501,0,-12.73051,,Std Err of Y Est,,,11.984283
0,1,420,27,9.6230519,,R Squared,,,0.002745361
0,1,428,26,6.4251204,,No. of Observations,,,798
0,1,513,0,-21.453441,,Degrees of Freedom,,,796
0,1,413,17,-5.1454099,,,,,
0,1,429,29,7.3868741,,X Coefficient(s),,-0.012580202,
0,1,419,33,7.3415155,,Std Err of Coef.,,0.008498346,
0,1,429,44,22.759473,,,,,
0,1,501,0,-12.198226,,,,,
0,1,429,39,18.451442,,,,,
0,1,410,36,14.828268,,,,,
0,1,513,38,17.78638,,,,,
0,1,403,0,-10.867516,,,,,
0,1,429,0,-12.73051,,,,,
0,1,415,22,-2.4342312,,,,,
0,1,416,30,13.474706,,,,,
0,1,415,34,16.410138,,,,,
0,1,416,22,8.3490401,,,,,
0,1,401,0,-12.73051,,,,,
0,1,415,15,-9.1148608,,,,,
0,1,415,33,9.5771084,,,,,
0,1,415,28,4.5771084,,,,,
0,1,414,33,8.4060835,,,,,
0,1,416,28,7.4514422,,,,,
0,1,501,1,-10.240115,,,,,
0,1,513,22,-2.4342312,,,,,
0,1,417,28,4.4174232,,,,,
0,1,426,16,-0.95112083,,,,,
0,1,413,25,2.6416765,,,,,
0,1,416,0,-9.696491,,,,,
0,1,428,10,-0.49491708,,,,,
0,1,419,0,-14.928442,,,,,
0,1,405,10,-14.540688,,,,,
0,1,409,13,-5.3350593,,,,,
0,1,414,30,11.170318,,,,,
0,1,415,36,11.565769,,,,,
0,1,414,0,-16.951121,,,,,
0,1,425,4,-10.555843,,,,,
0,1,512,1,-22.316435,,,,,
0,1,424,35,20.779095,,,,,
0,1,428,35,16.063861,,,,,
0,0,419,22,1.6799228,,,,,
0,0,417,15,2.7485456,,,,,
0,0,420,30,9.4670092,,,,,
0,0,509,16,-6.4647803,,,,,
0,0,509,13,-7.442101,,,,,
0,0,412,35,11.20451,,,,,
0,0,412,0,-10.122318,,,,,
