"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
year = all,,,,,,,,,,,,,,,,,,,
lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,, ,predicted,,,struts,,resids,,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,lice,struts,resids,,squared,struts,squared,resids,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,,,,
,26,0.016,1,89,,0,26.56844,-0.56843981,,676,26,0.323123818,-0.56843981,,,Regression Output:,,,
,8,-0.013,3,89,,0,11.009664,-3.0096636,,64,8,9.058074985,-3.0096636,,Constant,,,33.79955,
,10.75,-0.002,2.5,89,,0,14.964777,-4.2147772,,115.5625,10.75,17.76434685,-4.2147772,,Std Err of Y Est,,,8.0432578,
,7,0.001,3,89,,0,11.271342,-4.2713417,,49,7,18.24435992,-4.2713417,,R Squared,,,0.32814897,
,30.5,-0.006,1.3333333,89,,0,23.672096,6.8279038,,930.25,30.5,46.6202703,6.8279038,,No. of Observations,,,192,
,20.5,0.008,1.5,89,,0,22.672515,-2.1725153,,420.25,20.5,4.719822729,-2.1725153,,Degrees of Freedom,,,189,
,15,-0.005,1.8,89,,0,20.182938,-5.1829381,,225,15,26.86284735,-5.1829381,,,,,,
,8.4,-0.009,3,89,,0,11.086921,-2.686921,,70.56,8.4,7.21954446,-2.686921,,X Coefficient(s),,17.94364,-7.5177052,
,2,-0.025,2,89,,0,18.315539,-16.315539,,4,2,266.1968129,-16.315539,,Std Err of Coef.,,41.222947,0.83552493,
,25,-0.013,2.5,89,,0,14.78098,10.21902,,625,25,104.4283698,10.21902,,,,,,
,13.333333,0.003,2.3333333,89,,0,16.320531,-2.9871976,,177.7777689,13.333333,8.923349501,-2.9871976,,,,,,
,13,-0.013,3,89,,0,11.009664,1.9903364,,169,13,3.961438985,1.9903364,,,,,,
,27,-0.035,3,89,,0,10.623377,16.376623,,729,27,268.1937809,16.376623,,,,,,
,21.75,-0.003,1.75,89,,0,20.587484,1.1625164,,473.0625,21.75,1.35144438,1.1625164,,,,,,
,19,-0.001,1,89,,0,26.256918,-7.2569183,,361,19,52.66286321,-7.2569183,,,,,,
,2.3333333,-0.023,3,89,,0,10.839365,-8.5060319,,5.444444289,2.3333333,72.35257868,-8.5060319,,,,,,
,11.5,-0.010,2,89,,0,18.580332,-7.0803323,,132.25,11.5,50.13110548,-7.0803323,,,,,,
,26.2,-0.002,1.2,89,,0,24.735931,1.4640689,,686.44,26.2,2.143497744,1.4640689,,,,,,
1,17,-0.004166667,1,87,0,0,26.207075,-9.2070748,,289,17,84.77022637,-9.2070748,,,,,,
,14,-0.030,1,89,,0,25.746023,-11.746023,,196,14,137.9690563,-11.746023,,,,,,
,8.5,-0.013,3,89,,0,11.022125,-2.5221245,,72.25,8.5,6.361111994,-2.5221245,,,,,,
,12.333333,-0.012,2,89,,0,18.548142,-6.2148084,,152.1111029,12.333333,38.62384345,-6.2148084,,,,,,
,28.666667,-0.023,1,89,,0,25.862324,2.8043423,,821.7777969,28.666667,7.864335736,2.8043423,,,,,,
,25.307692,-0.009,1.6923077,89,,0,20.907612,4.4000802,,640.4792744,25.307692,19.36070577,4.4000802,,,,,,
