DATA TO COMPARE STRUTTING FREQUENCY AND DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,,,,,,,
0= NOT INFECTED,,,,,,,,,
1= INFECTED,,,,,,,,,
3= UNKNOWN,,,,,,,,,
,,,,,,,,,
MALARIA,DATE,/5 MIN,RESIDS,,,,,,
---------,---------,---------,---------,,REGRESSION WITH DATA,,,NON-INFECT, 
0,418,18,1.0333122,,,,,,
0,426,12,1.7179965,,,Regression Output:,,,
0,505,27,11.752188,,Constant,,,20.722335,
0,414,24,5.5429169,,Std Err of Y Est,,,13.409176,
0,426,4,-19.422892,,R Squared,,,0.001093553,
0,430,3,-8.2401147,,No. of Observations,,,646,
0,416,0,-9.1109786,,Degrees of Freedom,,,644,
0,509,0,-12.091769,,,,,,
0,414,14,1.6265218,,X Coefficient(s),,-0.009227164,,
0,509,0,-11.506257,,Std Err of Coef.,,0.010989243,,
0,430,18,-2.0539352,,,,,,
0,505,3,-7.0158615,,,,,,
0,426,35,12.641676,,,,,,
0,506,19,5.6839776,,,,,,
0,505,14,0.66841056,,,,,,
0,416,32,14.021973,,REGRESSION WITH RESIDUALS,,,NON-INFECT,
0,505,7,-12.255509,,,,,,
0,509,17,6.1857125,,,Regression Output:,,,
0,509,1,-9.9739727,,Constant,,,-1.3225053,
0,418,3,-10.438046,,Std Err of Y Est,,,12.316481,
0,422,24,5.3832317,,R Squared,,,1.85603E-05,
0,413,22,-1.4228916,,No. of Observations,,,646,
0,419,3,-6.2706638,,Degrees of Freedom,,,644,
0,420,20,-4.008404,,,,,,
0,414,6,-16.997064,,X Coefficient(s),,0.00110355,,
0,416,0,-10.06909,,Std Err of Coef.,,0.010093744,,
0,417,32,16.113447,,,,,,
0,509,3,-12.726868,,,,,,
0,416,22,-0.89060757,,,,,,
0,413,25,6.3832317,,,,,,
0,402,11,-12.848719,,,,,,
0,502,11,-0.24011472,,,,,,
0,405,0,-23.316435,,,,,,
0,430,9,-11.442101,,,,,,
0,501,17,-6.47612,,,,,,
0,430,21,8.6420888,,,,,,
0,418,2,-8.9207443,,,,,,
0,417,2,-8.3884603,,,,,,
0,413,1,-13.6623,,,,,,
0,407,27,6.6799228,,,,,,
0,426,16,6.1970522,,,,,,
0,424,33,19.737206,,,,,,
0,413,11,1.7293362,,,,,,
0,408,26,8.5010281,,,,,,
0,409,4,-18.092182,,,,,,
0,413,6,-11.004349,,,,,,
0,425,30,7.9078185,,,,,,
0,418,0,-10.494917,,,,,,
0,409,18,-1.0581626,,,,,,
0,422,18,-5.1567496,,,,,,
0,414,40,15.19317,,,,,,
0,430,11,-1.3579112,,,,,,
0,507,2,-19.719583,,,,,,
0,418,22,1.0256149,,,,,,
0,406,24,12.91957,,,,,,
0,409,29,4.4593119,,,,,,
0,408,23,12.877682,,,,,,
0,512,6,-5.7191703,,,,,,
